This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:11:42

This file contains the kymograph results for the parameter cAng_f:
center-of-mass of frequency spectrum	Results Average:
arc length	Rabbit delta 78 heterozygote014_SpQP_spq_210215_204725
0.000000	49.404945
0.550000	49.064842
1.100000	48.724815
1.650000	48.683300
2.200000	48.506359
2.750000	48.437286
3.300000	48.319191
3.850000	48.245678
4.400000	48.594196
4.950000	48.947411
5.500000	48.953560
6.050000	48.921909
6.600000	48.688301
7.150000	48.460461
7.700000	48.402115
8.250000	48.221111
8.800000	48.147068
9.350000	48.088436
9.900000	48.015781
10.450000	48.089283
11.000000	48.112698
11.550000	48.081047
12.100000	47.999226
12.650000	47.752850
13.200000	47.566570
13.750000	47.352242
14.300000	47.388210
14.850000	47.421478
15.400000	47.542671
15.950000	47.920498
16.500000	48.086334
17.050000	49.307426
17.600000	49.621605
18.150000	49.807446
18.700000	49.844505
19.250000	49.561932
19.800000	49.153496
20.350000	48.860481
20.900000	48.437588
21.450000	48.274426
22.000000	47.768970
22.550000	47.389526
23.100000	47.117603
23.650000	47.002815
24.200000	46.985939
24.750000	47.018677
25.300000	47.159904
25.850000	47.402050
26.400000	47.600792
26.950000	48.367760
27.500000	48.871693
28.050000	49.405807
28.600000	49.861122
29.150000	50.107922
29.700000	50.452572
30.250000	50.433746
30.800000	50.373180
31.350000	49.542553
31.900000	48.957516
32.450000	48.007671
33.000000	47.787621
33.550000	47.628044
34.100000	47.615723
34.650000	47.616745
35.200000	47.594604
35.750000	47.592407
36.300000	47.570503
36.850000	47.544415
37.400000	46.978191
37.950000	46.733143
38.500000	46.636852
39.050000	46.151859
39.600000	45.802734
40.150000	45.650917
40.700000	45.648251
41.250000	45.312519
41.800000	45.357903
42.350000	45.343300
42.900000	45.424984
43.450000	45.614563
44.000000	45.821495
44.550000	45.857399
45.100000	45.836086
45.650000	46.139317
46.200000	46.172985
46.750000	46.153484
47.300000	46.005192
47.850000	45.532784
48.400000	44.677124
48.950000	44.114738
49.500000	44.100143
50.050000	44.142036
50.600000	44.203987
51.150000	44.339275
51.700000	44.381962
52.250000	44.285652
52.800000	43.978676
53.350000	43.746223
53.900000	43.708107
54.450000	43.748363
55.000000	43.778893
55.550000	43.820827
56.100000	43.955849
56.650000	43.915298
57.200000	44.021458
57.750000	44.296040
58.300000	44.814003
58.850000	44.969742
59.400000	45.012432
59.950000	45.111122
60.500000	45.141354
61.050000	46.016190
61.600000	46.231178
62.150000	46.584095
62.700000	46.916817
63.250000	46.993080
63.800000	47.474812
64.350000	47.568783
64.900000	47.624329
65.450000	47.656883
66.000000	47.553589
66.550000	47.394962
67.100000	46.513935
67.650000	45.781452
68.200000	45.760166
68.750000	45.409809
69.300000	45.183907
69.850000	44.836040
70.400000	44.863144
70.950000	44.757332
71.500000	44.892605
72.050000	44.881462
72.600000	45.115669
73.150000	45.142860
73.700000	45.162666
74.250000	45.058361
74.800000	45.134445
75.350000	45.348171
75.900000	45.349445
76.450000	45.494301
77.000000	45.849949
77.550000	46.383495
78.100000	46.825535
78.650000	46.970173
79.200000	47.016319
79.750000	47.152805
80.300000	47.202282
80.850000	47.242619
81.400000	47.308266
81.950000	47.415737
82.500000	47.674770
83.050000	47.678440
83.600000	47.600719
84.150000	47.397701
84.700000	46.690067
85.250000	45.759167
85.800000	45.556240
86.350000	44.952908
86.900000	44.392662
87.450000	44.065018
88.000000	43.769642
88.550000	43.543362
89.100000	43.333965
89.650000	43.299683
90.200000	43.339466
90.750000	43.463001
91.300000	43.674850
91.850000	44.110184
92.400000	44.174320
92.950000	44.221741
93.500000	44.198269
94.050000	44.165272
94.600000	44.173283
95.150000	44.141441
95.700000	44.008289
96.250000	43.889046
96.800000	43.879665
97.350000	43.875267
97.900000	43.935432
98.450000	44.063198
99.000000	44.079540
99.550000	44.095490
100.100000	43.993359
100.650000	43.894211
101.200000	43.920288
101.750000	43.810524
102.300000	43.718323
102.850000	42.373760
103.400000	42.127045
103.950000	42.257992
104.500000	43.074467
105.050000	43.635296
105.600000	44.337112
106.150000	45.250900
106.700000	45.459419
107.250000	45.422977
107.800000	45.308300
108.350000	44.868286
108.900000	44.505913
109.450000	44.002083
110.000000	43.789265
110.550000	43.789265
