This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:11:42

This file contains the kymograph results for the parameter Z_f:
peak height of primary frequency	Results Median:
arc length	Rabbit delta 78 heterozygote014_SpQP_spq_210215_204725
0.000000	13.641982
0.550000	13.489387
1.100000	12.787451
1.650000	12.787451
2.200000	11.688767
2.750000	11.459875
3.300000	10.590084
3.850000	10.590084
4.400000	10.635863
4.950000	12.467001
5.500000	12.482261
6.050000	12.985824
6.600000	13.229976
7.150000	13.184197
7.700000	13.382570
8.250000	13.413090
8.800000	13.184197
9.350000	13.245235
9.900000	13.443608
10.450000	13.565684
11.000000	13.596204
11.550000	13.687760
12.100000	13.947171
12.650000	14.053988
13.200000	14.191323
13.750000	14.252361
14.300000	14.359178
14.850000	14.374437
15.400000	14.343919
15.950000	14.420216
16.500000	13.641982
17.050000	13.718279
17.600000	13.764058
18.150000	14.694886
18.700000	15.991943
19.250000	16.373430
19.800000	16.373430
20.350000	16.373430
20.900000	15.122152
21.450000	14.496513
22.000000	14.496513
22.550000	14.496513
23.100000	14.771184
23.650000	14.954298
24.200000	15.137412
24.750000	15.640975
25.300000	16.007202
25.850000	15.778310
26.400000	16.205576
26.950000	16.938032
27.500000	17.426334
28.050000	18.021456
28.600000	18.769169
29.150000	18.784430
29.700000	18.784430
30.250000	18.219828
30.800000	18.021456
31.350000	17.945158
31.900000	17.968048
32.450000	18.036715
33.000000	18.418201
33.550000	19.104879
34.100000	19.051470
34.650000	18.952284
35.200000	18.540277
35.750000	17.319519
36.300000	17.395815
36.850000	17.701006
37.400000	19.135397
37.950000	19.120138
38.500000	19.028582
39.050000	16.815956
39.600000	16.693880
40.150000	15.915646
40.700000	15.885126
41.250000	15.686753
41.800000	15.839348
42.350000	15.961424
42.900000	16.556543
43.450000	16.556543
44.000000	16.533655
44.550000	16.205576
45.100000	15.747791
45.650000	16.114019
46.200000	16.205576
46.750000	16.922771
47.300000	16.968552
47.850000	17.021957
48.400000	16.632841
48.950000	16.182686
49.500000	15.923275
50.050000	15.999573
50.600000	16.632841
51.150000	16.678619
51.700000	16.876993
52.250000	16.587063
52.800000	16.587063
53.350000	16.754917
53.900000	17.121145
54.450000	17.128775
55.000000	16.945660
55.550000	16.388689
56.100000	15.183190
56.650000	15.061114
57.200000	15.122152
57.750000	16.144537
58.300000	17.304258
58.850000	17.945158
59.400000	18.341904
59.950000	18.692873
60.500000	18.975174
61.050000	19.303253
61.600000	19.196436
62.150000	18.692873
62.700000	18.479240
63.250000	18.174049
63.800000	18.021454
64.350000	18.471611
64.900000	19.585552
65.450000	20.829201
66.000000	20.386677
66.550000	20.386677
67.100000	20.264599
67.650000	19.471107
68.200000	17.891750
68.750000	17.090626
69.300000	16.876993
69.850000	15.488379
70.400000	15.427342
70.950000	15.801199
71.500000	16.678619
72.050000	17.884121
72.600000	18.311384
73.150000	19.364290
73.700000	19.585552
74.250000	19.761036
74.800000	19.783926
75.350000	20.066227
75.900000	20.371416
76.450000	20.691866
77.000000	20.775791
77.550000	20.783422
78.100000	20.432453
78.650000	20.340897
79.200000	20.432453
79.750000	20.394306
80.300000	20.203562
80.850000	20.371416
81.400000	21.241207
81.950000	22.431446
82.500000	22.950270
83.050000	23.804802
83.600000	24.186287
84.150000	25.147636
84.700000	25.880091
85.250000	25.117117
85.800000	23.606428
86.350000	23.469091
86.900000	23.133383
87.450000	22.339890
88.000000	22.339890
88.550000	22.248333
89.100000	21.943144
89.650000	22.202555
90.200000	21.874475
90.750000	21.775290
91.300000	21.027575
91.850000	21.149651
92.400000	20.592678
92.950000	20.234081
93.500000	19.349030
94.050000	19.394808
94.600000	18.792059
95.150000	16.632841
95.700000	16.632841
96.250000	15.999573
96.800000	15.335785
97.350000	14.656738
97.900000	13.687760
98.450000	13.580944
99.000000	13.542795
99.550000	13.931912
100.100000	13.947171
100.650000	15.091633
101.200000	16.510765
101.750000	16.373430
102.300000	16.037722
102.850000	15.671494
103.400000	14.221842
103.950000	14.237102
104.500000	14.343919
105.050000	14.267621
105.600000	14.267621
106.150000	18.647095
106.700000	20.188303
107.250000	20.188303
107.800000	19.883112
108.350000	19.761036
108.900000	19.074360
109.450000	15.656234
110.000000	15.061113
110.550000	15.061113
