This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:11:42

This file contains the kymograph results for the parameter Z_f:
secondary frequency	Results Average:
arc length	Rabbit delta 78 heterozygote014_SpQP_spq_210215_204725
0.000000	51.328499
0.550000	51.587173
1.100000	50.828419
1.650000	49.751305
2.200000	48.714165
2.750000	48.410744
3.300000	48.925610
3.850000	50.107136
4.400000	48.826202
4.950000	47.841244
5.500000	45.955872
6.050000	47.553036
6.600000	47.642700
7.150000	50.821606
7.700000	55.915951
8.250000	58.607063
8.800000	60.795876
9.350000	62.049431
9.900000	61.049381
10.450000	62.333004
11.000000	66.512054
11.550000	71.258469
12.100000	67.840607
12.650000	67.537178
13.200000	62.681568
13.750000	63.940247
14.300000	63.428051
14.850000	63.074879
15.400000	59.204300
15.950000	54.358459
16.500000	48.104496
17.050000	45.631840
17.600000	47.596893
18.150000	53.049713
18.700000	55.174255
19.250000	52.025158
19.800000	44.940681
20.350000	37.239010
20.900000	34.850868
21.450000	34.870586
22.000000	39.268589
22.550000	40.646648
23.100000	44.890450
23.650000	50.512398
24.200000	49.054737
24.750000	48.049702
25.300000	41.706360
25.850000	39.159195
26.400000	32.771332
26.950000	30.458124
27.500000	30.129667
28.050000	29.194233
28.600000	26.213961
29.150000	24.268608
29.700000	23.755945
30.250000	24.895199
30.800000	31.776085
31.350000	30.811438
31.900000	31.421608
32.450000	35.902401
33.000000	46.020550
33.550000	50.232643
34.100000	60.838390
34.650000	64.067215
35.200000	64.428680
35.750000	55.736000
36.300000	42.739998
36.850000	38.698753
37.400000	38.469280
37.950000	37.333084
38.500000	35.645401
39.050000	27.313822
39.600000	23.314655
40.150000	24.841692
40.700000	20.127819
41.250000	20.063425
41.800000	19.417517
42.350000	21.987274
42.900000	25.635098
43.450000	25.790934
44.000000	26.121717
44.550000	23.335594
45.100000	22.938719
45.650000	23.064028
46.200000	22.680170
46.750000	23.850370
47.300000	25.968798
47.850000	26.517523
48.400000	27.280769
48.950000	29.739403
49.500000	33.081009
50.050000	34.373150
50.600000	37.106876
51.150000	36.193764
51.700000	38.189339
52.250000	38.950325
52.800000	38.230713
53.350000	38.848335
53.900000	39.547085
54.450000	36.130337
55.000000	33.849937
55.550000	32.493824
56.100000	35.217751
56.650000	33.631508
57.200000	34.052242
57.750000	29.954666
58.300000	31.130032
58.850000	30.829720
59.400000	26.590776
59.950000	22.294788
60.500000	20.550943
61.050000	20.648638
61.600000	18.275625
62.150000	17.851915
62.700000	18.598221
63.250000	17.354012
63.800000	18.348944
64.350000	16.672112
64.900000	16.233576
65.450000	15.095110
66.000000	14.523523
66.550000	13.983869
67.100000	13.619514
67.650000	12.674608
68.200000	15.386906
68.750000	17.287968
69.300000	19.054342
69.850000	19.984266
70.400000	20.740211
70.950000	17.815857
71.500000	19.500338
72.050000	20.189955
72.600000	19.295876
73.150000	19.719381
73.700000	17.071272
74.250000	16.153042
74.800000	16.232849
75.350000	15.791358
75.900000	15.413821
76.450000	15.291369
77.000000	13.946652
77.550000	13.920572
78.100000	15.061007
78.650000	15.451893
79.200000	15.115893
79.750000	15.022164
80.300000	16.029005
80.850000	15.871364
81.400000	17.951361
81.950000	16.779654
82.500000	19.522461
83.050000	16.879456
83.600000	15.985071
84.150000	14.914659
84.700000	13.837246
85.250000	13.222502
85.800000	13.210960
86.350000	13.474221
86.900000	14.642783
87.450000	14.947310
88.000000	18.505434
88.550000	18.030325
89.100000	18.258162
89.650000	17.828035
90.200000	17.068300
90.750000	16.193335
91.300000	15.689789
91.850000	14.125143
92.400000	14.465054
92.950000	13.930252
93.500000	13.666900
94.050000	13.465042
94.600000	13.526731
95.150000	12.797685
95.700000	11.417667
96.250000	11.050961
96.800000	10.999649
97.350000	12.102377
97.900000	12.925285
98.450000	14.089587
99.000000	14.803039
99.550000	17.649035
100.100000	17.578819
100.650000	18.542246
101.200000	12.524639
101.750000	12.471373
102.300000	11.534725
102.850000	11.801074
103.400000	12.388826
103.950000	16.727896
104.500000	20.605547
105.050000	15.333607
105.600000	15.471009
106.150000	18.000113
106.700000	18.000113
107.250000	15.999980
107.800000	13.999669
108.350000	18.666147
108.900000	23.332449
109.450000	25.582090
110.000000	25.873861
110.550000	25.873861
