This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:11:42

This file contains the kymograph results for the parameter X_f:
secondary frequency	Results Average:
arc length	Rabbit delta 78 heterozygote014_SpQP_spq_210215_204725
0.000000	28.059769
0.550000	28.915541
1.100000	28.930468
1.650000	34.552418
2.200000	38.806175
2.750000	39.995266
3.300000	43.149410
3.850000	43.266422
4.400000	40.510090
4.950000	38.512543
5.500000	40.139317
6.050000	48.099659
6.600000	49.104454
7.150000	52.870552
7.700000	54.716255
8.250000	48.213737
8.800000	47.571907
9.350000	46.328075
9.900000	49.238552
10.450000	51.298374
11.000000	48.522358
11.550000	48.114468
12.100000	47.104565
12.650000	38.154160
13.200000	34.368195
13.750000	32.801018
14.300000	34.278576
14.850000	40.323299
15.400000	46.009911
15.950000	50.701454
16.500000	54.004848
17.050000	52.512287
17.600000	49.263447
18.150000	48.790836
18.700000	47.422672
19.250000	48.114193
19.800000	47.736080
20.350000	47.591785
20.900000	43.342987
21.450000	42.522099
22.000000	41.238461
22.550000	39.089184
23.100000	39.830517
23.650000	36.820484
24.200000	36.546825
24.750000	35.840343
25.300000	39.606621
25.850000	38.964878
26.400000	39.571800
26.950000	41.352978
27.500000	38.298210
28.050000	41.069374
28.600000	34.039574
29.150000	33.323200
29.700000	32.855480
30.250000	35.094360
30.800000	35.417786
31.350000	35.429600
31.900000	35.699463
32.450000	38.959034
33.000000	37.533665
33.550000	40.163986
34.100000	41.430077
34.650000	50.118916
35.200000	51.562862
35.750000	52.000034
36.300000	50.674129
36.850000	49.569279
37.400000	46.161270
37.950000	45.463295
38.500000	44.919956
39.050000	48.405666
39.600000	49.586700
40.150000	51.126446
40.700000	54.312538
41.250000	57.060661
41.800000	64.506111
42.350000	63.553310
42.900000	63.540745
43.450000	58.221889
44.000000	57.165226
44.550000	55.311798
45.100000	55.564335
45.650000	55.425396
46.200000	64.339973
46.750000	64.339973
47.300000	64.603920
47.850000	64.013657
48.400000	66.848793
48.950000	67.072357
49.500000	65.896904
50.050000	64.817009
50.600000	60.929211
51.150000	61.387455
51.700000	55.401371
52.250000	55.205936
52.800000	55.308998
53.350000	33.291126
53.900000	33.620693
54.450000	32.999470
55.000000	33.772247
55.550000	33.908646
56.100000	50.744148
56.650000	50.894520
57.200000	51.887913
57.750000	43.121090
58.300000	42.434948
58.850000	42.840942
59.400000	43.543133
59.950000	45.178070
60.500000	45.296600
61.050000	43.663696
61.600000	46.007401
62.150000	40.057190
62.700000	40.091129
63.250000	40.091129
63.800000	40.614929
64.350000	40.222618
64.900000	40.438011
65.450000	41.126545
66.000000	41.301128
66.550000	41.301128
67.100000	42.115250
67.650000	42.882904
68.200000	41.120552
68.750000	39.263607
69.300000	38.456928
69.850000	38.713863
70.400000	38.823586
70.950000	40.688114
71.500000	41.466263
72.050000	39.422058
72.600000	40.851753
73.150000	37.508274
73.700000	39.785187
74.250000	40.639095
74.800000	37.357246
75.350000	36.412533
75.900000	36.296886
76.450000	36.895123
77.000000	37.463867
77.550000	35.866703
78.100000	34.560238
78.650000	33.503746
79.200000	30.026165
79.750000	29.597593
80.300000	16.423304
80.850000	15.238405
81.400000	15.171060
81.950000	15.091644
82.500000	11.954212
83.050000	8.442537
83.600000	8.281799
84.150000	8.196206
84.700000	7.918944
85.250000	10.022324
85.800000	11.589396
86.350000	16.273108
86.900000	16.420464
87.450000	16.563223
88.000000	17.225084
88.550000	15.625645
89.100000	18.698311
89.650000	18.676825
90.200000	19.203886
90.750000	19.476942
91.300000	19.103144
91.850000	18.999706
92.400000	18.301987
92.950000	17.185810
93.500000	14.447978
94.050000	14.470312
94.600000	14.091866
95.150000	13.949109
95.700000	15.594467
96.250000	14.986794
96.800000	13.986883
97.350000	13.986883
97.900000	14.596660
98.450000	14.716041
99.000000	15.120872
99.550000	9.175748
100.100000	8.614450
100.650000	9.153013
101.200000	9.098813
101.750000	9.098813
102.300000	9.612481
102.850000	10.719659
103.400000	11.360925
103.950000	12.105525
104.500000	12.482779
105.050000	10.684738
105.600000	10.617033
106.150000	10.333613
106.700000	10.333613
107.250000	10.333613
107.800000	25.058033
108.350000	30.998947
108.900000	30.998947
109.450000	20.749281
110.000000	25.624098
110.550000	25.624098
