This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:11:42

This file contains the kymograph results for the parameter Y_f:
peak height of primary frequency	Results Average:
arc length	Rabbit delta 78 heterozygote014_SpQP_spq_210215_204725
0.000000	12.428050
0.550000	16.846027
1.100000	21.159527
1.650000	26.970560
2.200000	31.423365
2.750000	35.025410
3.300000	35.741840
3.850000	35.741840
4.400000	35.080139
4.950000	32.886074
5.500000	29.259153
6.050000	26.776527
6.600000	23.756582
7.150000	22.866020
7.700000	22.866020
8.250000	23.328714
8.800000	28.920839
9.350000	35.702038
9.900000	43.801662
10.450000	51.090332
11.000000	59.866585
11.550000	68.339348
12.100000	76.135490
12.650000	83.255005
13.200000	91.921799
13.750000	100.618454
14.300000	108.429512
14.850000	115.076385
15.400000	122.529236
15.950000	130.315414
16.500000	138.265793
17.050000	144.554443
17.600000	155.718796
18.150000	163.305969
18.700000	172.515076
19.250000	181.962982
19.800000	189.903397
20.350000	198.425919
20.900000	207.923569
21.450000	217.854065
22.000000	228.799515
22.550000	236.615555
23.100000	243.361923
23.650000	252.466537
24.200000	264.819977
24.750000	273.576324
25.300000	282.402313
25.850000	293.939819
26.400000	307.203705
26.950000	311.422668
27.500000	324.169128
28.050000	333.547394
28.600000	347.293854
29.150000	354.632294
29.700000	363.040375
30.250000	369.781769
30.800000	380.846619
31.350000	383.774719
31.900000	391.369629
32.450000	404.667725
33.000000	412.441528
33.550000	417.710083
34.100000	424.183899
34.650000	433.460663
35.200000	438.815460
35.750000	446.809021
36.300000	454.067719
36.850000	470.377350
37.400000	480.068451
37.950000	486.335114
38.500000	496.287567
39.050000	510.430664
39.600000	520.990601
40.150000	531.111572
40.700000	538.865356
41.250000	545.711365
41.800000	551.305908
42.350000	562.297913
42.900000	567.033813
43.450000	569.420471
44.000000	579.110168
44.550000	587.384827
45.100000	600.111206
45.650000	603.063232
46.200000	627.580994
46.750000	634.608337
47.300000	642.350098
47.850000	646.766846
48.400000	658.031616
48.950000	665.894226
49.500000	687.128113
50.050000	694.727051
50.600000	704.247375
51.150000	718.274536
51.700000	730.321777
52.250000	732.621887
52.800000	735.789856
53.350000	743.518921
53.900000	760.663147
54.450000	768.852661
55.000000	775.701233
55.550000	781.451355
56.100000	785.771423
56.650000	789.703796
57.200000	791.325500
57.750000	800.860718
58.300000	804.073364
58.850000	809.593750
59.400000	809.823364
59.950000	824.593994
60.500000	842.309753
61.050000	852.747375
61.600000	859.351685
62.150000	858.582336
62.700000	858.112305
63.250000	858.181030
63.800000	858.997742
64.350000	862.043945
64.900000	865.220886
65.450000	901.680420
66.000000	902.347107
66.550000	902.855042
67.100000	900.336060
67.650000	918.539001
68.200000	923.457642
68.750000	924.318115
69.300000	920.045044
69.850000	921.680725
70.400000	923.246094
70.950000	926.710876
71.500000	934.330933
72.050000	951.592102
72.600000	1001.389221
73.150000	1010.743469
73.700000	1013.595825
74.250000	1017.763306
74.800000	1016.489685
75.350000	1009.580627
75.900000	1012.274048
76.450000	1013.737244
77.000000	1027.953247
77.550000	1044.803589
78.100000	1051.042114
78.650000	1054.095093
79.200000	1054.176758
79.750000	1056.150024
80.300000	1054.421509
80.850000	1071.970459
81.400000	1071.637939
81.950000	1072.346680
82.500000	1076.585205
83.050000	1090.564697
83.600000	1100.764404
84.150000	1113.645874
84.700000	1109.458862
85.250000	1115.539307
85.800000	1109.059082
86.350000	1110.174805
86.900000	1110.185425
87.450000	1101.261475
88.000000	1086.360718
88.550000	1087.269165
89.100000	1104.124390
89.650000	1105.016846
90.200000	1173.597412
90.750000	1178.517944
91.300000	1178.845581
91.850000	1180.552124
92.400000	1178.948242
92.950000	1181.320312
93.500000	1173.132812
94.050000	1169.664917
94.600000	1142.254272
95.150000	1140.105957
95.700000	1141.144043
96.250000	1151.222656
96.800000	1151.774048
97.350000	1152.645752
97.900000	1141.226318
98.450000	1152.107178
99.000000	1148.184204
99.550000	1157.877319
100.100000	1157.877319
100.650000	1162.441528
101.200000	1179.099976
101.750000	1179.198364
102.300000	1180.069702
102.850000	1192.201904
103.400000	1254.630249
103.950000	1230.618774
104.500000	1237.685547
105.050000	1246.167114
105.600000	1260.254517
106.150000	1279.352905
106.700000	1280.686157
107.250000	1283.019653
107.800000	1337.490967
108.350000	1337.353760
108.900000	1355.354004
109.450000	1432.021851
110.000000	1371.395996
110.550000	1371.395996
