This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:11:42

This file contains the kymograph results for the parameter X_f:
primary frequency	Results Average:
arc length	Rabbit delta 78 heterozygote014_SpQP_spq_210215_204725
0.000000	28.059587
0.550000	23.552128
1.100000	20.437912
1.650000	21.286207
2.200000	21.609632
2.750000	21.281403
3.300000	20.244112
3.850000	21.079866
4.400000	22.497524
4.950000	23.557264
5.500000	28.671598
6.050000	30.542168
6.600000	30.457594
7.150000	27.980152
7.700000	28.836182
8.250000	30.612417
8.800000	30.532816
9.350000	30.055202
9.900000	28.338701
10.450000	27.801382
11.000000	27.667076
11.550000	27.627251
12.100000	26.174410
12.650000	25.537651
13.200000	24.517735
13.750000	23.527714
14.300000	22.766516
14.850000	15.716757
15.400000	15.194349
15.950000	15.194349
16.500000	16.482925
17.050000	23.099926
17.600000	23.721817
18.150000	23.686979
18.700000	23.647156
19.250000	25.114683
19.800000	24.821140
20.350000	26.139526
20.900000	26.497713
21.450000	27.388264
22.000000	30.184343
22.550000	29.134558
23.100000	28.766399
23.650000	27.756422
24.200000	31.179333
24.750000	31.821121
25.300000	36.492634
25.850000	35.965240
26.400000	35.965240
26.950000	37.164246
27.500000	32.343151
28.050000	32.308342
28.600000	33.586933
29.150000	34.751083
29.700000	33.532242
30.250000	26.467558
30.800000	26.940186
31.350000	28.406666
31.900000	29.267220
32.450000	29.158495
33.000000	28.688616
33.550000	28.152943
34.100000	28.574730
34.650000	29.626451
35.200000	29.977526
35.750000	29.944416
36.300000	29.430246
36.850000	28.048895
37.400000	26.815844
37.950000	24.739286
38.500000	24.736288
39.050000	24.410501
39.600000	27.519205
40.150000	27.447250
40.700000	27.713215
41.250000	27.380728
41.800000	23.315350
42.350000	22.898266
42.900000	22.898266
43.450000	22.057655
44.000000	22.120392
44.550000	21.985350
45.100000	21.944353
45.650000	22.039305
46.200000	22.420486
46.750000	22.644949
47.300000	21.877329
47.850000	21.585686
48.400000	21.955664
48.950000	22.121996
49.500000	22.417921
50.050000	23.032328
50.600000	23.466208
51.150000	24.425026
51.700000	35.506561
52.250000	35.556244
52.800000	35.250843
53.350000	27.976044
53.900000	23.983509
54.450000	23.347126
55.000000	22.778929
55.550000	22.210733
56.100000	22.058765
56.650000	22.058765
57.200000	22.080704
57.750000	22.384972
58.300000	23.594002
58.850000	23.750515
59.400000	23.730862
59.950000	23.750515
60.500000	23.920448
61.050000	24.100132
61.600000	24.093058
62.150000	22.787060
62.700000	22.540588
63.250000	22.540588
63.800000	22.698601
64.350000	22.698601
64.900000	22.698601
65.450000	23.530359
66.000000	23.355778
66.550000	23.355778
67.100000	23.469690
67.650000	23.365269
68.200000	23.232475
68.750000	23.438618
69.300000	23.037399
69.850000	23.538313
70.400000	23.702610
70.950000	23.301867
71.500000	23.465250
72.050000	23.610649
72.600000	22.398607
73.150000	22.858334
73.700000	23.230820
74.250000	23.214895
74.800000	24.683969
75.350000	24.681234
75.900000	24.485699
76.450000	24.181246
77.000000	24.570059
77.550000	21.520821
78.100000	22.120504
78.650000	22.297009
79.200000	22.329128
79.750000	22.329128
80.300000	19.980656
80.850000	17.897943
81.400000	17.719593
81.950000	17.897943
82.500000	19.760210
83.050000	21.037140
83.600000	21.221975
84.150000	21.452257
84.700000	22.056755
85.250000	19.276648
85.800000	17.314833
86.350000	12.252214
86.900000	11.957500
87.450000	12.052781
88.000000	12.064105
88.550000	12.757126
89.100000	7.516103
89.650000	7.516103
90.200000	7.534086
90.750000	7.636365
91.300000	7.793099
91.850000	7.727257
92.400000	7.755814
92.950000	7.755814
93.500000	7.517288
94.050000	7.541240
94.600000	7.842265
95.150000	8.164660
95.700000	8.557039
96.250000	8.525723
96.800000	8.525723
97.350000	8.525723
97.900000	8.313629
98.450000	8.313629
99.000000	8.151743
99.550000	7.561749
100.100000	7.316154
100.650000	7.203749
101.200000	7.197081
101.750000	7.197081
102.300000	7.000397
102.850000	6.429075
103.400000	3.667686
103.950000	3.867666
104.500000	3.765722
105.050000	3.001144
105.600000	3.001144
106.150000	3.001144
106.700000	3.001144
107.250000	3.001144
107.800000	3.001144
108.350000	3.001144
108.900000	3.001144
109.450000	3.001144
110.000000	3.001144
110.550000	3.001144
