This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:11:42

This file contains the kymograph results for the parameter cAng_f:
center-of-mass of frequency spectrum	Results Maximum:
arc length	Rabbit delta 78 heterozygote014_SpQP_spq_210215_204725
0.000000	52.713947
0.550000	52.015518
1.100000	51.314056
1.650000	51.253323
2.200000	50.700653
2.750000	50.272488
3.300000	50.047779
3.850000	49.528511
4.400000	49.713749
4.950000	50.721912
5.500000	50.721912
6.050000	50.721912
6.600000	50.527565
7.150000	49.489037
7.700000	49.489037
8.250000	49.489037
8.800000	49.489037
9.350000	49.489037
9.900000	49.489037
10.450000	49.546734
11.000000	49.546734
11.550000	49.546734
12.100000	49.170189
12.650000	48.787571
13.200000	48.359406
13.750000	48.359406
14.300000	48.635742
14.850000	48.851341
15.400000	49.185371
15.950000	50.026520
16.500000	50.223904
17.050000	51.678452
17.600000	51.678452
18.150000	51.678452
18.700000	51.417301
19.250000	51.153114
19.800000	50.943584
20.350000	50.630814
20.900000	50.172279
21.450000	49.971863
22.000000	49.683380
22.550000	49.185371
23.100000	48.811867
23.650000	48.799721
24.200000	49.145897
24.750000	49.322021
25.300000	49.322021
25.850000	49.516365
26.400000	49.728931
26.950000	49.962753
27.500000	50.208721
28.050000	50.606518
28.600000	51.222958
29.150000	51.638977
29.700000	51.638977
30.250000	51.638977
30.800000	51.563061
31.350000	50.737095
31.900000	50.026520
32.450000	49.352386
33.000000	49.206627
33.550000	49.206627
34.100000	49.461708
34.650000	49.902020
35.200000	49.902020
35.750000	49.902020
36.300000	49.768406
36.850000	49.768406
37.400000	49.768406
37.950000	49.668198
38.500000	49.668198
39.050000	49.561916
39.600000	49.045689
40.150000	48.820976
40.700000	48.726841
41.250000	48.344223
41.800000	47.919094
42.350000	47.563808
42.900000	47.563808
43.450000	47.746006
44.000000	48.180244
44.550000	48.180244
45.100000	48.180244
45.650000	48.177208
46.200000	48.177208
46.750000	48.177208
47.300000	47.985901
47.850000	47.676163
48.400000	47.336060
48.950000	47.059727
49.500000	47.059727
50.050000	47.190300
50.600000	47.247997
51.150000	47.247997
51.700000	47.247997
52.250000	46.780354
52.800000	46.664963
53.350000	46.045490
53.900000	46.045490
54.450000	46.130516
55.000000	46.130516
55.550000	46.166954
56.100000	46.576900
56.650000	46.910931
57.200000	47.457523
57.750000	47.785480
58.300000	47.785480
58.850000	47.785480
59.400000	47.378574
59.950000	47.378574
60.500000	47.378574
61.050000	47.952496
61.600000	48.052708
62.150000	48.316895
62.700000	48.365479
63.250000	48.365479
63.800000	48.811867
64.350000	48.811867
64.900000	48.893856
65.450000	48.893856
66.000000	48.893856
66.550000	48.811867
67.100000	48.013229
67.650000	47.527367
68.200000	47.527367
68.750000	47.129570
69.300000	46.871452
69.850000	46.607265
70.400000	46.607265
70.950000	46.516167
71.500000	46.516167
72.050000	46.516167
72.600000	47.074909
73.150000	47.074909
73.700000	47.074909
74.250000	46.561718
74.800000	46.561718
75.350000	46.713551
75.900000	46.789463
76.450000	47.050617
77.000000	47.050617
77.550000	47.685272
78.100000	48.140770
78.650000	48.420139
79.200000	48.575008
79.750000	48.915112
80.300000	49.085163
80.850000	49.085163
81.400000	49.085163
81.950000	49.085163
82.500000	49.085163
83.050000	48.684326
83.600000	48.684326
84.150000	48.365479
84.700000	47.718678
85.250000	46.543499
85.800000	46.494911
86.350000	46.021194
86.900000	45.744862
87.450000	45.693237
88.000000	45.550518
88.550000	45.313660
89.100000	44.973557
89.650000	44.551464
90.200000	44.426960
90.750000	44.426960
91.300000	44.654709
91.850000	45.013031
92.400000	45.013031
92.950000	45.013031
93.500000	44.921932
94.050000	44.691147
94.600000	44.578793
95.150000	44.578793
95.700000	44.569683
96.250000	44.603085
96.800000	44.603085
97.350000	44.603085
97.900000	44.603085
98.450000	44.770100
99.000000	44.888531
99.550000	44.888531
100.100000	44.888531
100.650000	44.788319
101.200000	44.764027
101.750000	44.557537
102.300000	44.557537
102.850000	43.734608
103.400000	42.978485
103.950000	42.978485
104.500000	44.259945
105.050000	44.836906
105.600000	45.398685
106.150000	45.398685
106.700000	45.729679
107.250000	45.729679
107.800000	45.729679
108.350000	45.186119
108.900000	44.779209
109.450000	44.742771
110.000000	44.490730
110.550000	44.490730
