This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:11:42

This file contains the kymograph results for the parameter cAng_f:
peak height of primary frequency	Results Minimum:
arc length	Rabbit delta 78 heterozygote014_SpQP_spq_210215_204725
0.000000	254.003876
0.550000	337.005157
1.100000	418.006378
1.650000	501.007660
2.200000	623.009521
2.750000	778.011902
3.300000	866.013245
3.850000	927.014160
4.400000	927.014160
4.950000	1023.015625
5.500000	1023.015625
6.050000	1121.017090
6.600000	1181.018066
7.150000	1181.018066
7.700000	1181.018066
8.250000	1229.018799
8.800000	1229.018799
9.350000	1229.018799
9.900000	1229.018799
10.450000	1334.020386
11.000000	1307.019897
11.550000	1279.019531
12.100000	1267.019287
12.650000	1261.019287
13.200000	1258.019165
13.750000	1255.019165
14.300000	1255.019165
14.850000	1255.019165
15.400000	1260.019287
15.950000	1264.019287
16.500000	1264.019287
17.050000	1264.019287
17.600000	1199.018311
18.150000	1180.018066
18.700000	1180.018066
19.250000	1180.018066
19.800000	1162.017700
20.350000	992.015137
20.900000	965.014709
21.450000	942.014404
22.000000	898.013733
22.550000	898.013733
23.100000	898.013733
23.650000	854.013062
24.200000	777.011841
24.750000	738.011292
25.300000	736.011230
25.850000	736.011230
26.400000	736.011230
26.950000	745.011353
27.500000	755.011536
28.050000	772.011780
28.600000	772.011780
29.150000	803.012268
29.700000	834.012756
30.250000	835.012756
30.800000	882.013489
31.350000	889.013550
31.900000	860.013123
32.450000	847.012939
33.000000	847.012939
33.550000	837.012756
34.100000	828.012634
34.650000	828.012634
35.200000	828.012634
35.750000	847.012939
36.300000	872.013306
36.850000	933.014221
37.400000	933.014221
37.950000	933.014221
38.500000	933.014221
39.050000	1001.015259
39.600000	1001.015259
40.150000	987.015076
40.700000	987.015076
41.250000	987.015076
41.800000	987.015076
42.350000	1008.015381
42.900000	1013.015442
43.450000	1095.016724
44.000000	1104.016846
44.550000	1138.017334
45.100000	1138.017334
45.650000	1199.018311
46.200000	1235.018799
46.750000	1254.019165
47.300000	1254.019165
47.850000	1278.019531
48.400000	1383.021118
48.950000	1394.021240
49.500000	1394.021240
50.050000	1489.022705
50.600000	1528.023315
51.150000	1528.023315
51.700000	1551.023682
52.250000	1529.023315
52.800000	1529.023315
53.350000	1474.022461
53.900000	1369.020874
54.450000	1369.020874
55.000000	1369.020874
55.550000	1368.020874
56.100000	1330.020264
56.650000	1298.019775
57.200000	1246.019043
57.750000	1246.019043
58.300000	1246.019043
58.850000	1249.019043
59.400000	1265.019287
59.950000	1265.019287
60.500000	1265.019287
61.050000	1239.018921
61.600000	1152.017578
62.150000	1152.017578
62.700000	1152.017578
63.250000	1195.018188
63.800000	1121.017090
64.350000	1121.017090
64.900000	1109.016968
65.450000	1109.016968
66.000000	1109.016968
66.550000	1109.016968
67.100000	1196.018311
67.650000	1198.018311
68.200000	1198.018311
68.750000	1276.019531
69.300000	1308.020020
69.850000	1316.020142
70.400000	1339.020386
70.950000	1339.020386
71.500000	1265.019287
72.050000	1217.018555
72.600000	1217.018555
73.150000	1217.018555
73.700000	1282.019531
74.250000	1286.019653
74.800000	1328.020264
75.350000	1328.020264
75.900000	1328.020264
76.450000	1262.019287
77.000000	1170.017822
77.550000	1153.017578
78.100000	1060.016235
78.650000	1055.016113
79.200000	1055.016113
79.750000	1055.016113
80.300000	1071.016357
80.850000	1071.016357
81.400000	1107.016846
81.950000	1111.016968
82.500000	1070.016357
83.050000	1070.016357
83.600000	1070.016357
84.150000	1122.017090
84.700000	1195.018188
85.250000	1268.019409
85.800000	1299.019775
86.350000	1341.020508
86.900000	1342.020508
87.450000	1343.020508
88.000000	1348.020630
88.550000	1348.020630
89.100000	1348.020630
89.650000	1291.019653
90.200000	1237.018921
90.750000	1145.017456
91.300000	1113.016968
91.850000	1113.016968
92.400000	1113.016968
92.950000	1114.016968
93.500000	1179.017944
94.050000	1259.019165
94.600000	1273.019409
95.150000	1273.019409
95.700000	1326.020264
96.250000	1328.020264
96.800000	1383.021118
97.350000	1383.021118
97.900000	1383.021118
98.450000	1304.019897
99.000000	1204.018433
99.550000	1146.017456
100.100000	1124.017212
100.650000	1088.016602
101.200000	1065.016235
101.750000	1065.016235
102.300000	1065.016235
102.850000	1104.016846
103.400000	1120.017090
103.950000	1163.017700
104.500000	1261.019287
105.050000	1272.019409
105.600000	1272.019409
106.150000	1423.021729
106.700000	1460.022339
107.250000	1460.022339
107.800000	1453.022217
108.350000	1452.022217
108.900000	1404.021484
109.450000	1319.020142
110.000000	1314.020020
110.550000	1314.020020
