This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:11:42

This file contains the kymograph results for the parameter Y_f:
center-of-mass of frequency spectrum	Results Average:
arc length	Rabbit delta 78 heterozygote014_SpQP_spq_210215_204725
0.000000	50.436996
0.550000	49.940620
1.100000	49.411804
1.650000	49.336826
2.200000	48.941624
2.750000	48.630695
3.300000	48.486206
3.850000	48.183147
4.400000	48.052238
4.950000	47.639057
5.500000	47.623043
6.050000	47.297382
6.600000	47.318897
7.150000	47.420254
7.700000	48.816639
8.250000	49.012192
8.800000	49.018250
9.350000	48.801834
9.900000	48.726131
10.450000	48.719967
11.000000	48.637962
11.550000	48.620739
12.100000	48.621056
12.650000	48.278763
13.200000	48.237911
13.750000	48.224316
14.300000	48.206516
14.850000	48.100643
15.400000	47.892307
15.950000	47.860748
16.500000	47.679455
17.050000	47.697887
17.600000	47.670708
18.150000	47.671799
18.700000	47.622894
19.250000	47.616699
19.800000	47.614086
20.350000	47.964931
20.900000	47.907055
21.450000	47.879375
22.000000	47.788609
22.550000	47.703522
23.100000	47.443806
23.650000	47.403847
24.200000	47.122150
24.750000	47.063896
25.300000	47.061901
25.850000	47.005959
26.400000	46.998283
26.950000	46.998417
27.500000	46.919724
28.050000	46.890156
28.600000	46.534008
29.150000	46.504066
29.700000	46.166759
30.250000	46.124653
30.800000	46.112293
31.350000	46.135307
31.900000	46.147892
32.450000	46.561314
33.000000	46.632408
33.550000	46.677044
34.100000	46.689304
34.650000	46.670708
35.200000	46.656651
35.750000	46.606968
36.300000	46.436848
36.850000	46.403458
37.400000	46.420345
37.950000	46.268383
38.500000	46.220901
39.050000	45.631100
39.600000	45.599365
40.150000	45.519104
40.700000	45.560459
41.250000	45.558670
41.800000	45.664162
42.350000	45.687317
42.900000	45.682678
43.450000	45.760460
44.000000	45.694366
44.550000	45.661427
45.100000	45.657543
45.650000	45.601257
46.200000	45.373730
46.750000	45.370342
47.300000	45.388584
47.850000	45.443516
48.400000	45.447971
48.950000	45.433582
49.500000	45.144077
50.050000	45.050446
50.600000	45.038067
51.150000	45.084076
51.700000	45.268433
52.250000	45.291523
52.800000	45.324299
53.350000	45.351112
53.900000	45.156284
54.450000	45.158676
55.000000	45.157410
55.550000	45.161480
56.100000	45.342815
56.650000	45.336170
57.200000	45.343571
57.750000	44.842472
58.300000	44.825733
58.850000	44.828480
59.400000	44.862705
59.950000	44.849171
60.500000	44.973057
61.050000	44.941910
61.600000	44.954834
62.150000	44.999973
62.700000	45.187000
63.250000	45.340363
63.800000	45.358719
64.350000	45.358952
64.900000	45.358952
65.450000	44.802731
66.000000	44.802731
66.550000	44.802731
67.100000	44.983543
67.650000	45.001694
68.200000	45.002647
68.750000	45.060040
69.300000	45.575047
69.850000	45.563747
70.400000	45.589092
70.950000	45.721737
71.500000	45.723377
72.050000	45.741825
72.600000	44.954121
73.150000	44.920815
73.700000	44.905312
74.250000	44.817482
74.800000	44.808556
75.350000	44.818054
75.900000	45.057796
76.450000	45.074215
77.000000	45.068939
77.550000	45.049068
78.100000	44.655975
78.650000	44.658306
79.200000	44.631065
79.750000	44.633724
80.300000	44.669727
80.850000	44.741154
81.400000	44.863937
81.950000	44.886997
82.500000	44.888893
83.050000	44.840324
83.600000	44.680298
84.150000	44.346287
84.700000	44.361179
85.250000	44.342339
85.800000	44.769268
86.350000	44.743603
86.900000	44.743603
87.450000	44.677094
88.000000	44.688080
88.550000	44.667255
89.100000	44.600670
89.650000	44.605305
90.200000	44.651394
90.750000	44.679241
91.300000	44.707310
91.850000	44.709473
92.400000	44.765297
92.950000	44.959290
93.500000	45.014637
94.050000	45.041576
94.600000	45.119034
95.150000	45.074303
95.700000	44.822147
96.250000	44.756512
96.800000	44.754841
97.350000	44.753906
97.900000	44.811844
98.450000	44.817192
99.000000	44.829823
99.550000	44.894230
100.100000	44.894230
100.650000	44.886986
101.200000	44.389526
101.750000	44.389626
102.300000	44.111305
102.850000	44.143993
103.400000	43.941097
103.950000	43.745472
104.500000	43.554256
105.050000	43.892063
105.600000	44.128300
106.150000	43.833805
106.700000	43.833805
107.250000	43.833805
107.800000	43.930023
108.350000	42.470352
108.900000	42.436951
109.450000	42.436443
110.000000	42.363945
110.550000	42.363945
