This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:11:42

This file contains the kymograph results for the parameter X_f:
center-of-mass of frequency spectrum	Results Maximum:
arc length	Rabbit delta 78 heterozygote014_SpQP_spq_210215_204725
0.000000	39.249493
0.550000	38.068241
1.100000	36.886990
1.650000	36.149086
2.200000	35.468880
2.750000	34.521446
3.300000	33.567944
3.850000	32.872551
4.400000	38.016617
4.950000	38.016617
5.500000	39.519753
6.050000	39.519753
6.600000	39.519753
7.150000	42.234509
7.700000	42.592831
8.250000	42.592831
8.800000	42.592831
9.350000	41.724354
9.900000	42.116077
10.450000	42.422779
11.000000	42.422779
11.550000	42.422779
12.100000	42.234509
12.650000	42.234509
13.200000	42.234509
13.750000	42.234509
14.300000	42.149483
14.850000	42.328644
15.400000	42.498695
15.950000	42.720371
16.500000	42.857018
17.050000	42.857018
17.600000	43.048328
18.150000	43.276073
18.700000	43.276073
19.250000	43.276073
19.800000	42.899532
20.350000	42.899532
20.900000	42.899532
21.450000	34.891918
22.000000	35.256313
22.550000	35.553905
23.100000	35.805946
23.650000	35.833275
24.200000	35.854530
24.750000	36.048878
25.300000	36.489189
25.850000	36.665314
26.400000	36.814110
26.950000	37.184578
27.500000	37.315155
28.050000	37.463951
28.600000	37.776722
29.150000	37.876934
29.700000	37.983215
30.250000	38.025726
30.800000	38.025726
31.350000	38.025726
31.900000	38.141121
32.450000	38.223110
33.000000	38.535881
33.550000	38.669495
34.100000	38.769703
34.650000	38.897243
35.200000	39.033890
35.750000	39.079441
36.300000	39.079441
36.850000	39.292007
37.400000	39.292007
37.950000	39.292007
38.500000	39.701950
39.050000	39.944881
39.600000	40.257656
40.150000	40.479332
40.700000	40.479332
41.250000	40.479332
41.800000	40.479332
42.350000	40.479332
42.900000	40.479332
43.450000	40.479332
44.000000	40.479332
44.550000	40.527916
45.100000	40.591686
45.650000	40.679749
46.200000	41.059330
46.750000	41.153465
47.300000	41.189903
47.850000	41.189903
48.400000	41.189903
48.950000	41.189903
49.500000	41.189903
50.050000	41.189903
50.600000	40.606869
51.150000	40.606869
51.700000	40.640274
52.250000	40.640274
52.800000	40.640274
53.350000	40.442890
53.900000	40.442890
54.450000	40.442890
55.000000	40.488441
55.550000	40.521843
56.100000	41.162575
56.650000	41.183830
57.200000	41.217236
57.750000	41.235455
58.300000	41.235455
58.850000	41.235455
59.400000	41.235455
59.950000	41.448017
60.500000	41.590740
61.050000	41.590740
61.600000	41.590740
62.150000	41.499641
62.700000	41.481422
63.250000	41.481422
63.800000	41.253674
64.350000	41.253674
64.900000	41.253674
65.450000	41.378178
66.000000	41.378178
66.550000	41.378178
67.100000	41.378178
67.650000	41.378178
68.200000	41.523933
68.750000	41.523933
69.300000	41.660583
69.850000	41.660583
70.400000	41.660583
70.950000	41.660583
71.500000	41.621105
72.050000	41.593777
72.600000	41.593777
73.150000	41.593777
73.700000	41.775974
74.250000	41.775974
74.800000	41.797234
75.350000	41.797234
75.900000	41.797234
76.450000	41.730427
77.000000	41.730427
77.550000	41.730427
78.100000	41.490532
78.650000	41.490532
79.200000	41.490532
79.750000	41.490532
80.300000	41.490532
80.850000	40.861946
81.400000	40.816399
81.950000	40.816399
82.500000	40.816399
83.050000	40.816399
83.600000	40.816399
84.150000	40.752628
84.700000	40.458073
85.250000	40.458073
85.800000	40.436817
86.350000	40.272839
86.900000	40.272839
87.450000	40.245510
88.000000	40.187813
88.550000	40.187813
89.100000	39.252529
89.650000	39.252529
90.200000	39.252529
90.750000	39.452946
91.300000	39.452946
91.850000	39.452946
92.400000	39.452946
92.950000	39.525826
93.500000	40.011688
94.050000	40.011688
94.600000	40.011688
95.150000	40.121006
95.700000	40.121006
96.250000	40.193886
96.800000	40.193886
97.350000	40.193886
97.900000	40.136192
98.450000	40.136192
99.000000	40.136192
99.550000	40.136192
100.100000	39.562267
100.650000	39.562267
101.200000	39.504570
101.750000	39.504570
102.300000	39.504570
102.850000	39.419544
103.400000	38.930645
103.950000	39.046040
104.500000	39.073368
105.050000	38.757557
105.600000	38.757557
106.150000	38.022690
106.700000	38.022690
107.250000	38.022690
107.800000	38.642166
108.350000	38.581432
108.900000	39.498497
109.450000	39.817345
110.000000	39.817345
110.550000	39.817345
