This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:11:42

This file contains the kymograph results for the parameter cAng_f:
secondary frequency	Results Maximum:
arc length	Rabbit delta 78 heterozygote014_SpQP_spq_210215_204725
0.000000	97.999329
0.550000	90.498833
1.100000	88.998734
1.650000	88.998734
2.200000	88.998734
2.750000	88.998734
3.300000	88.998734
3.850000	88.998734
4.400000	88.998734
4.950000	88.998734
5.500000	88.998734
6.050000	88.998734
6.600000	88.998734
7.150000	91.998932
7.700000	91.998932
8.250000	91.998932
8.800000	91.998932
9.350000	91.998932
9.900000	91.998932
10.450000	91.998932
11.000000	90.999878
11.550000	90.999878
12.100000	90.999878
12.650000	90.999878
13.200000	90.999878
13.750000	90.999878
14.300000	84.000427
14.850000	88.998734
15.400000	100.000473
15.950000	100.000473
16.500000	100.000473
17.050000	100.000473
17.600000	100.000473
18.150000	100.000473
18.700000	94.000076
19.250000	94.000076
19.800000	94.000076
20.350000	94.000076
20.900000	88.998734
21.450000	88.998734
22.000000	88.998734
22.550000	88.998734
23.100000	88.998734
23.650000	88.998734
24.200000	88.998734
24.750000	88.998734
25.300000	88.998734
25.850000	91.998932
26.400000	91.998932
26.950000	91.998932
27.500000	91.998932
28.050000	91.998932
28.600000	91.998932
29.150000	91.998932
29.700000	91.998932
30.250000	91.998932
30.800000	91.998932
31.350000	100.000473
31.900000	100.000473
32.450000	100.000473
33.000000	100.000473
33.550000	100.000473
34.100000	100.000473
34.650000	100.000473
35.200000	100.000473
35.750000	100.000473
36.300000	100.000473
36.850000	100.000473
37.400000	100.000473
37.950000	100.000473
38.500000	100.000473
39.050000	72.998688
39.600000	72.998688
40.150000	72.998688
40.700000	65.999237
41.250000	65.999237
41.800000	65.999237
42.350000	65.999237
42.900000	65.999237
43.450000	65.999237
44.000000	65.999237
44.550000	40.998596
45.100000	40.998596
45.650000	40.998596
46.200000	84.000427
46.750000	84.000427
47.300000	84.000427
47.850000	84.000427
48.400000	84.000427
48.950000	84.000427
49.500000	27.998749
50.050000	27.998749
50.600000	27.998749
51.150000	27.998749
51.700000	27.998749
52.250000	27.998749
52.800000	14.998901
53.350000	71.999634
53.900000	71.999634
54.450000	71.999634
55.000000	55.000534
55.550000	55.000534
56.100000	55.000534
56.650000	55.000534
57.200000	55.000534
57.750000	55.000534
58.300000	55.000534
58.850000	77.000977
59.400000	77.000977
59.950000	77.000977
60.500000	77.000977
61.050000	77.000977
61.600000	77.000977
62.150000	77.000977
62.700000	77.000977
63.250000	81.000229
63.800000	81.000229
64.350000	81.000229
64.900000	69.998489
65.450000	69.998489
66.000000	65.999237
66.550000	65.999237
67.100000	65.999237
67.650000	65.999237
68.200000	52.000336
68.750000	52.000336
69.300000	52.000336
69.850000	52.000336
70.400000	52.000336
70.950000	52.000336
71.500000	52.000336
72.050000	39.999542
72.600000	39.999542
73.150000	39.999542
73.700000	39.999542
74.250000	23.000443
74.800000	23.000443
75.350000	17.999100
75.900000	54.001480
76.450000	54.001480
77.000000	54.001480
77.550000	67.001328
78.100000	88.998734
78.650000	88.998734
79.200000	88.998734
79.750000	90.000824
80.300000	90.000824
80.850000	90.000824
81.400000	90.000824
81.950000	90.000824
82.500000	90.000824
83.050000	90.000824
83.600000	90.000824
84.150000	58.000732
84.700000	56.998642
85.250000	56.998642
85.800000	56.998642
86.350000	56.998642
86.900000	56.998642
87.450000	56.998642
88.000000	56.998642
88.550000	56.998642
89.100000	56.998642
89.650000	56.998642
90.200000	56.998642
90.750000	56.998642
91.300000	56.998642
91.850000	84.999481
92.400000	84.999481
92.950000	84.999481
93.500000	84.999481
94.050000	84.999481
94.600000	84.999481
95.150000	42.999741
95.700000	42.999741
96.250000	42.999741
96.800000	42.999741
97.350000	42.999741
97.900000	20.999298
98.450000	20.999298
99.000000	20.999298
99.550000	20.999298
100.100000	20.999298
100.650000	23.000443
101.200000	23.000443
101.750000	23.000443
102.300000	23.000443
102.850000	19.001190
103.400000	19.001190
103.950000	19.001190
104.500000	19.001190
105.050000	19.001190
105.600000	19.001190
106.150000	19.001190
106.700000	20.000244
107.250000	20.000244
107.800000	59.998840
108.350000	20.000244
108.900000	20.000244
109.450000	26.000641
110.000000	26.000641
110.550000	26.000641
