This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:11:42

This file contains the kymograph results for the parameter Curv_f:
primary frequency	Results Average:
arc length	Rabbit delta 78 heterozygote014_SpQP_spq_210215_204725
0.000000	45.064079
0.550000	43.820766
1.100000	42.848015
1.650000	46.539677
2.200000	46.751106
2.750000	47.099308
3.300000	43.477310
3.850000	42.522114
4.400000	41.776020
4.950000	42.900364
5.500000	41.930180
6.050000	40.079311
6.600000	39.124084
7.150000	40.810719
7.700000	42.000053
8.250000	37.388123
8.800000	38.119469
9.350000	43.064762
9.900000	58.666843
10.450000	62.542530
11.000000	65.189285
11.550000	68.587341
12.100000	69.209221
12.650000	70.582176
13.200000	70.582069
13.750000	70.596870
14.300000	68.427704
14.850000	63.233780
15.400000	19.407511
15.950000	14.338078
16.500000	11.790928
17.050000	12.313350
17.600000	11.223741
18.150000	18.378044
18.700000	21.542221
19.250000	21.577061
19.800000	17.930662
20.350000	16.617460
20.900000	22.632404
21.450000	29.945702
22.000000	32.040165
22.550000	33.532696
23.100000	34.846352
23.650000	39.732033
24.200000	44.264160
24.750000	46.915810
25.300000	51.527649
25.850000	52.687054
26.400000	59.731918
26.950000	56.194614
27.500000	54.274235
28.050000	52.244415
28.600000	49.224560
29.150000	50.418579
29.700000	50.637489
30.250000	48.267025
30.800000	50.130070
31.350000	41.239208
31.900000	40.737873
32.450000	40.626087
33.000000	40.637741
33.550000	40.981773
34.100000	42.046009
34.650000	42.011208
35.200000	38.667107
35.750000	34.676098
36.300000	25.989265
36.850000	26.326265
37.400000	15.711465
37.950000	13.051181
38.500000	10.297266
39.050000	9.639998
39.600000	9.479751
40.150000	9.333338
40.700000	12.244219
41.250000	13.066845
41.800000	13.614079
42.350000	10.673010
42.900000	8.327064
43.450000	8.457526
44.000000	8.547174
44.550000	9.090338
45.100000	9.159633
45.650000	8.552242
46.200000	8.401134
46.750000	8.360232
47.300000	7.923218
47.850000	7.621010
48.400000	7.420283
48.950000	7.216790
49.500000	7.205280
50.050000	7.215817
50.600000	7.281854
51.150000	7.177699
51.700000	13.817903
52.250000	15.007408
52.800000	20.801407
53.350000	22.367350
53.900000	26.500168
54.450000	31.871475
55.000000	38.250416
55.550000	38.924618
56.100000	35.353600
56.650000	32.015171
57.200000	15.223613
57.750000	9.965605
58.300000	9.759125
58.850000	9.577043
59.400000	9.700327
59.950000	9.526668
60.500000	10.273086
61.050000	10.566098
61.600000	11.692672
62.150000	12.413274
62.700000	13.426317
63.250000	13.257564
63.800000	18.831699
64.350000	16.447144
64.900000	16.385616
65.450000	13.429393
66.000000	12.857927
66.550000	12.572194
67.100000	12.711510
67.650000	13.184131
68.200000	13.783046
68.750000	13.432749
69.300000	12.954138
69.850000	10.928794
70.400000	9.600075
70.950000	9.934511
71.500000	10.133423
72.050000	10.724257
72.600000	11.721868
73.150000	17.649115
73.700000	17.758907
74.250000	18.693533
74.800000	24.301537
75.350000	41.404106
75.900000	47.482262
76.450000	53.044041
77.000000	48.320961
77.550000	46.176521
78.100000	32.008667
78.650000	40.271694
79.200000	42.874912
79.750000	38.977577
80.300000	31.218952
80.850000	30.606106
81.400000	29.411770
81.950000	29.450289
82.500000	29.707150
83.050000	29.750450
83.600000	29.388645
84.150000	28.773373
84.700000	29.244301
85.250000	24.244183
85.800000	20.310396
86.350000	15.126664
86.900000	11.989944
87.450000	14.691813
88.000000	14.333584
88.550000	14.423903
89.100000	13.192657
89.650000	13.601199
90.200000	13.089891
90.750000	13.067151
91.300000	16.861094
91.850000	16.726265
92.400000	16.929178
92.950000	16.737307
93.500000	9.268730
94.050000	9.269194
94.600000	9.538107
95.150000	12.733531
95.700000	13.227388
96.250000	13.832988
96.800000	12.710834
97.350000	12.710834
97.900000	13.014118
98.450000	16.290697
99.000000	16.734570
99.550000	16.999672
100.100000	13.894045
100.650000	9.033349
101.200000	9.655464
101.750000	9.081738
102.300000	9.189446
102.850000	6.121631
103.400000	5.665794
103.950000	5.954714
104.500000	6.558179
105.050000	5.517730
105.600000	4.999252
106.150000	4.999252
106.700000	4.999252
107.250000	4.999252
107.800000	4.058073
108.350000	4.999252
108.900000	6.666367
109.450000	13.000034
110.000000	12.500128
110.550000	12.500128
