This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:11:42

This file contains the kymograph results for the parameter cAng_f:
peak height of secondary frequency	Results Minimum:
arc length	Rabbit delta 78 heterozygote014_SpQP_spq_210215_204725
0.000000	192.002930
0.550000	250.003815
1.100000	307.004700
1.650000	410.006256
2.200000	536.008179
2.750000	651.009949
3.300000	746.011414
3.850000	746.011414
4.400000	746.011414
4.950000	885.013489
5.500000	1004.015320
6.050000	1019.015564
6.600000	1065.016235
7.150000	1113.016968
7.700000	1115.016968
8.250000	1115.016968
8.800000	1147.017456
9.350000	1169.017822
9.900000	1199.018311
10.450000	1225.018677
11.000000	1225.018677
11.550000	1225.018677
12.100000	1210.018433
12.650000	1170.017822
13.200000	1170.017822
13.750000	1146.017456
14.300000	1146.017456
14.850000	1146.017456
15.400000	1185.018066
15.950000	1185.018066
16.500000	1169.017822
17.050000	1128.017212
17.600000	977.014893
18.150000	910.013916
18.700000	855.013062
19.250000	845.012878
19.800000	845.012878
20.350000	834.012756
20.900000	834.012756
21.450000	834.012756
22.000000	814.012451
22.550000	812.012390
23.100000	804.012268
23.650000	797.012146
24.200000	764.011658
24.750000	705.010742
25.300000	667.010193
25.850000	667.010193
26.400000	667.010193
26.950000	678.010376
27.500000	727.011108
28.050000	748.011414
28.600000	748.011414
29.150000	767.011719
29.700000	754.011536
30.250000	754.011536
30.800000	730.011169
31.350000	730.011169
31.900000	730.011169
32.450000	810.012390
33.000000	797.012146
33.550000	797.012146
34.100000	793.012085
34.650000	793.012085
35.200000	793.012085
35.750000	808.012329
36.300000	851.013000
36.850000	888.013550
37.400000	888.013550
37.950000	888.013550
38.500000	888.013550
39.050000	910.013916
39.600000	907.013855
40.150000	897.013672
40.700000	883.013489
41.250000	883.013489
41.800000	883.013489
42.350000	894.013672
42.900000	894.013672
43.450000	933.014221
44.000000	999.015259
44.550000	1079.016479
45.100000	1091.016602
45.650000	1091.016602
46.200000	1126.017212
46.750000	1171.017822
47.300000	1176.017944
47.850000	1211.018433
48.400000	1234.018799
48.950000	1265.019287
49.500000	1318.020142
50.050000	1375.020996
50.600000	1377.020996
51.150000	1370.020874
51.700000	1321.020142
52.250000	1245.019043
52.800000	1227.018677
53.350000	1185.018066
53.900000	1185.018066
54.450000	1185.018066
55.000000	1234.018799
55.550000	1261.019287
56.100000	1258.019165
56.650000	1258.019165
57.200000	1241.018921
57.750000	1192.018188
58.300000	1123.017090
58.850000	1084.016602
59.400000	1084.016602
59.950000	1084.016602
60.500000	1109.016968
61.050000	1109.016968
61.600000	1085.016602
62.150000	1077.016479
62.700000	1021.015564
63.250000	1021.015564
63.800000	1021.015564
64.350000	1022.015625
64.900000	1039.015869
65.450000	1046.015991
66.000000	1046.015991
66.550000	1046.015991
67.100000	1112.016968
67.650000	1133.017334
68.200000	1126.017212
68.750000	1126.017212
69.300000	1126.017212
69.850000	1107.016846
70.400000	1067.016235
70.950000	1067.016235
71.500000	1067.016235
72.050000	1138.017334
72.600000	1122.017090
73.150000	1122.017090
73.700000	1122.017090
74.250000	1144.017456
74.800000	1176.017944
75.350000	1149.017578
75.900000	1127.017212
76.450000	1104.016846
77.000000	990.015137
77.550000	990.015137
78.100000	990.015137
78.650000	1012.015442
79.200000	1012.015442
79.750000	1017.015503
80.300000	1026.015625
80.850000	1065.016235
81.400000	1040.015869
81.950000	1008.015381
82.500000	1008.015381
83.050000	1008.015381
83.600000	1008.015381
84.150000	1033.015747
84.700000	1088.016602
85.250000	1215.018555
85.800000	1273.019409
86.350000	1302.019897
86.900000	1302.019897
87.450000	1287.019653
88.000000	1287.019653
88.550000	1268.019409
89.100000	1274.019409
89.650000	1234.018799
90.200000	1168.017822
90.750000	1125.017212
91.300000	1077.016479
91.850000	1058.016113
92.400000	1058.016113
92.950000	1058.016113
93.500000	1060.016235
94.050000	1088.016602
94.600000	1118.017090
95.150000	1134.017334
95.700000	1218.018555
96.250000	1218.018555
96.800000	1218.018555
97.350000	1218.018555
97.900000	1198.018311
98.450000	1099.016724
99.000000	1086.016602
99.550000	1054.016113
100.100000	1047.015991
100.650000	954.014587
101.200000	954.014587
101.750000	954.014587
102.300000	954.014587
102.850000	976.014893
103.400000	992.015137
103.950000	1045.015991
104.500000	1077.016479
105.050000	1098.016724
105.600000	1111.016968
106.150000	1108.016968
106.700000	1108.016968
107.250000	1108.016968
107.800000	1108.016968
108.350000	1108.016968
108.900000	1108.016968
109.450000	1119.017090
110.000000	1119.017090
110.550000	1119.017090
