This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:11:42

This file contains the kymograph results for the parameter Curv_f:
center-of-mass of frequency spectrum	Results Median:
arc length	Rabbit delta 78 heterozygote014_SpQP_spq_210215_204725
0.000000	49.464745
0.550000	49.106419
1.100000	48.735950
1.650000	48.735950
2.200000	48.687363
2.750000	48.817940
3.300000	48.723804
3.850000	48.723804
4.400000	47.931240
4.950000	47.846214
5.500000	47.752079
6.050000	47.436268
6.600000	47.360352
7.150000	47.375538
7.700000	47.791553
8.250000	47.791553
8.800000	47.803703
9.350000	47.806740
9.900000	48.538567
10.450000	48.550716
11.000000	48.745060
11.550000	49.209667
12.100000	49.759296
12.650000	49.847359
13.200000	49.932384
13.750000	49.938457
14.300000	49.832176
14.850000	48.338150
15.400000	48.183281
15.950000	48.080036
16.500000	47.688309
17.050000	47.612392
17.600000	47.293549
18.150000	47.247997
18.700000	47.293549
19.250000	47.372498
19.800000	47.730824
20.350000	47.831032
20.900000	48.016266
21.450000	48.329041
22.000000	48.650925
22.550000	49.112492
23.100000	49.710712
23.650000	49.999191
24.200000	50.251232
24.750000	50.327148
25.300000	50.327148
25.850000	50.157097
26.400000	49.334167
26.950000	48.842232
27.500000	48.726841
28.050000	48.726841
28.600000	47.818886
29.150000	47.709568
29.700000	47.597210
30.250000	47.536476
30.800000	47.551662
31.350000	47.727787
31.900000	47.732342
32.450000	47.739933
33.000000	47.569881
33.550000	47.445377
34.100000	47.252552
34.650000	46.971664
35.200000	46.968628
35.750000	46.853233
36.300000	46.801613
36.850000	46.786427
37.400000	46.660408
37.950000	46.728733
38.500000	46.777317
39.050000	47.117420
39.600000	47.035431
40.150000	47.035431
40.700000	46.898785
41.250000	46.847160
41.800000	46.762135
42.350000	46.549572
42.900000	46.215542
43.450000	45.580883
44.000000	44.923450
44.550000	44.924969
45.100000	44.846016
45.650000	44.929527
46.200000	45.337952
46.750000	45.337952
47.300000	45.313660
47.850000	44.896122
48.400000	44.624340
48.950000	44.609158
49.500000	44.730625
50.050000	44.744289
50.600000	44.803505
51.150000	44.888531
51.700000	45.316696
52.250000	45.347061
52.800000	45.340988
53.350000	45.186119
53.900000	45.530777
54.450000	45.703865
55.000000	45.919468
55.550000	45.996902
56.100000	46.006012
56.650000	46.169991
57.200000	46.330933
57.750000	46.904858
58.300000	47.418049
58.850000	47.548626
59.400000	47.381611
59.950000	47.557735
60.500000	47.600250
61.050000	47.556217
61.600000	46.844124
62.150000	45.920986
62.700000	45.924023
63.250000	45.869362
63.800000	45.872398
64.350000	45.221043
64.900000	45.009995
65.450000	44.638008
66.000000	44.674446
66.550000	44.748844
67.100000	44.873344
67.650000	44.832352
68.200000	45.014549
68.750000	45.429050
69.300000	45.826851
69.850000	45.984756
70.400000	46.859306
70.950000	47.399830
71.500000	47.480301
72.050000	47.618469
72.600000	47.648834
73.150000	47.660980
73.700000	46.874489
74.250000	45.814705
74.800000	45.741821
75.350000	47.530403
75.900000	48.224274
76.450000	48.262234
77.000000	48.278938
77.550000	48.407993
78.100000	48.480873
78.650000	48.473282
79.200000	48.180244
79.750000	47.991974
80.300000	47.096165
80.850000	46.567791
81.400000	46.504021
81.950000	46.002975
82.500000	45.571774
83.050000	43.862144
83.600000	43.033142
84.150000	42.826653
84.700000	42.803879
85.250000	42.825134
85.800000	43.078693
86.350000	43.424870
86.900000	43.558483
87.450000	43.857590
88.000000	44.077747
88.550000	44.062565
89.100000	43.980576
89.650000	43.931988
90.200000	43.640472
90.750000	43.286701
91.300000	42.951153
91.850000	42.951153
92.400000	42.951153
92.950000	43.479530
93.500000	43.786228
94.050000	43.950207
94.600000	44.105076
95.150000	44.557537
95.700000	44.806541
96.250000	44.923450
96.800000	44.917377
97.350000	44.776173
97.900000	43.048328
98.450000	43.048328
99.000000	43.096916
99.550000	43.783192
100.100000	44.688110
100.650000	44.694183
101.200000	44.685074
101.750000	44.685074
102.300000	44.513504
102.850000	42.896496
103.400000	42.624718
103.950000	42.826653
104.500000	42.875240
105.050000	42.844872
105.600000	42.987595
106.150000	42.987595
106.700000	42.808434
107.250000	42.574612
107.800000	41.976395
108.350000	41.444981
108.900000	41.144356
109.450000	40.886242
110.000000	40.905979
110.550000	40.905979
