This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:11:42

This file contains the kymograph results for the parameter Curv_f:
secondary frequency	Results Minimum:
arc length	Rabbit delta 78 heterozygote014_SpQP_spq_210215_204725
0.000000	17.000046
0.550000	20.000244
1.100000	1.999054
1.650000	1.999054
2.200000	1.999054
2.750000	1.999054
3.300000	1.999054
3.850000	27.998749
4.400000	17.000046
4.950000	17.000046
5.500000	17.000046
6.050000	1.999054
6.600000	1.999054
7.150000	1.999054
7.700000	10.000595
8.250000	7.000397
8.800000	7.000397
9.350000	7.000397
9.900000	7.999451
10.450000	7.999451
11.000000	7.999451
11.550000	7.999451
12.100000	7.999451
12.650000	7.999451
13.200000	7.000397
13.750000	7.000397
14.300000	7.000397
14.850000	7.000397
15.400000	3.001144
15.950000	3.001144
16.500000	3.001144
17.050000	3.001144
17.600000	3.001144
18.150000	3.001144
18.700000	3.001144
19.250000	3.001144
19.800000	3.001144
20.350000	3.001144
20.900000	3.001144
21.450000	3.001144
22.000000	3.001144
22.550000	3.001144
23.100000	3.001144
23.650000	3.001144
24.200000	3.001144
24.750000	3.001144
25.300000	6.001343
25.850000	7.000397
26.400000	7.000397
26.950000	7.000397
27.500000	7.000397
28.050000	7.000397
28.600000	7.000397
29.150000	7.000397
29.700000	7.000397
30.250000	7.000397
30.800000	7.000397
31.350000	7.000397
31.900000	7.000397
32.450000	10.999649
33.000000	10.999649
33.550000	6.001343
34.100000	6.001343
34.650000	6.001343
35.200000	6.001343
35.750000	6.001343
36.300000	6.001343
36.850000	6.001343
37.400000	1.999054
37.950000	1.999054
38.500000	1.999054
39.050000	4.999252
39.600000	4.999252
40.150000	4.999252
40.700000	4.999252
41.250000	4.999252
41.800000	4.999252
42.350000	4.999252
42.900000	4.999252
43.450000	6.001343
44.000000	1.999054
44.550000	1.999054
45.100000	1.999054
45.650000	4.999252
46.200000	1.999054
46.750000	1.999054
47.300000	1.999054
47.850000	1.999054
48.400000	1.999054
48.950000	1.999054
49.500000	1.999054
50.050000	1.999054
50.600000	1.999054
51.150000	1.999054
51.700000	1.999054
52.250000	1.999054
52.800000	1.999054
53.350000	1.999054
53.900000	1.999054
54.450000	1.999054
55.000000	1.999054
55.550000	1.999054
56.100000	1.999054
56.650000	1.999054
57.200000	1.999054
57.750000	7.999451
58.300000	7.999451
58.850000	6.001343
59.400000	6.001343
59.950000	6.001343
60.500000	6.001343
61.050000	6.001343
61.600000	6.001343
62.150000	7.999451
62.700000	7.999451
63.250000	4.000198
63.800000	4.000198
64.350000	4.000198
64.900000	4.000198
65.450000	4.000198
66.000000	4.000198
66.550000	4.000198
67.100000	3.001144
67.650000	3.001144
68.200000	3.001144
68.750000	4.000198
69.300000	4.000198
69.850000	4.000198
70.400000	4.000198
70.950000	4.000198
71.500000	1.999054
72.050000	1.999054
72.600000	1.999054
73.150000	4.999252
73.700000	4.999252
74.250000	4.999252
74.800000	4.999252
75.350000	4.999252
75.900000	4.999252
76.450000	4.999252
77.000000	4.999252
77.550000	7.999451
78.100000	4.999252
78.650000	4.999252
79.200000	4.999252
79.750000	4.999252
80.300000	4.999252
80.850000	13.000793
81.400000	13.000793
81.950000	13.000793
82.500000	6.001343
83.050000	6.001343
83.600000	6.001343
84.150000	11.998703
84.700000	6.001343
85.250000	6.001343
85.800000	6.001343
86.350000	6.001343
86.900000	6.001343
87.450000	6.001343
88.000000	6.001343
88.550000	4.999252
89.100000	4.999252
89.650000	4.999252
90.200000	4.999252
90.750000	4.999252
91.300000	4.999252
91.850000	4.999252
92.400000	4.999252
92.950000	4.999252
93.500000	4.999252
94.050000	4.999252
94.600000	8.998505
95.150000	7.999451
95.700000	7.999451
96.250000	7.999451
96.800000	7.999451
97.350000	7.999451
97.900000	8.998505
98.450000	8.998505
99.000000	8.998505
99.550000	13.999847
100.100000	13.999847
100.650000	4.999252
101.200000	4.999252
101.750000	4.999252
102.300000	4.999252
102.850000	3.001144
103.400000	3.001144
103.950000	3.001144
104.500000	3.001144
105.050000	3.001144
105.600000	3.001144
106.150000	10.000595
106.700000	10.000595
107.250000	10.000595
107.800000	1.999054
108.350000	10.000595
108.900000	10.000595
109.450000	1.999054
110.000000	10.000595
110.550000	10.000595
