This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:11:42

This file contains the kymograph results for the parameter Y_f:
center-of-mass of frequency spectrum	Results Maximum:
arc length	Rabbit delta 78 heterozygote014_SpQP_spq_210215_204725
0.000000	51.702744
0.550000	50.995209
1.100000	50.694580
1.650000	51.022537
2.200000	51.371750
2.750000	51.371750
3.300000	51.371750
3.850000	51.371750
4.400000	51.371750
4.950000	50.245159
5.500000	50.135841
6.050000	49.148933
6.600000	49.148933
7.150000	49.148933
7.700000	50.284634
8.250000	50.284634
8.800000	50.284634
9.350000	50.023483
9.900000	49.847359
10.450000	49.847359
11.000000	49.476891
11.550000	49.476891
12.100000	49.476891
12.650000	49.376682
13.200000	49.376682
13.750000	49.376682
14.300000	49.376682
14.850000	49.273434
15.400000	48.708622
15.950000	48.708622
16.500000	48.708622
17.050000	48.708622
17.600000	48.708622
18.150000	48.708622
18.700000	48.708622
19.250000	48.708622
19.800000	48.708622
20.350000	49.203590
20.900000	49.203590
21.450000	49.203590
22.000000	49.203590
22.550000	49.194481
23.100000	49.130714
23.650000	49.054798
24.200000	49.039612
24.750000	49.094273
25.300000	49.094273
25.850000	49.094273
26.400000	49.094273
26.950000	49.094273
27.500000	49.094273
28.050000	49.094273
28.600000	48.711658
29.150000	48.669144
29.700000	48.213650
30.250000	48.192390
30.800000	48.165062
31.350000	48.165062
31.900000	48.165062
32.450000	48.520348
33.000000	48.575008
33.550000	48.575008
34.100000	48.575008
34.650000	48.547680
35.200000	48.547680
35.750000	48.505165
36.300000	48.389774
36.850000	48.389774
37.400000	48.389774
37.950000	48.183281
38.500000	48.168098
39.050000	47.603283
39.600000	47.600246
40.150000	47.454487
40.700000	47.314804
41.250000	47.314804
41.800000	47.314804
42.350000	47.314804
42.900000	47.314804
43.450000	47.314804
44.000000	47.314804
44.550000	47.342133
45.100000	47.342133
45.650000	47.342133
46.200000	47.059727
46.750000	47.059727
47.300000	47.059727
47.850000	47.320877
48.400000	47.320877
48.950000	47.320877
49.500000	46.938259
50.050000	46.792503
50.600000	46.792503
51.150000	46.792503
51.700000	47.096165
52.250000	47.096165
52.800000	47.096165
53.350000	47.068836
53.900000	46.904858
54.450000	46.904858
55.000000	46.904858
55.550000	46.904858
56.100000	47.232815
56.650000	47.232815
57.200000	47.232815
57.750000	46.746952
58.300000	46.746952
58.850000	46.746952
59.400000	46.746952
59.950000	46.746952
60.500000	46.746952
61.050000	46.746952
61.600000	46.746952
62.150000	46.929150
62.700000	47.032394
63.250000	47.260143
63.800000	47.260143
64.350000	47.260143
64.900000	47.260143
65.450000	46.628525
66.000000	46.628525
66.550000	46.628525
67.100000	46.680145
67.650000	46.680145
68.200000	46.680145
68.750000	46.680145
69.300000	47.408939
69.850000	47.408939
70.400000	47.408939
70.950000	47.387684
71.500000	47.387684
72.050000	47.320877
72.600000	46.479729
73.150000	46.479729
73.700000	46.479729
74.250000	46.373444
74.800000	46.373444
75.350000	46.373444
75.900000	46.847160
76.450000	46.847160
77.000000	46.847160
77.550000	46.847160
78.100000	46.166954
78.650000	46.166954
79.200000	46.066746
79.750000	46.066746
80.300000	46.066746
80.850000	46.133553
81.400000	46.267162
81.950000	46.267162
82.500000	46.267162
83.050000	46.081928
83.600000	46.081928
84.150000	45.726643
84.700000	45.726643
85.250000	45.726643
85.800000	46.330933
86.350000	46.330933
86.900000	46.330933
87.450000	46.330933
88.000000	46.330933
88.550000	46.330933
89.100000	46.318787
89.650000	46.318787
90.200000	46.361298
90.750000	46.415958
91.300000	46.431141
91.850000	46.449360
92.400000	46.449360
92.950000	46.637634
93.500000	46.637634
94.050000	46.637634
94.600000	46.619411
95.150000	46.619411
95.700000	46.215542
96.250000	46.115330
96.800000	46.115330
97.350000	46.115330
97.900000	46.069782
98.450000	46.069782
99.000000	46.069782
99.550000	46.069782
100.100000	46.069782
100.650000	46.069782
101.200000	45.599102
101.750000	45.599102
102.300000	45.131462
102.850000	45.131462
103.400000	44.712406
103.950000	44.712406
104.500000	44.648636
105.050000	44.648636
105.600000	44.545391
106.150000	44.302460
106.700000	44.302460
107.250000	44.302460
107.800000	44.460365
108.350000	42.771992
108.900000	42.771992
109.450000	42.771992
110.000000	42.790211
110.550000	42.790211
