This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:11:42

This file contains the kymograph results for the parameter Curv_f:
primary frequency	Results Maximum:
arc length	Rabbit delta 78 heterozygote014_SpQP_spq_210215_204725
0.000000	91.998932
0.550000	91.998932
1.100000	91.998932
1.650000	91.998932
2.200000	91.998932
2.750000	91.998932
3.300000	91.998932
3.850000	91.998932
4.400000	91.998932
4.950000	91.998932
5.500000	90.999878
6.050000	90.999878
6.600000	90.999878
7.150000	90.999878
7.700000	90.999878
8.250000	84.000427
8.800000	90.999878
9.350000	90.999878
9.900000	93.001022
10.450000	93.001022
11.000000	93.001022
11.550000	93.001022
12.100000	94.000076
12.650000	94.000076
13.200000	94.000076
13.750000	94.000076
14.300000	94.000076
14.850000	94.000076
15.400000	94.000076
15.950000	94.000076
16.500000	71.999634
17.050000	71.999634
17.600000	65.000183
18.150000	38.001434
18.700000	38.001434
19.250000	38.001434
19.800000	38.001434
20.350000	74.999832
20.900000	91.998932
21.450000	91.998932
22.000000	91.998932
22.550000	91.998932
23.100000	91.998932
23.650000	91.998932
24.200000	91.998932
24.750000	91.998932
25.300000	91.998932
25.850000	91.998932
26.400000	100.000473
26.950000	100.000473
27.500000	100.000473
28.050000	100.000473
28.600000	100.000473
29.150000	100.000473
29.700000	100.000473
30.250000	100.000473
30.800000	100.000473
31.350000	100.000473
31.900000	100.000473
32.450000	100.000473
33.000000	100.000473
33.550000	100.000473
34.100000	100.000473
34.650000	100.000473
35.200000	100.000473
35.750000	100.000473
36.300000	72.998688
36.850000	87.999680
37.400000	87.999680
37.950000	87.999680
38.500000	32.001038
39.050000	68.999435
39.600000	68.999435
40.150000	68.999435
40.700000	68.999435
41.250000	84.000427
41.800000	84.000427
42.350000	84.000427
42.900000	84.000427
43.450000	84.000427
44.000000	11.998703
44.550000	27.998749
45.100000	27.998749
45.650000	27.998749
46.200000	27.998749
46.750000	27.998749
47.300000	10.000595
47.850000	10.000595
48.400000	10.000595
48.950000	7.999451
49.500000	7.999451
50.050000	7.999451
50.600000	7.999451
51.150000	10.999649
51.700000	55.000534
52.250000	55.000534
52.800000	77.000977
53.350000	77.000977
53.900000	77.000977
54.450000	77.000977
55.000000	77.000977
55.550000	77.000977
56.100000	77.000977
56.650000	77.000977
57.200000	77.000977
57.750000	77.000977
58.300000	26.999695
58.850000	26.999695
59.400000	26.999695
59.950000	26.999695
60.500000	26.999695
61.050000	42.000687
61.600000	65.999237
62.150000	65.999237
62.700000	65.999237
63.250000	49.999191
63.800000	49.999191
64.350000	22.001389
64.900000	22.001389
65.450000	22.001389
66.000000	22.001389
66.550000	22.001389
67.100000	22.001389
67.650000	22.001389
68.200000	22.001389
68.750000	22.001389
69.300000	22.001389
69.850000	22.001389
70.400000	16.000992
70.950000	13.999847
71.500000	13.999847
72.050000	13.999847
72.600000	88.998734
73.150000	88.998734
73.700000	88.998734
74.250000	88.998734
74.800000	90.000824
75.350000	90.000824
75.900000	90.000824
76.450000	90.000824
77.000000	90.000824
77.550000	90.000824
78.100000	90.000824
78.650000	93.001022
79.200000	93.001022
79.750000	93.001022
80.300000	56.998642
80.850000	56.998642
81.400000	56.998642
81.950000	56.998642
82.500000	56.998642
83.050000	56.998642
83.600000	56.998642
84.150000	56.998642
84.700000	56.998642
85.250000	56.998642
85.800000	56.998642
86.350000	56.998642
86.900000	56.998642
87.450000	62.999039
88.000000	62.999039
88.550000	62.999039
89.100000	42.999741
89.650000	42.999741
90.200000	42.999741
90.750000	42.999741
91.300000	42.999741
91.850000	42.999741
92.400000	42.999741
92.950000	42.999741
93.500000	20.999298
94.050000	20.999298
94.600000	16.000992
95.150000	20.999298
95.700000	20.999298
96.250000	20.999298
96.800000	16.000992
97.350000	16.000992
97.900000	16.000992
98.450000	45.999939
99.000000	45.999939
99.550000	45.999939
100.100000	45.999939
100.650000	19.001190
101.200000	19.001190
101.750000	19.001190
102.300000	19.001190
102.850000	11.998703
103.400000	8.998505
103.950000	11.998703
104.500000	19.001190
105.050000	8.998505
105.600000	4.999252
106.150000	4.999252
106.700000	4.999252
107.250000	4.999252
107.800000	16.000992
108.350000	4.999252
108.900000	10.000595
109.450000	13.999847
110.000000	13.999847
110.550000	13.999847
