This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:11:42

This file contains the kymograph results for the parameter Curv_f:
center-of-mass of frequency spectrum	Results Average:
arc length	Rabbit delta 78 heterozygote014_SpQP_spq_210215_204725
0.000000	49.475666
0.550000	49.120544
1.100000	48.773418
1.650000	48.772327
2.200000	48.732990
2.750000	48.881725
3.300000	48.714287
3.850000	48.642857
4.400000	48.088181
4.950000	47.806103
5.500000	47.735401
6.050000	47.289436
6.600000	47.239704
7.150000	47.281143
7.700000	47.614464
8.250000	47.512093
8.800000	47.474308
9.350000	47.481758
9.900000	48.114029
10.450000	48.123802
11.000000	48.374908
11.550000	48.786003
12.100000	49.186218
12.650000	49.427685
13.200000	49.623238
13.750000	49.637348
14.300000	49.552231
14.850000	48.538448
15.400000	48.265301
15.950000	48.120705
16.500000	47.817524
17.050000	47.750462
17.600000	47.462090
18.150000	47.248543
18.700000	47.250217
19.250000	47.347980
19.800000	47.583477
20.350000	47.654030
20.900000	47.759846
21.450000	48.105568
22.000000	48.582439
22.550000	48.951702
23.100000	49.452583
23.650000	49.819077
24.200000	49.903622
24.750000	49.967571
25.300000	49.820908
25.850000	49.662048
26.400000	48.972733
26.950000	48.449600
27.500000	48.148323
28.050000	48.103832
28.600000	47.675983
29.150000	47.628376
29.700000	47.511265
30.250000	47.590488
30.800000	47.595638
31.350000	47.716053
31.900000	47.737370
32.450000	47.680740
33.000000	47.477726
33.550000	47.392166
34.100000	47.296043
34.650000	47.122280
35.200000	47.149429
35.750000	47.088722
36.300000	46.803875
36.850000	46.689255
37.400000	46.583210
37.950000	46.536343
38.500000	46.614658
39.050000	46.684258
39.600000	46.637722
40.150000	46.613865
40.700000	46.564774
41.250000	46.443897
41.800000	46.243332
42.350000	46.051353
42.900000	45.729355
43.450000	45.311993
44.000000	44.701244
44.550000	44.614887
45.100000	44.524319
45.650000	44.643856
46.200000	44.943890
46.750000	44.906193
47.300000	44.883911
47.850000	44.587208
48.400000	44.229862
48.950000	44.225136
49.500000	44.187824
50.050000	44.136169
50.600000	44.233009
51.150000	44.325714
51.700000	44.550728
52.250000	44.577076
52.800000	44.764908
53.350000	44.918598
53.900000	45.222996
54.450000	45.432201
55.000000	45.537933
55.550000	45.565586
56.100000	45.706001
56.650000	45.899364
57.200000	46.025524
57.750000	46.579891
58.300000	47.155624
58.850000	47.197788
59.400000	47.143700
59.950000	47.270641
60.500000	47.294067
61.050000	47.266335
61.600000	46.671898
62.150000	45.856541
62.700000	45.811203
63.250000	45.740990
63.800000	45.768944
64.350000	45.447948
64.900000	45.056572
65.450000	44.723274
66.000000	44.741829
66.550000	44.837917
67.100000	44.938496
67.650000	44.926159
68.200000	45.239212
68.750000	45.514610
69.300000	45.749805
69.850000	45.867844
70.400000	46.551342
70.950000	47.309948
71.500000	47.417038
72.050000	47.452499
72.600000	47.379311
73.150000	47.288273
73.700000	46.782524
74.250000	46.095387
74.800000	46.067844
75.350000	47.127113
75.900000	47.340485
76.450000	47.479073
77.000000	47.622616
77.550000	48.005463
78.100000	48.405483
78.650000	48.399231
79.200000	48.364883
79.750000	48.086082
80.300000	47.038826
80.850000	46.473598
81.400000	46.440250
81.950000	45.992752
82.500000	45.564892
83.050000	43.831692
83.600000	43.162804
84.150000	42.784359
84.700000	42.771252
85.250000	42.770069
85.800000	43.072269
86.350000	43.464569
86.900000	43.588879
87.450000	43.855522
88.000000	44.073208
88.550000	44.055664
89.100000	44.004673
89.650000	43.973099
90.200000	43.715454
90.750000	43.363964
91.300000	42.949409
91.850000	42.952328
92.400000	42.952003
92.950000	43.454990
93.500000	43.750454
94.050000	43.888546
94.600000	44.002110
95.150000	44.649250
95.700000	44.847439
96.250000	44.926254
96.800000	44.890205
97.350000	44.686825
97.900000	43.138519
98.450000	43.138519
99.000000	43.148811
99.550000	43.581497
100.100000	44.577194
100.650000	44.630928
101.200000	44.527020
101.750000	44.519901
102.300000	44.476437
102.850000	42.973900
103.400000	42.682919
103.950000	42.772396
104.500000	42.830048
105.050000	42.840260
105.600000	42.922932
106.150000	42.964314
106.700000	42.819569
107.250000	42.479462
107.800000	41.960854
108.350000	41.472313
108.900000	41.128159
109.450000	40.868019
110.000000	40.927616
110.550000	40.927616
