This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:11:42

This file contains the kymograph results for the parameter X_f:
primary frequency	Results Minimum:
arc length	Rabbit delta 78 heterozygote014_SpQP_spq_210215_204725
0.000000	13.000793
0.550000	11.500694
1.100000	13.000793
1.650000	13.000793
2.200000	13.000793
2.750000	13.000793
3.300000	13.000793
3.850000	13.000793
4.400000	13.000793
4.950000	13.000793
5.500000	13.000793
6.050000	13.000793
6.600000	13.000793
7.150000	13.000793
7.700000	13.000793
8.250000	13.000793
8.800000	13.000793
9.350000	13.000793
9.900000	13.000793
10.450000	4.000198
11.000000	4.000198
11.550000	4.000198
12.100000	4.000198
12.650000	4.999252
13.200000	4.999252
13.750000	4.999252
14.300000	4.999252
14.850000	4.999252
15.400000	4.999252
15.950000	4.999252
16.500000	4.999252
17.050000	4.000198
17.600000	4.000198
18.150000	4.000198
18.700000	8.998505
19.250000	8.998505
19.800000	8.998505
20.350000	8.998505
20.900000	8.998505
21.450000	8.998505
22.000000	8.998505
22.550000	8.998505
23.100000	8.998505
23.650000	8.998505
24.200000	8.998505
24.750000	8.998505
25.300000	8.998505
25.850000	8.998505
26.400000	8.998505
26.950000	8.998505
27.500000	8.998505
28.050000	7.000397
28.600000	7.000397
29.150000	7.000397
29.700000	7.000397
30.250000	4.999252
30.800000	4.999252
31.350000	4.999252
31.900000	4.999252
32.450000	4.999252
33.000000	4.999252
33.550000	4.999252
34.100000	4.999252
34.650000	4.999252
35.200000	4.999252
35.750000	4.999252
36.300000	4.999252
36.850000	4.999252
37.400000	4.999252
37.950000	4.999252
38.500000	4.999252
39.050000	4.999252
39.600000	4.999252
40.150000	4.999252
40.700000	4.999252
41.250000	4.999252
41.800000	4.999252
42.350000	4.999252
42.900000	4.999252
43.450000	4.999252
44.000000	1.999054
44.550000	1.999054
45.100000	1.999054
45.650000	1.999054
46.200000	1.999054
46.750000	1.999054
47.300000	1.999054
47.850000	1.999054
48.400000	1.999054
48.950000	1.999054
49.500000	1.999054
50.050000	1.999054
50.600000	1.999054
51.150000	1.999054
51.700000	1.999054
52.250000	1.999054
52.800000	1.999054
53.350000	1.999054
53.900000	1.999054
54.450000	1.999054
55.000000	1.999054
55.550000	1.999054
56.100000	1.999054
56.650000	1.999054
57.200000	1.999054
57.750000	1.999054
58.300000	1.999054
58.850000	1.999054
59.400000	1.999054
59.950000	1.999054
60.500000	1.999054
61.050000	1.999054
61.600000	1.999054
62.150000	1.999054
62.700000	1.999054
63.250000	1.999054
63.800000	1.999054
64.350000	1.999054
64.900000	1.999054
65.450000	1.999054
66.000000	1.999054
66.550000	1.999054
67.100000	1.999054
67.650000	1.999054
68.200000	1.999054
68.750000	1.999054
69.300000	1.999054
69.850000	1.999054
70.400000	1.999054
70.950000	1.999054
71.500000	1.999054
72.050000	1.999054
72.600000	1.999054
73.150000	1.999054
73.700000	1.999054
74.250000	1.999054
74.800000	1.999054
75.350000	1.999054
75.900000	1.999054
76.450000	1.999054
77.000000	1.999054
77.550000	1.999054
78.100000	1.999054
78.650000	1.999054
79.200000	1.999054
79.750000	1.999054
80.300000	1.999054
80.850000	1.999054
81.400000	1.999054
81.950000	1.999054
82.500000	1.999054
83.050000	1.999054
83.600000	1.999054
84.150000	1.999054
84.700000	1.999054
85.250000	1.999054
85.800000	1.999054
86.350000	1.999054
86.900000	1.999054
87.450000	1.999054
88.000000	1.999054
88.550000	1.999054
89.100000	1.999054
89.650000	1.999054
90.200000	1.999054
90.750000	1.999054
91.300000	1.999054
91.850000	1.999054
92.400000	1.999054
92.950000	1.999054
93.500000	1.999054
94.050000	1.999054
94.600000	1.999054
95.150000	1.999054
95.700000	1.999054
96.250000	1.999054
96.800000	1.999054
97.350000	1.999054
97.900000	3.001144
98.450000	3.001144
99.000000	3.001144
99.550000	3.001144
100.100000	3.001144
100.650000	3.001144
101.200000	3.001144
101.750000	3.001144
102.300000	3.001144
102.850000	3.001144
103.400000	3.001144
103.950000	3.001144
104.500000	3.001144
105.050000	3.001144
105.600000	3.001144
106.150000	3.001144
106.700000	3.001144
107.250000	3.001144
107.800000	3.001144
108.350000	3.001144
108.900000	3.001144
109.450000	3.001144
110.000000	3.001144
110.550000	3.001144
