This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:11:42

This file contains the kymograph results for the parameter cAng_f:
peak height of primary frequency	Results Median:
arc length	Rabbit delta 78 heterozygote014_SpQP_spq_210215_204725
0.000000	329.005035
0.550000	422.006439
1.100000	512.007812
1.650000	643.009827
2.200000	800.012207
2.750000	942.014404
3.300000	1174.017944
3.850000	1226.018677
4.400000	1292.019775
4.950000	1413.021606
5.500000	1485.022705
6.050000	1540.023560
6.600000	1597.024414
7.150000	1634.024902
7.700000	1667.025391
8.250000	1727.026367
8.800000	1742.026611
9.350000	1831.027954
9.900000	1833.027954
10.450000	1833.027954
11.000000	1791.027344
11.550000	1735.026489
12.100000	1705.026001
12.650000	1685.025757
13.200000	1641.025024
13.750000	1588.024292
14.300000	1530.023315
14.850000	1516.023193
15.400000	1497.022827
15.950000	1499.022827
16.500000	1482.022583
17.050000	1482.022583
17.600000	1484.022705
18.150000	1500.022949
18.700000	1493.022827
19.250000	1459.022217
19.800000	1426.021729
20.350000	1371.020874
20.900000	1295.019775
21.450000	1255.019165
22.000000	1253.019165
22.550000	1229.018799
23.100000	1196.018311
23.650000	1212.018555
24.200000	1205.018433
24.750000	1258.019165
25.300000	1267.019287
25.850000	1267.019287
26.400000	1267.019287
26.950000	1239.018921
27.500000	1200.018311
28.050000	1183.018066
28.600000	1172.017944
29.150000	1165.017822
29.700000	1137.017334
30.250000	1124.017212
30.800000	1099.016724
31.350000	1098.016724
31.900000	1098.016724
32.450000	1131.017212
33.000000	1174.017944
33.550000	1182.018066
34.100000	1289.019653
34.650000	1305.019897
35.200000	1310.020020
35.750000	1316.020020
36.300000	1326.020264
36.850000	1315.020020
37.400000	1288.019653
37.950000	1237.018921
38.500000	1200.018311
39.050000	1192.018188
39.600000	1202.018311
40.150000	1205.018433
40.700000	1205.018433
41.250000	1233.018799
41.800000	1230.518799
42.350000	1233.018799
42.900000	1239.018921
43.450000	1303.019897
44.000000	1382.021118
44.550000	1423.021729
45.100000	1423.021729
45.650000	1439.021973
46.200000	1460.022339
46.750000	1533.023438
47.300000	1592.024292
47.850000	1718.026123
48.400000	1842.028076
48.950000	1859.528320
49.500000	1863.028442
50.050000	1914.029297
50.600000	1906.029053
51.150000	1821.027832
51.700000	1778.027100
52.250000	1675.025513
52.800000	1675.025513
53.350000	1713.526123
53.900000	1666.525391
54.450000	1601.524414
55.000000	1551.523682
55.550000	1498.022949
56.100000	1487.022705
56.650000	1475.022461
57.200000	1467.522461
57.750000	1475.022461
58.300000	1462.022339
58.850000	1426.021729
59.400000	1437.021973
59.950000	1460.022339
60.500000	1463.022339
61.050000	1461.522339
61.600000	1469.022461
62.150000	1472.522461
62.700000	1467.022339
63.250000	1459.022217
63.800000	1379.020996
64.350000	1365.520874
64.900000	1345.020508
65.450000	1336.020386
66.000000	1329.520264
66.550000	1321.520142
67.100000	1321.020142
67.650000	1330.520264
68.200000	1369.520996
68.750000	1448.022095
69.300000	1540.023560
69.850000	1544.523682
70.400000	1549.023682
70.950000	1542.023560
71.500000	1520.023193
72.050000	1413.521606
72.600000	1404.021484
73.150000	1398.021362
73.700000	1430.021729
74.250000	1517.023193
74.800000	1521.523193
75.350000	1488.022705
75.900000	1469.022461
76.450000	1413.021606
77.000000	1330.520264
77.550000	1280.019531
78.100000	1274.019409
78.650000	1210.018433
79.200000	1194.018188
79.750000	1183.518066
80.300000	1190.018188
80.850000	1198.018311
81.400000	1206.018433
81.950000	1207.018433
82.500000	1186.018066
83.050000	1180.518066
83.600000	1186.018066
84.150000	1228.018799
84.700000	1344.520508
85.250000	1439.521973
85.800000	1492.022827
86.350000	1547.023560
86.900000	1625.024780
87.450000	1695.525879
88.000000	1707.026001
88.550000	1711.026123
89.100000	1682.025635
89.650000	1561.023804
90.200000	1456.022217
90.750000	1342.020508
91.300000	1294.019775
91.850000	1294.019775
92.400000	1281.519531
92.950000	1293.019775
93.500000	1307.019897
94.050000	1405.021484
94.600000	1439.021973
95.150000	1463.022339
95.700000	1545.023560
96.250000	1605.524536
96.800000	1605.524536
97.350000	1605.524536
97.900000	1591.024292
98.450000	1459.022217
99.000000	1380.020996
99.550000	1256.019165
100.100000	1235.018799
100.650000	1200.018311
101.200000	1198.018311
101.750000	1174.017944
102.300000	1157.017700
102.850000	1205.018433
103.400000	1269.519409
103.950000	1342.020508
104.500000	1371.020874
105.050000	1343.020508
105.600000	1329.020264
106.150000	1495.022827
106.700000	1515.023071
107.250000	1515.023071
107.800000	1573.024048
108.350000	1469.022461
108.900000	1408.021484
109.450000	1363.020752
110.000000	1338.520386
110.550000	1338.520386
