This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:11:42

This file contains the kymograph results for the parameter Y_f:
center-of-mass of frequency spectrum	Results Median:
arc length	Rabbit delta 78 heterozygote014_SpQP_spq_210215_204725
0.000000	50.412174
0.550000	49.941494
1.100000	49.413120
1.650000	49.370605
2.200000	48.836159
2.750000	48.590191
3.300000	48.395847
3.850000	48.019302
4.400000	47.694382
4.950000	47.506111
5.500000	47.518257
6.050000	47.384647
6.600000	47.411976
7.150000	47.554699
7.700000	48.711658
8.250000	48.896893
8.800000	48.893856
9.350000	48.814903
9.900000	48.802757
10.450000	48.738987
11.000000	48.678253
11.550000	48.678253
12.100000	48.678253
12.650000	48.486946
13.200000	48.465691
13.750000	48.465691
14.300000	48.420139
14.850000	48.237942
15.400000	48.010193
15.950000	47.900875
16.500000	47.618465
17.050000	47.676163
17.600000	47.603283
18.150000	47.603283
18.700000	47.612392
19.250000	47.612392
19.800000	47.612392
20.350000	47.903912
20.900000	47.876583
21.450000	47.876583
22.000000	47.730824
22.550000	47.685272
23.100000	47.439304
23.650000	47.439304
24.200000	47.020248
24.750000	46.953442
25.300000	46.944332
25.850000	46.874489
26.400000	46.874489
26.950000	46.874489
27.500000	46.759098
28.050000	46.704437
28.600000	46.179100
29.150000	46.173027
29.700000	46.063709
30.250000	46.051563
30.800000	46.012085
31.350000	46.060673
31.900000	46.118370
32.450000	46.558681
33.000000	46.595119
33.550000	46.680145
34.100000	46.686218
34.650000	46.674072
35.200000	46.683182
35.750000	46.645226
36.300000	46.531349
36.850000	46.428104
37.400000	46.494911
37.950000	46.294495
38.500000	46.230724
39.050000	45.620358
39.600000	45.589993
40.150000	45.471565
40.700000	45.389576
41.250000	45.386539
41.800000	45.538368
42.350000	45.574810
42.900000	45.574810
43.450000	45.656799
44.000000	45.668945
44.550000	45.662872
45.100000	45.675018
45.650000	45.576328
46.200000	45.380466
46.750000	45.380466
47.300000	45.397167
47.850000	45.500412
48.400000	45.514076
48.950000	45.500412
49.500000	45.383499
50.050000	45.380463
50.600000	45.359207
51.150000	45.583920
51.700000	45.755489
52.250000	45.890621
52.800000	45.917950
53.350000	45.866325
53.900000	45.573292
54.450000	45.573292
55.000000	45.573292
55.550000	45.580883
56.100000	45.687164
56.650000	45.687164
57.200000	45.697792
57.750000	45.383499
58.300000	45.371353
58.850000	45.371353
59.400000	45.389576
59.950000	45.359207
60.500000	45.397167
61.050000	45.301514
61.600000	45.331879
62.150000	45.413868
62.700000	45.726643
63.250000	45.714497
63.800000	45.720570
64.350000	45.720570
64.900000	45.720570
65.450000	45.098057
66.000000	45.098057
66.550000	45.098057
67.100000	45.140572
67.650000	45.139053
68.200000	45.139053
68.750000	45.122349
69.300000	45.863289
69.850000	45.752453
70.400000	45.808632
70.950000	45.908840
71.500000	45.908840
72.050000	45.911877
72.600000	45.170937
73.150000	45.158791
73.700000	45.136017
74.250000	44.958374
74.800000	44.943192
75.350000	44.915859
75.900000	44.990257
76.450000	44.991776
77.000000	44.956856
77.550000	44.952297
78.100000	44.542355
78.650000	44.560574
79.200000	44.560574
79.750000	44.560574
80.300000	44.612194
80.850000	44.685074
81.400000	44.803505
81.950000	44.818687
82.500000	44.818687
83.050000	44.718475
83.600000	44.408741
84.150000	44.217434
84.700000	44.080780
85.250000	44.032196
85.800000	44.545391
86.350000	44.478584
86.900000	44.478584
87.450000	44.382927
88.000000	44.423923
88.550000	44.341934
89.100000	44.278164
89.650000	44.278164
90.200000	44.314606
90.750000	44.314606
91.300000	44.329788
91.850000	44.323715
92.400000	44.357117
92.950000	44.525650
93.500000	44.666855
94.050000	44.672928
94.600000	44.814133
95.150000	44.697220
95.700000	44.542355
96.250000	44.463402
96.800000	44.463402
97.350000	44.463402
97.900000	44.660782
98.450000	44.706329
99.000000	44.736694
99.550000	44.867271
100.100000	44.867271
100.650000	44.839943
101.200000	44.308533
101.750000	44.308533
102.300000	44.068634
102.850000	44.250835
103.400000	44.015495
103.950000	43.904659
104.500000	43.725498
105.050000	44.001831
105.600000	44.138481
106.150000	43.610104
106.700000	43.610104
107.250000	43.610104
107.800000	43.868217
108.350000	42.340790
108.900000	42.298279
109.450000	42.497177
110.000000	42.273987
110.550000	42.273987
