This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:11:42

This file contains the kymograph results for the parameter Z_f:
peak height of secondary frequency	Results Average:
arc length	Rabbit delta 78 heterozygote014_SpQP_spq_210215_204725
0.000000	25.308126
0.550000	21.458483
1.100000	17.665476
1.650000	17.065042
2.200000	13.784101
2.750000	12.912184
3.300000	10.290968
3.850000	10.271913
4.400000	10.279428
4.950000	11.267727
5.500000	11.200995
6.050000	11.483334
6.600000	11.622111
7.150000	11.647469
7.700000	11.712226
8.250000	11.704103
8.800000	11.735684
9.350000	12.229910
9.900000	12.527280
10.450000	12.642751
11.000000	12.666437
11.550000	12.725198
12.100000	12.641157
12.650000	12.732486
13.200000	12.882728
13.750000	13.087934
14.300000	13.074876
14.850000	12.994327
15.400000	12.884170
15.950000	12.696273
16.500000	12.652620
17.050000	12.714417
17.600000	12.499722
18.150000	12.790184
18.700000	12.814705
19.250000	12.992429
19.800000	13.125057
20.350000	13.498877
20.900000	14.026733
21.450000	14.572279
22.000000	15.362205
22.550000	16.264412
23.100000	16.411997
23.650000	16.394232
24.200000	15.808146
24.750000	15.529451
25.300000	15.452091
25.850000	15.314528
26.400000	14.859476
26.950000	14.720470
27.500000	14.997268
28.050000	15.385891
28.600000	15.953377
29.150000	17.290291
29.700000	18.047722
30.250000	18.623484
30.800000	18.795893
31.350000	18.680834
31.900000	18.033247
32.450000	18.532295
33.000000	18.391794
33.550000	17.857880
34.100000	16.741381
34.650000	15.939566
35.200000	15.195948
35.750000	14.961676
36.300000	15.025790
36.850000	15.425150
37.400000	16.508053
37.950000	16.726553
38.500000	16.886324
39.050000	15.676464
39.600000	15.526132
40.150000	15.250104
40.700000	15.255037
41.250000	14.998596
41.800000	15.209267
42.350000	15.315823
42.900000	15.422832
43.450000	15.283424
44.000000	15.257838
44.550000	15.446800
45.100000	31.472433
45.650000	31.430832
46.200000	31.748247
46.750000	17.414604
47.300000	16.165096
47.850000	16.409777
48.400000	16.131912
48.950000	16.198168
49.500000	15.978703
50.050000	15.946620
50.600000	15.932652
51.150000	15.472410
51.700000	15.536008
52.250000	15.507367
52.800000	15.340794
53.350000	15.580977
53.900000	15.786286
54.450000	15.768137
55.000000	15.509882
55.550000	14.721244
56.100000	13.553752
56.650000	13.359624
57.200000	13.364920
57.750000	13.783363
58.300000	14.654350
58.850000	15.607616
59.400000	16.344353
59.950000	16.892607
60.500000	16.978683
61.050000	17.392836
61.600000	17.844830
62.150000	17.930719
62.700000	17.578465
63.250000	17.237513
63.800000	17.446407
64.350000	18.662235
64.900000	20.060240
65.450000	20.132835
66.000000	20.171227
66.550000	54.306217
67.100000	54.777653
67.650000	54.795929
68.200000	16.120049
68.750000	15.847039
69.300000	15.556870
69.850000	15.314834
70.400000	15.419407
70.950000	15.398074
71.500000	15.447688
72.050000	15.703460
72.600000	16.081642
73.150000	16.737249
73.700000	17.136950
74.250000	17.733587
74.800000	18.116301
75.350000	18.459070
75.900000	18.810608
76.450000	19.151587
77.000000	18.802141
77.550000	18.820080
78.100000	18.423775
78.650000	18.381525
79.200000	17.858913
79.750000	17.668987
80.300000	17.660589
80.850000	18.614475
81.400000	19.035316
81.950000	19.513384
82.500000	20.489012
83.050000	21.120304
83.600000	21.779140
84.150000	22.231501
84.700000	23.061876
85.250000	22.271730
85.800000	20.967018
86.350000	19.535357
86.900000	19.368948
87.450000	19.169813
88.000000	19.968927
88.550000	21.198666
89.100000	22.050287
89.650000	23.280563
90.200000	23.040787
90.750000	22.618896
91.300000	21.811069
91.850000	20.402109
92.400000	19.037098
92.950000	18.687195
93.500000	18.428375
94.050000	18.012119
94.600000	17.149456
95.150000	15.905794
95.700000	15.351237
96.250000	15.053288
96.800000	14.619567
97.350000	14.047728
97.900000	12.768319
98.450000	12.628023
99.000000	12.628844
99.550000	12.995729
100.100000	13.096388
100.650000	13.526889
101.200000	14.030724
101.750000	14.261117
102.300000	14.150544
102.850000	13.709249
103.400000	13.146472
103.950000	12.897658
104.500000	12.893070
105.050000	12.576644
105.600000	12.184252
106.150000	12.019390
106.700000	12.075341
107.250000	12.075341
107.800000	12.250676
108.350000	12.227936
108.900000	12.227936
109.450000	12.718782
110.000000	12.611966
110.550000	12.611966
