This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:11:42

This file contains the kymograph results for the parameter X_f:
center-of-mass of frequency spectrum	Results Minimum:
arc length	Rabbit delta 78 heterozygote014_SpQP_spq_210215_204725
0.000000	33.598309
0.550000	31.748997
1.100000	29.881464
1.650000	29.772146
2.200000	29.180000
2.750000	28.545343
3.300000	27.980530
3.850000	27.397495
4.400000	24.327454
4.950000	23.878031
5.500000	23.735310
6.050000	23.580441
6.600000	23.580441
7.150000	23.580441
7.700000	25.110907
8.250000	25.110907
8.800000	25.110907
9.350000	37.296936
9.900000	37.157249
10.450000	21.749348
11.000000	21.749348
11.550000	21.749348
12.100000	21.810080
12.650000	22.043901
13.200000	22.168404
13.750000	22.566204
14.300000	23.061174
14.850000	23.452902
15.400000	23.953947
15.950000	24.448919
16.500000	24.904415
17.050000	25.621061
17.600000	26.046190
18.150000	26.322525
18.700000	32.192345
19.250000	32.192345
19.800000	30.294447
20.350000	30.294447
20.900000	30.294447
21.450000	28.836861
22.000000	28.836861
22.550000	28.836861
23.100000	28.836861
23.650000	28.879374
24.200000	28.879374
24.750000	29.456335
25.300000	29.456335
25.850000	29.456335
26.400000	30.191202
26.950000	30.191202
27.500000	30.191202
28.050000	30.090992
28.600000	30.090992
29.150000	30.090992
29.700000	30.267117
30.250000	30.306593
30.800000	30.306593
31.350000	30.418949
31.900000	30.646698
32.450000	30.834969
33.000000	31.083973
33.550000	31.436222
34.100000	31.706484
34.650000	32.095173
35.200000	32.095173
35.750000	32.168053
36.300000	32.225750
36.850000	32.250042
37.400000	32.274334
37.950000	32.802711
38.500000	32.802711
39.050000	33.036530
39.600000	33.716740
40.150000	33.361450
40.700000	33.777470
41.250000	33.935375
41.800000	34.263332
42.350000	33.671188
42.900000	33.671188
43.450000	34.105427
44.000000	34.305847
44.550000	34.236004
45.100000	34.260296
45.650000	34.284588
46.200000	34.560925
46.750000	34.560925
47.300000	35.238094
47.850000	35.098408
48.400000	35.490135
48.950000	35.490135
49.500000	36.164268
50.050000	36.264477
50.600000	36.264477
51.150000	36.546886
51.700000	36.631912
52.250000	36.726048
52.800000	36.844475
53.350000	37.102589
53.900000	37.184578
54.450000	37.221020
55.000000	37.299973
55.550000	37.378925
56.100000	37.445728
56.650000	37.515572
57.200000	37.600597
57.750000	37.606670
58.300000	37.606670
58.850000	37.606670
59.400000	38.077351
59.950000	37.983215
60.500000	38.071278
61.050000	38.107716
61.600000	38.241329
62.150000	38.241329
62.700000	38.241329
63.250000	38.241329
63.800000	38.132011
64.350000	38.132011
64.900000	38.132011
65.450000	38.214001
66.000000	38.247402
66.550000	38.247402
67.100000	38.639130
67.650000	38.639130
68.200000	38.888134
68.750000	38.888134
69.300000	38.888134
69.850000	38.793999
70.400000	38.793999
70.950000	38.793999
71.500000	38.733265
72.050000	38.584469
72.600000	38.584469
73.150000	38.584469
73.700000	38.803108
74.250000	39.039963
74.800000	39.292007
75.350000	39.292007
75.900000	39.292007
76.450000	39.216091
77.000000	39.216091
77.550000	39.128029
78.100000	38.793999
78.650000	38.793999
79.200000	38.793999
79.750000	38.787922
80.300000	38.362793
80.850000	37.114735
81.400000	37.114735
81.950000	37.114735
82.500000	37.306046
83.050000	37.269604
83.600000	37.269604
84.150000	37.321228
84.700000	38.074314
85.250000	38.074314
85.800000	36.616726
86.350000	36.607616
86.900000	36.607616
87.450000	36.607616
88.000000	36.607616
88.550000	36.607616
89.100000	36.416309
89.650000	36.416309
90.200000	36.947720
90.750000	37.002380
91.300000	37.002380
91.850000	37.002380
92.400000	37.002380
92.950000	37.032745
93.500000	37.032745
94.050000	37.397144
94.600000	37.539864
95.150000	37.767612
95.700000	37.767612
96.250000	37.767612
96.800000	37.773685
97.350000	37.773685
97.900000	38.587505
98.450000	38.596615
99.000000	38.596615
99.550000	39.258602
100.100000	38.620907
100.650000	38.620907
101.200000	38.620907
101.750000	38.620907
102.300000	38.620907
102.850000	38.259548
103.400000	38.259548
103.950000	38.259548
104.500000	38.259548
105.050000	38.353683
105.600000	38.141121
106.150000	37.964996
106.700000	37.964996
107.250000	37.964996
107.800000	38.283840
108.350000	38.538918
108.900000	39.361847
109.450000	39.267712
110.000000	39.468132
110.550000	39.468132
