This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:11:42

This file contains the kymograph results for the parameter cAng_f:
secondary frequency	Results Average:
arc length	Rabbit delta 78 heterozygote014_SpQP_spq_210215_204725
0.000000	31.074348
0.550000	31.945065
1.100000	32.305519
1.650000	32.586563
2.200000	32.414913
2.750000	35.454708
3.300000	34.720898
3.850000	34.939732
4.400000	37.922375
4.950000	37.566727
5.500000	38.989700
6.050000	40.402706
6.600000	41.427639
7.150000	40.820690
7.700000	39.964962
8.250000	39.855507
8.800000	39.830456
9.350000	41.497162
9.900000	41.780827
10.450000	45.472393
11.000000	45.621597
11.550000	47.999783
12.100000	51.746090
12.650000	51.477612
13.200000	45.014996
13.750000	39.915573
14.300000	34.686604
14.850000	31.955126
15.400000	36.074379
15.950000	35.905308
16.500000	32.835796
17.050000	29.487986
17.600000	29.647326
18.150000	30.005362
18.700000	41.044918
19.250000	43.930401
19.800000	44.179073
20.350000	44.611713
20.900000	42.611717
21.450000	39.188713
22.000000	33.875187
22.550000	23.835413
23.100000	23.447630
23.650000	24.542299
24.200000	25.567173
24.750000	26.258635
25.300000	27.945238
25.850000	32.422768
26.400000	33.407787
26.950000	36.223808
27.500000	40.731434
28.050000	44.069771
28.600000	45.612080
29.150000	47.617077
29.700000	50.920456
30.250000	50.935368
30.800000	46.303635
31.350000	48.188530
31.900000	47.841122
32.450000	46.192554
33.000000	40.298203
33.550000	42.756859
34.100000	43.182999
34.650000	56.335358
35.200000	57.513809
35.750000	57.203480
36.300000	54.455952
36.850000	45.317970
37.400000	40.639023
37.950000	33.853111
38.500000	34.377075
39.050000	30.726986
39.600000	32.225609
40.150000	32.272766
40.700000	31.729746
41.250000	30.042976
41.800000	25.323202
42.350000	24.012903
42.900000	21.082031
43.450000	16.058807
44.000000	13.006353
44.550000	12.127118
45.100000	12.258057
45.650000	14.003212
46.200000	17.795893
46.750000	22.870672
47.300000	22.208155
47.850000	19.638611
48.400000	16.992552
48.950000	12.198703
49.500000	11.811950
50.050000	11.872569
50.600000	11.633032
51.150000	11.549846
51.700000	11.279802
52.250000	8.808958
52.800000	7.419708
53.350000	8.079347
53.900000	8.776393
54.450000	9.177919
55.000000	12.791472
55.550000	15.067985
56.100000	17.827061
56.650000	20.665337
57.200000	23.137861
57.750000	23.643726
58.300000	24.961601
58.850000	28.716972
59.400000	27.086609
59.950000	32.141548
60.500000	33.794052
61.050000	38.184700
61.600000	40.716549
62.150000	40.853794
62.700000	39.167873
63.250000	37.457874
63.800000	25.769156
64.350000	22.600237
64.900000	20.346375
65.450000	21.238300
66.000000	22.476406
66.550000	22.198601
67.100000	22.744036
67.650000	22.616915
68.200000	20.250229
68.750000	19.199980
69.300000	19.050436
69.850000	19.904856
70.400000	16.888079
70.950000	16.545048
71.500000	14.262592
72.050000	15.931149
72.600000	17.182693
73.150000	16.719370
73.700000	14.991337
74.250000	11.820088
74.800000	10.599127
75.350000	9.043367
75.900000	10.129208
76.450000	11.895563
77.000000	15.026828
77.550000	17.716854
78.100000	23.017315
78.650000	22.512955
79.200000	27.276598
79.750000	29.053438
80.300000	32.008781
80.850000	39.375916
81.400000	41.418694
81.950000	43.334663
82.500000	45.004536
83.050000	34.721046
83.600000	36.795979
84.150000	36.360619
84.700000	38.011497
85.250000	37.847206
85.800000	36.556602
86.350000	36.281643
86.900000	34.389656
87.450000	34.957626
88.000000	35.881927
88.550000	36.363827
89.100000	37.059292
89.650000	37.166817
90.200000	38.886372
90.750000	37.374920
91.300000	38.735325
91.850000	39.192696
92.400000	33.092358
92.950000	24.755302
93.500000	23.189342
94.050000	21.985098
94.600000	24.802288
95.150000	22.176668
95.700000	23.227268
96.250000	23.704475
96.800000	20.121126
97.350000	19.839069
97.900000	17.641411
98.450000	17.716059
99.000000	17.015091
99.550000	13.315326
100.100000	11.876438
100.650000	11.592257
101.200000	11.261348
101.750000	11.277775
102.300000	11.869907
102.850000	13.479590
103.400000	14.889076
103.950000	15.036083
104.500000	14.215211
105.050000	13.481032
105.600000	14.117561
106.150000	18.001123
106.700000	19.334208
107.250000	19.667227
107.800000	50.528637
108.350000	19.667227
108.900000	19.667227
109.450000	16.250502
110.000000	18.375643
110.550000	18.375643
