This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:11:42

This file contains the kymograph results for the parameter cAng_f:
center-of-mass of frequency spectrum	Results Median:
arc length	Rabbit delta 78 heterozygote014_SpQP_spq_210215_204725
0.000000	49.006210
0.550000	48.732914
1.100000	48.411030
1.650000	48.411030
2.200000	48.332077
2.750000	48.274380
3.300000	48.168098
3.850000	48.171135
4.400000	48.629669
4.950000	48.942440
5.500000	48.954586
6.050000	48.951550
6.600000	48.751133
7.150000	48.523384
7.700000	48.480873
8.250000	48.329041
8.800000	48.265270
9.350000	48.310822
9.900000	48.177208
10.450000	48.271343
11.000000	48.271343
11.550000	48.165062
12.100000	48.101292
12.650000	47.824959
13.200000	47.639725
13.750000	47.524330
14.300000	47.518257
14.850000	47.521294
15.400000	47.645798
15.950000	48.168098
16.500000	48.483910
17.050000	49.929348
17.600000	50.275524
18.150000	50.299820
18.700000	50.299820
19.250000	49.898983
19.800000	49.282543
20.350000	48.854378
20.900000	48.411030
21.450000	48.143806
22.000000	47.521294
22.550000	47.172081
23.100000	47.014175
23.650000	46.989883
24.200000	46.898785
24.750000	46.974701
25.300000	47.114384
25.850000	47.478783
26.400000	47.709568
26.950000	48.459618
27.500000	48.893856
28.050000	49.540657
28.600000	50.023483
29.150000	50.236050
29.700000	50.606518
30.250000	50.606518
30.800000	50.597408
31.350000	49.719822
31.900000	49.092754
32.450000	48.019302
33.000000	47.809776
33.550000	47.651871
34.100000	47.623020
34.650000	47.500038
35.200000	47.439304
35.750000	47.446896
36.300000	47.454487
36.850000	47.454487
37.400000	46.661926
37.950000	46.364334
38.500000	46.218578
39.050000	45.517113
39.600000	45.240780
40.150000	45.184601
40.700000	45.310623
41.250000	45.459419
41.800000	45.491302
42.350000	45.599102
42.900000	45.599102
43.450000	45.538368
44.000000	45.556587
44.550000	45.617321
45.100000	45.693237
45.650000	46.469101
46.200000	46.525276
46.750000	46.519203
47.300000	46.226170
47.850000	45.600624
48.400000	44.433033
48.950000	44.167328
49.500000	44.139999
50.050000	44.123299
50.600000	44.184029
51.150000	44.569683
51.700000	44.565128
52.250000	44.554501
52.800000	44.344971
53.350000	44.279686
53.900000	44.240208
54.450000	44.305496
55.000000	44.331306
55.550000	44.331306
56.100000	44.420887
56.650000	44.682037
57.200000	44.753399
57.750000	44.864235
58.300000	44.967484
58.850000	44.976593
59.400000	45.009995
59.950000	45.404758
60.500000	45.418423
61.050000	46.555641
61.600000	46.689255
62.150000	46.909412
62.700000	47.102238
63.250000	47.044544
63.800000	47.742970
64.350000	47.829514
64.900000	48.073963
65.450000	48.092182
66.000000	48.072445
66.550000	47.855324
67.100000	46.865379
67.650000	45.887585
68.200000	45.887585
68.750000	45.374390
69.300000	45.022141
69.850000	44.633453
70.400000	44.724552
70.950000	44.571201
71.500000	44.832352
72.050000	44.864235
72.600000	45.079838
73.150000	45.091984
73.700000	45.114761
74.250000	44.973557
74.800000	45.041878
75.350000	45.371353
75.900000	45.353134
76.450000	45.465492
77.000000	45.782818
77.550000	46.482765
78.100000	46.674072
78.650000	46.904858
79.200000	47.295067
79.750000	47.512184
80.300000	47.651871
80.850000	47.913021
81.400000	48.013229
81.950000	48.049671
82.500000	48.149879
83.050000	48.098255
83.600000	47.967682
84.150000	47.794594
84.700000	46.877525
85.250000	45.954388
85.800000	45.796486
86.350000	45.085911
86.900000	44.442142
87.450000	44.173401
88.000000	43.843925
88.550000	43.664764
89.100000	43.327698
89.650000	43.285183
90.200000	43.298851
90.750000	43.522041
91.300000	43.622250
91.850000	44.086857
92.400000	44.228062
92.950000	44.240208
93.500000	44.211361
94.050000	44.259945
94.600000	44.247799
95.150000	44.238689
95.700000	43.974503
96.250000	43.755863
96.800000	43.768009
97.350000	43.758900
97.900000	43.892513
98.450000	44.074711
99.000000	44.077747
99.550000	44.241726
100.100000	43.868217
100.650000	43.789265
101.200000	43.822670
101.750000	43.789265
102.300000	43.699684
102.850000	42.392414
103.400000	42.275501
103.950000	42.304352
104.500000	43.027069
105.050000	43.853035
105.600000	44.351044
106.150000	45.337952
106.700000	45.337952
107.250000	45.310623
107.800000	45.404758
108.350000	44.921932
108.900000	44.530205
109.450000	44.089893
110.000000	44.013977
110.550000	44.013977
