This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:11:42

This file contains the kymograph results for the parameter X_f:
center-of-mass of frequency spectrum	Results Median:
arc length	Rabbit delta 78 heterozygote014_SpQP_spq_210215_204725
0.000000	37.227093
0.550000	35.848457
1.100000	34.396946
1.650000	33.835167
2.200000	33.112446
2.750000	31.967634
3.300000	30.916958
3.850000	30.127432
4.400000	27.731525
4.950000	27.039171
5.500000	27.039171
6.050000	26.471319
6.600000	26.346817
7.150000	25.973310
7.700000	38.247402
8.250000	38.247402
8.800000	38.247402
9.350000	40.488441
9.900000	40.488441
10.450000	25.614988
11.000000	25.614988
11.550000	25.614988
12.100000	25.964201
12.650000	26.313416
13.200000	26.784094
13.750000	27.446081
14.300000	28.314560
14.850000	28.861155
15.400000	29.541361
15.950000	30.136541
16.500000	30.847115
17.050000	31.336014
17.600000	31.837059
18.150000	32.280407
18.700000	41.672729
19.250000	41.775974
19.800000	34.053806
20.350000	34.053806
20.900000	33.832130
21.450000	32.972763
22.000000	33.379673
22.550000	33.464699
23.100000	33.674225
23.650000	33.795692
24.200000	33.832130
24.750000	34.002182
25.300000	34.345322
25.850000	34.512337
26.400000	34.652023
26.950000	34.873695
27.500000	34.955685
28.050000	35.089298
28.600000	35.259350
29.150000	35.304901
29.700000	35.314011
30.250000	35.423328
30.800000	35.538719
31.350000	35.578197
31.900000	35.699661
32.450000	35.769505
33.000000	36.176414
33.550000	36.613689
34.100000	36.797409
34.650000	36.853584
35.200000	36.990234
35.750000	37.063114
36.300000	37.096516
36.850000	37.096516
37.400000	37.137512
37.950000	37.184578
38.500000	37.254421
39.050000	37.454838
39.600000	37.500389
40.150000	37.917927
40.700000	38.024208
41.250000	38.031799
41.800000	38.113792
42.350000	38.138084
42.900000	38.201851
43.450000	38.605724
44.000000	38.906353
44.550000	39.012634
45.100000	39.197868
45.650000	39.234306
46.200000	39.613888
46.750000	39.865929
47.300000	39.928181
47.850000	39.928181
48.400000	40.060276
48.950000	40.066349
49.500000	40.066349
50.050000	40.087605
50.600000	39.395252
51.150000	39.413471
51.700000	39.395252
52.250000	39.422581
52.800000	39.431690
53.350000	39.448395
53.900000	39.459023
54.450000	39.459023
55.000000	39.506088
55.550000	39.545567
56.100000	39.838600
56.650000	39.853783
57.200000	39.931217
57.750000	39.964622
58.300000	39.993469
58.850000	40.017761
59.400000	40.066349
59.950000	40.254620
60.500000	40.301689
61.050000	40.301689
61.600000	40.336609
62.150000	40.304726
62.700000	40.294098
63.250000	40.294098
63.800000	40.105824
64.350000	40.105824
64.900000	40.105824
65.450000	40.265247
66.000000	40.295616
66.550000	40.295616
67.100000	40.330536
67.650000	40.347237
68.200000	40.400379
68.750000	40.397343
69.300000	40.409489
69.850000	40.420116
70.400000	40.494514
70.950000	40.556763
71.500000	40.565876
72.050000	40.669121
72.600000	40.670639
73.150000	40.699486
73.700000	40.895351
74.250000	40.898388
74.800000	40.889278
75.350000	41.010742
75.900000	41.006187
76.450000	41.001633
77.000000	41.018333
77.550000	41.010742
78.100000	40.761738
78.650000	40.764774
79.200000	40.775402
79.750000	40.775402
80.300000	40.591686
80.850000	40.127083
81.400000	40.114933
81.950000	40.114933
82.500000	40.224255
83.050000	40.263729
83.600000	40.275875
84.150000	40.212109
84.700000	40.096714
85.250000	40.069386
85.800000	39.914516
86.350000	39.762684
86.900000	39.762684
87.450000	39.782425
88.000000	39.750538
88.550000	39.632111
89.100000	38.942791
89.650000	38.939754
90.200000	38.945827
90.750000	39.165985
91.300000	39.167503
91.850000	39.165985
92.400000	39.169022
92.950000	39.264675
93.500000	39.635147
94.050000	39.674622
94.600000	39.723209
95.150000	39.829491
95.700000	39.829491
96.250000	39.916035
96.800000	39.916035
97.350000	39.916035
97.900000	39.917553
98.450000	39.917553
99.000000	39.902370
99.550000	39.926662
100.100000	39.337555
100.650000	39.337555
101.200000	39.301117
101.750000	39.301117
102.300000	39.269230
102.850000	38.730228
103.400000	38.730228
103.950000	38.724155
104.500000	38.730228
105.050000	38.599651
105.600000	38.581432
106.150000	38.016617
106.700000	38.016617
107.250000	38.016617
107.800000	38.535881
108.350000	38.548031
108.900000	39.395252
109.450000	39.566822
110.000000	39.635147
110.550000	39.635147
