This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:11:42

This file contains the kymograph results for the parameter cAng_f:
peak height of primary frequency	Results Maximum:
arc length	Rabbit delta 78 heterozygote014_SpQP_spq_210215_204725
0.000000	407.006226
0.550000	504.007690
1.100000	602.009216
1.650000	794.012146
2.200000	1007.015381
2.750000	1206.018433
3.300000	1435.021851
3.850000	1565.023926
4.400000	1620.024780
4.950000	1620.024780
5.500000	1620.024780
6.050000	1807.027588
6.600000	1859.028320
7.150000	2015.030762
7.700000	2015.030762
8.250000	2015.030762
8.800000	2015.030762
9.350000	2203.033691
9.900000	2203.033691
10.450000	2203.033691
11.000000	2151.032715
11.550000	2061.031494
12.100000	1957.029907
12.650000	1957.029907
13.200000	1864.028442
13.750000	1780.027222
14.300000	1706.026001
14.850000	1698.025879
15.400000	1689.025757
15.950000	1689.025757
16.500000	1694.025879
17.050000	1694.025879
17.600000	1694.025879
18.150000	1668.025513
18.700000	1628.024902
19.250000	1603.024414
19.800000	1573.024048
20.350000	1495.022827
20.900000	1498.022827
21.450000	1498.022827
22.000000	1498.022827
22.550000	1491.022705
23.100000	1528.023315
23.650000	1571.023926
24.200000	1571.023926
24.750000	1711.026123
25.300000	1775.027100
25.850000	1775.027100
26.400000	1775.027100
26.950000	1626.024780
27.500000	1554.023682
28.050000	1462.022339
28.600000	1367.020874
29.150000	1306.019897
29.700000	1306.019897
30.250000	1309.020020
30.800000	1389.021240
31.350000	1432.021851
31.900000	1478.022583
32.450000	1540.023560
33.000000	1574.024048
33.550000	1574.024048
34.100000	1574.024048
34.650000	1574.024048
35.200000	1588.024292
35.750000	1588.024292
36.300000	1588.024292
36.850000	1502.022949
37.400000	1429.021851
37.950000	1390.021240
38.500000	1364.020874
39.050000	1308.020020
39.600000	1402.021362
40.150000	1402.021362
40.700000	1402.021362
41.250000	1409.021484
41.800000	1416.021606
42.350000	1465.022339
42.900000	1465.022339
43.450000	1625.024780
44.000000	1920.029297
44.550000	1920.029297
45.100000	1920.029297
45.650000	1833.027954
46.200000	1814.027710
46.750000	1814.027710
47.300000	1814.027710
47.850000	1944.029663
48.400000	2017.030762
48.950000	2017.030762
49.500000	2017.030762
50.050000	2093.031982
50.600000	2093.031982
51.150000	2093.031982
51.700000	2016.030762
52.250000	1983.030273
52.800000	1983.030273
53.350000	2071.031494
53.900000	2270.034668
54.450000	2334.035645
55.000000	2334.035645
55.550000	2334.035645
56.100000	2382.036377
56.650000	2557.039062
57.200000	2587.039551
57.750000	2557.039062
58.300000	2381.036377
58.850000	1580.024170
59.400000	1634.024902
59.950000	1634.024902
60.500000	1646.025146
61.050000	1646.025146
61.600000	1646.025146
62.150000	1616.024658
62.700000	1616.024658
63.250000	1616.024658
63.800000	1602.024414
64.350000	1555.023682
64.900000	1548.023682
65.450000	1507.022949
66.000000	1507.022949
66.550000	1472.022461
67.100000	1464.022339
67.650000	1464.022339
68.200000	1473.022461
68.750000	1704.026001
69.300000	1864.028442
69.850000	1934.029541
70.400000	1991.030396
70.950000	1991.030396
71.500000	1991.030396
72.050000	1914.029175
72.600000	1781.027222
73.150000	1718.026245
73.700000	1718.026245
74.250000	1718.026245
74.800000	1722.026245
75.350000	1722.026245
75.900000	1722.026245
76.450000	1642.025024
77.000000	1642.025024
77.550000	1520.023193
78.100000	1520.023193
78.650000	1411.021484
79.200000	1408.021484
79.750000	1309.020020
80.300000	1312.020020
80.850000	1343.020508
81.400000	1343.020508
81.950000	1343.020508
82.500000	1340.020508
83.050000	1340.020508
83.600000	1308.020020
84.150000	1405.021484
84.700000	1502.022949
85.250000	1507.022949
85.800000	1698.025879
86.350000	1755.026733
86.900000	1845.028198
87.450000	1910.029175
88.000000	1910.029175
88.550000	1922.029297
89.100000	1897.028931
89.650000	1863.028442
90.200000	1789.027344
90.750000	1532.023438
91.300000	1401.021362
91.850000	1402.021362
92.400000	1365.020874
92.950000	1483.022583
93.500000	1483.022583
94.050000	1506.022949
94.600000	1595.024292
95.150000	1673.025513
95.700000	1766.026978
96.250000	1857.028320
96.800000	1862.028442
97.350000	1862.028442
97.900000	1862.028442
98.450000	1704.026001
99.000000	1603.024414
99.550000	1389.021240
100.100000	1389.021240
100.650000	1346.020508
101.200000	1346.020508
101.750000	1285.019653
102.300000	1281.019531
102.850000	1390.021240
103.400000	1390.021240
103.950000	1428.021851
104.500000	1671.025513
105.050000	1478.022583
105.600000	1395.021240
106.150000	1512.023071
106.700000	1529.023315
107.250000	1529.023315
107.800000	1755.026733
108.350000	1475.022461
108.900000	1452.022217
109.450000	1560.023804
110.000000	1560.023804
110.550000	1560.023804
