This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:13

This file contains the kymograph results for the parameter cAng_f:
peak height of secondary frequency	Results Median:
arc length	Rabbit delta 78 heterozygote019_SpQP_spq_210215_205359
0.000000	252.003845
0.550000	347.005310
1.100000	455.006958
1.650000	562.508606
2.200000	702.010742
2.750000	871.513306
3.300000	1069.516357
3.850000	1174.017944
4.400000	1263.019287
4.950000	1375.020996
5.500000	1522.023193
6.050000	1545.523560
6.600000	1548.523682
7.150000	1584.024170
7.700000	1698.525879
8.250000	1745.526611
8.800000	1895.528931
9.350000	1895.528931
9.900000	1977.030151
10.450000	1991.030396
11.000000	1991.030396
11.550000	1992.030396
12.100000	2022.030884
12.650000	2149.032715
13.200000	2150.032715
13.750000	2181.033203
14.300000	2156.032715
14.850000	2162.032959
15.400000	2251.534180
15.950000	2345.035889
16.500000	2407.036621
17.050000	2507.038330
17.600000	2578.039307
18.150000	2679.040771
18.700000	2766.542236
19.250000	2772.042236
19.800000	2794.542480
20.350000	2793.542725
20.900000	2793.042725
21.450000	2792.042725
22.000000	2449.537354
22.550000	2296.035156
23.100000	2065.531494
23.650000	1953.529785
24.200000	1802.027466
24.750000	1707.026001
25.300000	1696.025879
25.850000	1676.525635
26.400000	1665.525391
26.950000	1613.024658
27.500000	1582.024170
28.050000	1575.024048
28.600000	1569.023926
29.150000	1567.523926
29.700000	1567.023926
30.250000	1527.023315
30.800000	1521.023193
31.350000	1517.023193
31.900000	1490.022705
32.450000	1490.022705
