This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:13

This file contains the kymograph results for the parameter X_f:
secondary frequency	Results Minimum:
arc length	Rabbit delta 78 heterozygote019_SpQP_spq_210215_205359
0.000000	4.999252
0.550000	4.999252
1.100000	4.999252
1.650000	4.999252
2.200000	4.999252
2.750000	4.999252
3.300000	4.999252
3.850000	4.999252
4.400000	3.001144
4.950000	3.001144
5.500000	1.999054
6.050000	1.999054
6.600000	1.999054
7.150000	3.001144
7.700000	3.001144
8.250000	3.001144
8.800000	3.001144
9.350000	3.001144
9.900000	3.001144
10.450000	1.999054
11.000000	1.999054
11.550000	1.999054
12.100000	1.999054
12.650000	1.999054
13.200000	1.999054
13.750000	1.999054
14.300000	1.999054
14.850000	1.999054
15.400000	4.999252
15.950000	7.000397
16.500000	7.000397
17.050000	7.000397
17.600000	7.000397
18.150000	7.000397
18.700000	7.000397
19.250000	4.999252
19.800000	4.999252
20.350000	4.999252
20.900000	11.998703
21.450000	11.998703
22.000000	11.998703
22.550000	11.998703
23.100000	11.998703
23.650000	11.998703
24.200000	11.998703
24.750000	4.999252
25.300000	4.999252
25.850000	10.000595
26.400000	14.998901
26.950000	14.500893
27.500000	11.998703
28.050000	11.998703
28.600000	11.998703
29.150000	14.998901
29.700000	14.998901
30.250000	14.998901
30.800000	14.998901
31.350000	14.998901
31.900000	14.998901
32.450000	14.998901
