This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:13

This file contains the kymograph results for the parameter Z_f:
peak height of secondary frequency	Results Median:
arc length	Rabbit delta 78 heterozygote019_SpQP_spq_210215_205359
0.000000	37.751972
0.550000	38.675171
1.100000	40.086674
1.650000	41.315063
2.200000	41.315063
2.750000	41.284546
3.300000	38.347092
3.850000	36.638031
4.400000	32.830788
4.950000	30.541864
5.500000	26.383654
6.050000	26.391285
6.600000	26.421803
7.150000	29.191401
7.700000	30.183266
8.250000	35.577496
8.800000	35.836906
9.350000	41.673660
9.900000	47.617229
10.450000	48.639618
11.000000	48.670135
11.550000	48.616726
12.100000	48.639618
12.650000	24.552515
13.200000	20.783422
13.750000	20.798683
14.300000	21.096241
14.850000	23.537760
15.400000	24.682220
15.950000	26.520990
16.500000	28.489464
17.050000	29.099842
17.600000	29.099842
18.150000	29.099842
18.700000	28.176643
19.250000	23.987915
19.800000	23.575909
20.350000	22.950270
20.900000	21.821068
21.450000	21.424320
22.000000	21.187798
22.550000	20.470604
23.100000	20.424824
23.650000	20.310379
24.200000	20.218821
24.750000	19.638960
25.300000	17.517891
25.850000	17.418705
26.400000	16.838844
26.950000	17.517891
27.500000	17.075367
28.050000	17.433964
28.600000	18.761539
29.150000	25.094227
29.700000	30.946241
30.250000	30.946241
30.800000	31.098835
31.350000	30.869944
31.900000	26.292097
32.450000	26.292097
