This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:13

This file contains the kymograph results for the parameter X_f:
secondary frequency	Results Maximum:
arc length	Rabbit delta 78 heterozygote019_SpQP_spq_210215_205359
0.000000	93.001022
0.550000	93.001022
1.100000	93.001022
1.650000	93.001022
2.200000	81.999283
2.750000	81.999283
3.300000	77.000977
3.850000	88.998734
4.400000	90.000824
4.950000	90.000824
5.500000	90.000824
6.050000	90.000824
6.600000	90.000824
7.150000	62.999039
7.700000	62.999039
8.250000	62.999039
8.800000	97.999329
9.350000	97.999329
9.900000	97.999329
10.450000	88.998734
11.000000	88.998734
11.550000	24.998550
12.100000	24.998550
12.650000	19.001190
13.200000	19.001190
13.750000	19.001190
14.300000	11.998703
14.850000	7.000397
15.400000	11.998703
15.950000	14.998901
16.500000	24.998550
17.050000	24.998550
17.600000	36.000290
18.150000	36.000290
18.700000	36.000290
19.250000	97.999329
19.800000	97.999329
20.350000	97.999329
20.900000	85.998535
21.450000	85.998535
22.000000	85.998535
22.550000	85.998535
23.100000	85.998535
23.650000	85.998535
24.200000	85.998535
24.750000	97.999329
25.300000	97.999329
25.850000	97.999329
26.400000	85.998535
26.950000	85.998535
27.500000	85.998535
28.050000	85.998535
28.600000	85.998535
29.150000	85.998535
29.700000	85.998535
30.250000	85.998535
30.800000	85.998535
31.350000	85.998535
31.900000	85.998535
32.450000	85.998535
