This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:13

This file contains the kymograph results for the parameter cAng_f:
secondary frequency	Results Minimum:
arc length	Rabbit delta 78 heterozygote019_SpQP_spq_210215_205359
0.000000	7.000397
0.550000	7.000397
1.100000	1.999054
1.650000	1.999054
2.200000	1.999054
2.750000	1.999054
3.300000	1.999054
3.850000	1.999054
4.400000	1.999054
4.950000	1.999054
5.500000	8.998505
6.050000	8.998505
6.600000	8.998505
7.150000	8.998505
7.700000	4.999252
8.250000	4.999252
8.800000	4.999252
9.350000	4.999252
9.900000	4.999252
10.450000	4.999252
11.000000	4.999252
11.550000	4.999252
12.100000	4.999252
12.650000	4.999252
13.200000	4.999252
13.750000	4.999252
14.300000	6.001343
14.850000	8.500496
15.400000	10.999649
15.950000	3.001144
16.500000	3.001144
17.050000	3.001144
17.600000	3.001144
18.150000	3.001144
18.700000	3.001144
19.250000	3.001144
19.800000	3.001144
20.350000	3.001144
20.900000	3.001144
21.450000	3.001144
22.000000	3.001144
22.550000	6.001343
23.100000	6.001343
23.650000	8.998505
24.200000	8.998505
24.750000	8.998505
25.300000	39.999542
25.850000	39.999542
26.400000	39.999542
26.950000	39.999542
27.500000	39.999542
28.050000	39.999542
28.600000	49.000137
29.150000	49.000137
29.700000	49.000137
30.250000	7.999451
30.800000	7.999451
31.350000	7.999451
31.900000	7.999451
32.450000	7.999451
