This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:13

This file contains the kymograph results for the parameter X_f:
primary frequency	Results Average:
arc length	Rabbit delta 78 heterozygote019_SpQP_spq_210215_205359
0.000000	34.367401
0.550000	34.020588
1.100000	35.204086
1.650000	36.079071
2.200000	35.637829
2.750000	36.594727
3.300000	36.594837
3.850000	33.895714
4.400000	31.538523
4.950000	25.137693
5.500000	20.658016
6.050000	19.311144
6.600000	14.163097
7.150000	12.958900
7.700000	9.913632
8.250000	7.643296
8.800000	7.903533
9.350000	7.903533
9.900000	8.684135
10.450000	6.556598
11.000000	7.071835
11.550000	7.876064
12.100000	8.963957
12.650000	11.836278
13.200000	11.165886
13.750000	9.182626
14.300000	6.457851
14.850000	6.772235
15.400000	6.832369
15.950000	6.367338
16.500000	6.975091
17.050000	7.542371
17.600000	7.607593
18.150000	7.607593
18.700000	7.544369
19.250000	7.362723
19.800000	7.362723
20.350000	7.248946
20.900000	7.525256
21.450000	8.051553
22.000000	12.098912
22.550000	12.098912
23.100000	66.073784
23.650000	81.873642
24.200000	85.998535
24.750000	85.998535
25.300000	85.998535
25.850000	80.298767
26.400000	79.748756
26.950000	77.696205
27.500000	12.469561
28.050000	11.123961
28.600000	10.498983
29.150000	5.249016
29.700000	5.822538
30.250000	4.599023
30.800000	2.999042
31.350000	1.999054
31.900000	1.999054
32.450000	1.999054
