This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:13

This file contains the kymograph results for the parameter cAng_f:
center-of-mass of frequency spectrum	Results Minimum:
arc length	Rabbit delta 78 heterozygote019_SpQP_spq_210215_205359
0.000000	45.331879
0.550000	45.653763
1.100000	45.653763
1.650000	46.880566
2.200000	47.688309
2.750000	47.688309
3.300000	47.123493
3.850000	47.017212
4.400000	46.564754
4.950000	46.312714
5.500000	46.203392
6.050000	46.203392
6.600000	46.203392
7.150000	47.363388
7.700000	47.466637
8.250000	47.466637
8.800000	46.166954
9.350000	44.709370
9.900000	44.709370
10.450000	44.709370
11.000000	44.709370
11.550000	44.830833
12.100000	44.891567
12.650000	44.211361
13.200000	43.579739
13.750000	43.157646
14.300000	42.726444
14.850000	42.726444
15.400000	41.542156
15.950000	41.542156
16.500000	41.542156
17.050000	41.687912
17.600000	41.687912
18.150000	42.113041
18.700000	42.705185
19.250000	42.705185
19.800000	42.705185
20.350000	42.413670
20.900000	42.413670
21.450000	42.413670
22.000000	43.506859
22.550000	44.196175
23.100000	44.196175
23.650000	45.262035
24.200000	45.875439
24.750000	47.077946
25.300000	47.077946
25.850000	47.077946
26.400000	46.400776
26.950000	46.400776
27.500000	46.400776
28.050000	47.925167
28.600000	49.088200
29.150000	49.088200
29.700000	49.088200
30.250000	48.772388
30.800000	47.855324
31.350000	47.518257
31.900000	47.518257
32.450000	47.518257
