This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:13

This file contains the kymograph results for the parameter Y_f:
peak height of secondary frequency	Results Average:
arc length	Rabbit delta 78 heterozygote019_SpQP_spq_210215_205359
0.000000	9.459328
0.550000	13.081832
1.100000	16.592091
1.650000	22.240135
2.200000	27.082047
2.750000	32.005589
3.300000	33.867863
3.850000	34.510731
4.400000	34.536240
4.950000	32.694378
5.500000	31.622932
6.050000	27.469807
6.600000	25.173853
7.150000	25.168751
7.700000	25.061607
8.250000	26.658569
8.800000	30.974962
9.350000	36.541374
9.900000	42.367992
10.450000	48.317062
11.000000	56.490658
11.550000	61.096977
12.100000	67.334358
12.650000	80.257042
13.200000	89.155205
13.750000	107.334969
14.300000	120.335167
14.850000	125.365547
15.400000	129.057526
15.950000	129.738815
16.500000	151.573746
17.050000	153.393646
17.600000	158.611115
18.150000	163.437271
18.700000	181.230042
19.250000	190.366547
19.800000	194.775696
20.350000	199.303040
20.900000	211.213745
21.450000	218.634918
22.000000	218.403336
22.550000	218.503326
23.100000	223.503418
23.650000	227.378464
24.200000	228.885849
24.750000	229.108765
25.300000	230.161407
25.850000	230.703522
26.400000	234.378571
26.950000	233.056183
27.500000	233.474152
28.050000	237.753632
28.600000	243.878723
29.150000	262.316498
29.700000	261.180450
30.250000	267.470764
30.800000	286.312073
31.350000	297.459106
31.900000	306.782471
32.450000	306.782471
