This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:13

This file contains the kymograph results for the parameter Curv_f:
primary frequency	Results Median:
arc length	Rabbit delta 78 heterozygote019_SpQP_spq_210215_205359
0.000000	16.000992
0.550000	16.000992
1.100000	16.000992
1.650000	16.000992
2.200000	16.000992
2.750000	26.999695
3.300000	20.999298
3.850000	13.999847
4.400000	16.000992
4.950000	16.000992
5.500000	13.999847
6.050000	13.999847
6.600000	13.999847
7.150000	16.000992
7.700000	16.000992
8.250000	13.999847
8.800000	10.999649
9.350000	10.999649
9.900000	10.999649
10.450000	10.999649
11.000000	5.999825
11.550000	4.999252
12.100000	4.999252
12.650000	4.999252
13.200000	3.001144
13.750000	3.001144
14.300000	3.001144
14.850000	3.001144
15.400000	3.001144
15.950000	6.001343
16.500000	6.001343
17.050000	6.001343
17.600000	6.001343
18.150000	6.001343
18.700000	6.001343
19.250000	6.001343
19.800000	6.001343
20.350000	6.001343
20.900000	6.001343
21.450000	6.001343
22.000000	6.001343
22.550000	6.001343
23.100000	6.001343
23.650000	6.001343
24.200000	6.001343
24.750000	49.000137
25.300000	49.000137
25.850000	49.000137
26.400000	49.000137
26.950000	49.000137
27.500000	43.998795
28.050000	43.998795
28.600000	6.001343
29.150000	6.001343
29.700000	6.001343
30.250000	6.001343
30.800000	6.001343
31.350000	6.001343
31.900000	6.001343
32.450000	6.001343
