This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:13

This file contains the kymograph results for the parameter Z_f:
peak height of secondary frequency	Results Average:
arc length	Rabbit delta 78 heterozygote019_SpQP_spq_210215_205359
0.000000	35.731571
0.550000	37.216022
1.100000	38.626667
1.650000	41.206924
2.200000	41.181854
2.750000	41.509777
3.300000	38.449238
3.850000	36.137581
4.400000	32.803539
4.950000	30.468058
5.500000	26.803835
6.050000	26.804459
6.600000	26.968964
7.150000	31.566820
7.700000	33.187439
8.250000	37.022633
8.800000	38.416771
9.350000	49.762199
9.900000	53.466908
10.450000	54.572598
11.000000	49.500687
11.550000	48.023071
12.100000	45.811745
12.650000	24.951036
13.200000	20.610090
13.750000	20.372433
14.300000	21.197971
14.850000	24.220276
15.400000	24.415180
15.950000	27.208469
16.500000	29.511122
17.050000	29.535070
17.600000	29.486637
18.150000	29.385792
18.700000	28.419409
19.250000	24.910419
19.800000	23.749311
20.350000	22.344467
20.900000	21.947159
21.450000	21.332764
22.000000	21.392277
22.550000	20.667450
23.100000	19.980774
23.650000	19.709536
24.200000	19.698204
24.750000	19.226151
25.300000	17.256874
25.850000	17.166924
26.400000	16.833122
26.950000	17.052076
27.500000	17.883223
28.050000	18.310431
28.600000	19.246029
29.150000	25.318352
29.700000	30.619509
30.250000	30.641050
30.800000	30.651615
31.350000	30.471809
31.900000	26.264969
32.450000	26.264969
