This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:13

This file contains the kymograph results for the parameter Z_f:
secondary frequency	Results Median:
arc length	Rabbit delta 78 heterozygote019_SpQP_spq_210215_205359
0.000000	30.998947
0.550000	20.501289
1.100000	10.000595
1.650000	7.000397
2.200000	7.000397
2.750000	4.000198
3.300000	4.000198
3.850000	4.000198
4.400000	4.000198
4.950000	13.000793
5.500000	13.000793
6.050000	27.998749
6.600000	30.998947
7.150000	30.998947
7.700000	29.999893
8.250000	27.998749
8.800000	17.999100
9.350000	17.999100
9.900000	17.999100
10.450000	17.999100
11.000000	17.999100
11.550000	17.999100
12.100000	17.999100
12.650000	19.001190
13.200000	17.999100
13.750000	19.001190
14.300000	14.998901
14.850000	13.000793
15.400000	13.000793
15.950000	10.000595
16.500000	10.000595
17.050000	8.998505
17.600000	10.000595
18.150000	10.000595
18.700000	10.000595
19.250000	10.000595
19.800000	10.000595
20.350000	10.000595
20.900000	10.000595
21.450000	10.000595
22.000000	6.001343
22.550000	6.001343
23.100000	6.001343
23.650000	6.001343
24.200000	6.001343
24.750000	6.001343
25.300000	7.000397
25.850000	7.000397
26.400000	7.000397
26.950000	7.000397
27.500000	7.000397
28.050000	7.000397
28.600000	7.000397
29.150000	6.001343
29.700000	1.999054
30.250000	1.999054
30.800000	1.999054
31.350000	1.999054
31.900000	6.499352
32.450000	6.499352
