This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:13

This file contains the kymograph results for the parameter Y_f:
peak height of primary frequency	Results Average:
arc length	Rabbit delta 78 heterozygote019_SpQP_spq_210215_205359
0.000000	10.648122
0.550000	14.658387
1.100000	18.729877
1.650000	24.352413
2.200000	30.612713
2.750000	36.975056
3.300000	39.791424
3.850000	40.357758
4.400000	40.337349
4.950000	37.551594
5.500000	36.347492
6.050000	31.184149
6.600000	28.944319
7.150000	28.985136
7.700000	29.281059
8.250000	31.143332
8.800000	35.786259
9.350000	42.296562
9.900000	48.250736
10.450000	54.465118
11.000000	61.960129
11.550000	67.373909
12.100000	74.798241
12.650000	92.373505
13.200000	111.129898
13.750000	124.635239
14.300000	132.960358
14.850000	140.638504
15.400000	146.502228
15.950000	148.791748
16.500000	164.240601
17.050000	172.133057
17.600000	177.524445
18.150000	181.220154
18.700000	192.775665
19.250000	203.912201
19.800000	211.639587
20.350000	226.453461
20.900000	237.793106
21.450000	247.319565
22.000000	261.354004
22.550000	261.954010
23.100000	261.954010
23.650000	268.566589
24.200000	271.004150
24.750000	270.477814
25.300000	279.793762
25.850000	281.154297
26.400000	289.566925
26.950000	283.425385
27.500000	279.651337
28.050000	282.254303
28.600000	282.316803
29.150000	285.816864
29.700000	283.533752
30.250000	295.071167
30.800000	301.773834
31.350000	310.822937
31.900000	329.338348
32.450000	329.338348
