This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:13

This file contains the kymograph results for the parameter X_f:
center-of-mass of frequency spectrum	Results Median:
arc length	Rabbit delta 78 heterozygote019_SpQP_spq_210215_205359
0.000000	39.043003
0.550000	38.268658
1.100000	37.325783
1.650000	36.952274
2.200000	35.497726
2.750000	34.661133
3.300000	33.672707
3.850000	31.946379
4.400000	31.235806
4.950000	30.661880
5.500000	29.597538
6.050000	28.979584
6.600000	28.727543
7.150000	28.302412
7.700000	28.179428
8.250000	30.156281
8.800000	30.139578
9.350000	30.139578
9.900000	29.799475
10.450000	29.589947
11.000000	29.474554
11.550000	29.189112
12.100000	28.779165
12.650000	29.198221
13.200000	29.222513
13.750000	29.272617
14.300000	29.293875
14.850000	32.124023
15.400000	32.212082
15.950000	32.177162
16.500000	32.174126
17.050000	31.129522
17.600000	31.129522
18.150000	31.165962
18.700000	31.638161
19.250000	32.116432
19.800000	32.617474
20.350000	33.060822
20.900000	33.467735
21.450000	33.938412
22.000000	34.445530
22.550000	34.955685
23.100000	35.154587
23.650000	35.710289
24.200000	36.079243
24.750000	36.410236
25.300000	36.744267
25.850000	36.827774
26.400000	36.814110
26.950000	36.932537
27.500000	36.877880
28.050000	36.893063
28.600000	37.105625
29.150000	37.591488
29.700000	37.594524
30.250000	37.870857
30.800000	37.886044
31.350000	37.886044
31.900000	37.961960
32.450000	37.961960
