This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:13

This file contains the kymograph results for the parameter cAng_f:
primary frequency	Results Average:
arc length	Rabbit delta 78 heterozygote019_SpQP_spq_210215_205359
0.000000	30.024992
0.550000	30.792828
1.100000	27.915272
1.650000	29.430943
2.200000	24.584499
2.750000	19.214684
3.300000	17.319202
3.850000	20.194139
4.400000	20.071697
4.950000	21.474703
5.500000	25.699177
6.050000	25.699177
6.600000	25.928783
7.150000	26.265602
7.700000	30.801287
8.250000	30.643118
8.800000	28.010353
9.350000	20.897757
9.900000	17.106855
10.450000	10.770306
11.000000	9.563846
11.550000	9.810659
12.100000	10.698977
12.650000	10.964692
13.200000	10.999649
13.750000	10.999649
14.300000	4.334229
14.850000	3.637320
15.400000	3.001144
15.950000	3.211472
16.500000	3.191440
17.050000	3.174893
17.600000	3.174893
18.150000	3.261767
18.700000	4.501244
19.250000	4.637616
19.800000	5.114921
20.350000	5.926338
20.900000	6.001343
21.450000	6.001343
22.000000	6.001343
22.550000	6.001343
23.100000	6.001343
23.650000	6.001343
24.200000	6.001343
24.750000	6.001343
25.300000	6.001343
25.850000	6.001343
26.400000	6.001343
26.950000	14.843393
27.500000	44.647919
28.050000	54.000343
28.600000	59.437630
29.150000	73.906265
29.700000	72.441200
30.250000	65.633423
30.800000	15.808749
31.350000	6.001343
31.900000	6.001343
32.450000	6.001343
