This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:13

This file contains the kymograph results for the parameter Curv_f:
secondary frequency	Results Average:
arc length	Rabbit delta 78 heterozygote019_SpQP_spq_210215_205359
0.000000	46.117252
0.550000	44.895206
1.100000	42.314064
1.650000	42.533508
2.200000	41.278416
2.750000	38.117664
3.300000	36.831863
3.850000	33.750263
4.400000	36.377529
4.950000	34.020309
5.500000	34.295776
6.050000	37.688599
6.600000	39.566185
7.150000	39.576473
7.700000	38.408112
8.250000	36.561123
8.800000	32.882591
9.350000	23.326416
9.900000	15.392828
10.450000	12.234647
11.000000	10.446362
11.550000	9.095951
12.100000	8.851448
12.650000	7.465355
13.200000	9.846739
13.750000	10.267515
14.300000	7.417808
14.850000	5.864970
15.400000	5.834665
15.950000	5.290770
16.500000	5.036994
17.050000	6.456442
17.600000	8.346684
18.150000	8.737750
18.700000	11.816781
19.250000	29.953930
19.800000	39.817898
20.350000	41.349632
20.900000	41.420689
21.450000	40.473259
22.000000	42.949635
22.550000	47.149914
23.100000	46.724937
23.650000	44.499840
24.200000	42.058918
24.750000	34.421558
25.300000	34.421558
25.850000	33.050198
26.400000	34.124977
26.950000	32.684280
27.500000	34.029510
28.050000	36.312683
28.600000	36.312683
29.150000	29.938023
29.700000	4.530538
30.250000	3.201158
30.800000	3.001144
31.350000	3.001144
31.900000	3.001144
32.450000	3.001144
