This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:13

This file contains the kymograph results for the parameter cAng_f:
secondary frequency	Results Maximum:
arc length	Rabbit delta 78 heterozygote019_SpQP_spq_210215_205359
0.000000	84.000427
0.550000	84.000427
1.100000	84.000427
1.650000	93.001022
2.200000	93.001022
2.750000	93.001022
3.300000	93.001022
3.850000	93.001022
4.400000	93.001022
4.950000	85.998535
5.500000	85.998535
6.050000	85.998535
6.600000	88.998734
7.150000	88.998734
7.700000	100.000473
8.250000	100.000473
8.800000	100.000473
9.350000	100.000473
9.900000	42.999741
10.450000	42.999741
11.000000	94.000076
11.550000	94.000076
12.100000	94.000076
12.650000	52.501381
13.200000	52.501381
13.750000	10.999649
14.300000	10.999649
14.850000	54.001480
15.400000	54.001480
15.950000	54.001480
16.500000	7.000397
17.050000	7.000397
17.600000	7.000397
18.150000	7.000397
18.700000	4.999252
19.250000	5.500298
19.800000	5.500298
20.350000	4.000198
20.900000	3.001144
21.450000	3.001144
22.000000	8.998505
22.550000	8.998505
23.100000	8.998505
23.650000	8.998505
24.200000	39.999542
24.750000	67.001328
25.300000	67.001328
25.850000	67.001328
26.400000	67.001328
26.950000	78.501076
27.500000	90.000824
28.050000	90.000824
28.600000	90.999878
29.150000	90.999878
29.700000	90.999878
30.250000	90.999878
30.800000	49.000137
31.350000	28.499794
31.900000	26.000641
32.450000	26.000641
