This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:13

This file contains the kymograph results for the parameter Curv_f:
peak height of secondary frequency	Results Median:
arc length	Rabbit delta 78 heterozygote019_SpQP_spq_210215_205359
0.000000	1.983733
0.550000	1.983733
1.100000	1.976104
1.650000	1.861658
2.200000	1.754841
2.750000	1.632765
3.300000	1.586987
3.850000	1.464911
4.400000	1.403873
4.950000	1.373354
5.500000	1.358094
6.050000	1.327575
6.600000	1.312316
7.150000	1.251278
7.700000	1.251278
8.250000	1.266537
8.800000	1.327575
9.350000	1.388613
9.900000	1.403873
10.450000	1.434392
11.000000	1.457281
11.550000	1.480170
12.100000	1.464911
12.650000	1.464911
13.200000	1.388613
13.750000	1.388613
14.300000	1.396243
14.850000	1.548838
15.400000	1.678544
15.950000	1.678544
16.500000	1.678544
17.050000	1.602246
17.600000	1.510689
18.150000	1.419132
18.700000	1.350465
19.250000	1.327575
19.800000	1.327575
20.350000	1.266537
20.900000	1.236019
21.450000	1.205500
22.000000	1.144462
22.550000	1.121572
23.100000	1.121572
23.650000	1.083424
24.200000	1.083424
24.750000	1.083424
25.300000	1.083424
25.850000	1.091053
26.400000	1.091053
26.950000	1.083424
27.500000	1.113943
28.050000	1.106313
28.600000	1.106313
29.150000	1.106313
29.700000	1.236019
30.250000	1.236019
30.800000	1.236019
31.350000	1.236019
31.900000	1.236019
32.450000	1.236019
