This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:13

This file contains the kymograph results for the parameter X_f:
primary frequency	Results Minimum:
arc length	Rabbit delta 78 heterozygote019_SpQP_spq_210215_205359
0.000000	4.999252
0.550000	4.999252
1.100000	4.999252
1.650000	4.999252
2.200000	4.999252
2.750000	4.999252
3.300000	4.999252
3.850000	4.999252
4.400000	4.999252
4.950000	3.001144
5.500000	3.001144
6.050000	3.001144
6.600000	3.001144
7.150000	1.999054
7.700000	1.999054
8.250000	1.999054
8.800000	1.999054
9.350000	1.999054
9.900000	1.999054
10.450000	1.999054
11.000000	1.999054
11.550000	1.999054
12.100000	1.999054
12.650000	1.999054
13.200000	1.999054
13.750000	1.999054
14.300000	1.999054
14.850000	1.999054
15.400000	1.999054
15.950000	1.999054
16.500000	1.999054
17.050000	1.999054
17.600000	1.999054
18.150000	1.999054
18.700000	1.999054
19.250000	1.999054
19.800000	1.999054
20.350000	1.999054
20.900000	1.999054
21.450000	1.999054
22.000000	1.999054
22.550000	1.999054
23.100000	4.999252
23.650000	52.999390
24.200000	85.998535
24.750000	85.998535
25.300000	85.998535
25.850000	4.999252
26.400000	19.001190
26.950000	19.001190
27.500000	1.999054
28.050000	1.999054
28.600000	1.999054
29.150000	1.999054
29.700000	1.999054
30.250000	1.999054
30.800000	1.999054
31.350000	1.999054
31.900000	1.999054
32.450000	1.999054
