This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:13

This file contains the kymograph results for the parameter cAng_f:
peak height of secondary frequency	Results Average:
arc length	Rabbit delta 78 heterozygote019_SpQP_spq_210215_205359
0.000000	262.636658
0.550000	356.796265
1.100000	450.955872
1.650000	553.355408
2.200000	687.826843
2.750000	862.380493
3.300000	1046.760864
3.850000	1166.813721
4.400000	1271.611206
4.950000	1365.352417
5.500000	1508.354614
6.050000	1574.886230
6.600000	1613.861328
7.150000	1645.846558
7.700000	1711.322021
8.250000	1752.332886
8.800000	1838.818848
9.350000	1857.446655
9.900000	1951.790039
10.450000	1966.203491
11.000000	1961.652344
11.550000	1961.662720
12.100000	2000.929077
12.650000	2135.381348
13.200000	2144.237793
13.750000	2178.333252
14.300000	2167.657959
14.850000	2172.760498
15.400000	2259.701172
15.950000	2338.614502
16.500000	2371.655273
17.050000	2494.907715
17.600000	2572.952393
18.150000	2665.779785
18.700000	2760.633057
19.250000	2799.588135
19.800000	2827.634033
20.350000	2838.543457
20.900000	2834.622314
21.450000	2817.885010
22.000000	2434.637207
22.550000	2279.934814
23.100000	2088.731934
23.650000	1939.717163
24.200000	1792.027344
24.750000	1731.131714
25.300000	1722.605225
25.850000	1675.225586
26.400000	1665.087891
26.950000	1621.498413
27.500000	1579.259399
28.050000	1575.649048
28.600000	1570.648926
29.150000	1563.648926
29.700000	1561.494385
30.250000	1529.890015
30.800000	1518.715454
31.350000	1513.841309
31.900000	1494.244995
32.450000	1494.244995
