This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:13

This file contains the kymograph results for the parameter cAng_f:
peak height of primary frequency	Results Minimum:
arc length	Rabbit delta 78 heterozygote019_SpQP_spq_210215_205359
0.000000	181.002762
0.550000	260.003967
1.100000	339.005188
1.650000	400.006104
2.200000	525.007996
2.750000	745.011353
3.300000	939.014343
3.850000	1051.015991
4.400000	1134.017334
4.950000	1134.017334
5.500000	1189.018188
6.050000	1298.019775
6.600000	1298.019775
7.150000	1452.022217
7.700000	1452.022217
8.250000	1452.022217
8.800000	1507.022949
9.350000	1507.022949
9.900000	1706.026001
10.450000	1706.026001
11.000000	1706.026001
11.550000	1758.026855
12.100000	1758.026855
12.650000	2294.034912
13.200000	2400.036621
13.750000	2529.038574
14.300000	2584.039551
14.850000	2752.041992
15.400000	2618.040039
15.950000	2618.040039
16.500000	2618.040039
17.050000	2620.040039
17.600000	2729.041748
18.150000	2729.041748
18.700000	2865.043701
19.250000	2947.044922
19.800000	2972.045410
20.350000	2972.045410
20.900000	3114.047607
21.450000	3114.047607
22.000000	2653.040527
22.550000	2653.040527
23.100000	2371.036133
23.650000	2049.031250
24.200000	1856.028320
24.750000	1848.028198
25.300000	1819.027710
25.850000	1805.027588
26.400000	1665.025391
26.950000	1665.025391
27.500000	1585.024170
28.050000	1585.024170
28.600000	1585.024170
29.150000	1585.024170
29.700000	1585.024170
30.250000	1585.024170
30.800000	1585.024170
31.350000	1585.024170
31.900000	1585.024170
32.450000	1585.024170
