This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:13

This file contains the kymograph results for the parameter Z_f:
peak height of primary frequency	Results Median:
arc length	Rabbit delta 78 heterozygote019_SpQP_spq_210215_205359
0.000000	47.426487
0.550000	47.891903
1.100000	48.013977
1.650000	48.502281
2.200000	48.372574
2.750000	47.930050
3.300000	45.610607
3.850000	45.427494
4.400000	41.391361
4.950000	36.760105
5.500000	29.748371
6.050000	29.557627
6.600000	29.519478
7.150000	31.373507
7.700000	34.394886
8.250000	37.660416
8.800000	37.660416
9.350000	43.764210
9.900000	50.348679
10.450000	55.582684
11.000000	59.679855
11.550000	59.512001
12.100000	59.679855
12.650000	26.414173
13.200000	23.865839
13.750000	22.896862
14.300000	24.338882
14.850000	33.876060
15.400000	34.249920
15.950000	42.787601
16.500000	51.912777
17.050000	50.768314
17.600000	50.768314
18.150000	50.630981
18.700000	48.921921
19.250000	46.472771
19.800000	46.465141
20.350000	46.304916
20.900000	45.686905
21.450000	41.109058
22.000000	38.392872
22.550000	35.630905
23.100000	30.122229
23.650000	28.756504
24.200000	28.718355
24.750000	28.458944
25.300000	28.458944
25.850000	28.931988
26.400000	29.115101
26.950000	29.130362
27.500000	29.099842
28.050000	31.602398
28.600000	33.532722
29.150000	35.150230
29.700000	35.142601
30.250000	35.157860
30.800000	34.913708
31.350000	34.745853
31.900000	41.322693
32.450000	41.322693
