This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:13

This file contains the kymograph results for the parameter cAng_f:
secondary frequency	Results Average:
arc length	Rabbit delta 78 heterozygote019_SpQP_spq_210215_205359
0.000000	32.305508
0.550000	30.864189
1.100000	29.519794
1.650000	33.538151
2.200000	46.864559
2.750000	45.249981
3.300000	43.005161
3.850000	38.255428
4.400000	36.454639
4.950000	29.666405
5.500000	23.105145
6.050000	24.668858
6.600000	24.077148
7.150000	24.678991
7.700000	26.000299
8.250000	26.035965
8.800000	22.362314
9.350000	19.178539
9.900000	14.285632
10.450000	17.045874
11.000000	17.579130
11.550000	17.909578
12.100000	16.568844
12.650000	10.547190
13.200000	7.885382
13.750000	6.300958
14.300000	10.374861
14.850000	19.897827
15.400000	21.166651
15.950000	17.586437
16.500000	5.476872
17.050000	5.043218
17.600000	5.043218
18.150000	4.825636
18.700000	4.000198
19.250000	3.954925
19.800000	3.637044
20.350000	3.051097
20.900000	3.001144
21.450000	3.001144
22.000000	8.698637
22.550000	8.848646
23.100000	8.848646
23.650000	8.998505
24.200000	18.940100
24.750000	46.947529
25.300000	50.210796
25.850000	51.050323
26.400000	44.437778
26.950000	46.710831
27.500000	51.588425
28.050000	57.875282
28.600000	61.875294
29.150000	60.718903
29.700000	62.441368
30.250000	50.566639
30.800000	19.038097
31.350000	13.363257
31.900000	10.999649
32.450000	10.999649
