This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:13

This file contains the kymograph results for the parameter cAng_f:
center-of-mass of frequency spectrum	Results Maximum:
arc length	Rabbit delta 78 heterozygote019_SpQP_spq_210215_205359
0.000000	51.690598
0.550000	51.144005
1.100000	50.603481
1.650000	50.181389
2.200000	50.658142
2.750000	50.658142
3.300000	50.658142
3.850000	50.731022
4.400000	50.731022
4.950000	50.731022
5.500000	50.154060
6.050000	50.154060
6.600000	50.154060
7.150000	50.154060
7.700000	50.217831
8.250000	50.217831
8.800000	50.217831
9.350000	49.765369
9.900000	49.656052
10.450000	48.210613
11.000000	47.090092
11.550000	46.910931
12.100000	46.646744
12.650000	46.009048
13.200000	46.006012
13.750000	44.855125
14.300000	44.411777
14.850000	44.411777
15.400000	42.717335
15.950000	42.541206
16.500000	42.380268
17.050000	42.434925
17.600000	42.480476
18.150000	42.872200
18.700000	43.333771
19.250000	43.333771
19.800000	43.333771
20.350000	43.321625
20.900000	42.717335
21.450000	42.717335
22.000000	44.773136
22.550000	45.383503
23.100000	46.373444
23.650000	46.373444
24.200000	47.178154
24.750000	48.195427
25.300000	48.195427
25.850000	48.195427
26.400000	47.855324
26.950000	47.882656
27.500000	49.246105
28.050000	50.418247
28.600000	51.763477
29.150000	51.763477
29.700000	52.695724
30.250000	51.763477
30.800000	50.318039
31.350000	49.112492
31.900000	47.749043
32.450000	47.749043
