This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:13

This file contains the kymograph results for the parameter X_f:
center-of-mass of frequency spectrum	Results Minimum:
arc length	Rabbit delta 78 heterozygote019_SpQP_spq_210215_205359
0.000000	36.732121
0.550000	36.036728
1.100000	35.341339
1.650000	34.740086
2.200000	33.006165
2.750000	32.559780
3.300000	32.435276
3.850000	30.619368
4.400000	29.863245
4.950000	27.716341
5.500000	27.482521
6.050000	27.482521
6.600000	26.853935
7.150000	26.635298
7.700000	25.867029
8.250000	25.867029
8.800000	25.867029
9.350000	26.456137
9.900000	26.456137
10.450000	26.456137
11.000000	26.471319
11.550000	26.213205
12.100000	26.213205
12.650000	28.269009
13.200000	28.776129
13.750000	28.776129
14.300000	29.140524
14.850000	29.198221
15.400000	31.080936
15.950000	30.637587
16.500000	29.927013
17.050000	29.857172
17.600000	29.857172
18.150000	29.857172
18.700000	31.005020
19.250000	31.275282
19.800000	31.275282
20.350000	32.745014
20.900000	33.218731
21.450000	33.680298
22.000000	34.236004
22.550000	34.737049
23.100000	34.979980
23.650000	35.517464
24.200000	35.890972
24.750000	36.221966
25.300000	36.601543
25.850000	36.719975
26.400000	36.719975
26.950000	36.759449
27.500000	36.759449
28.050000	36.795891
28.600000	36.972015
29.150000	37.460915
29.700000	37.460915
30.250000	37.749393
30.800000	37.797981
31.350000	37.797981
31.900000	37.895153
32.450000	37.895153
