This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:13

This file contains the kymograph results for the parameter Curv_f:
primary frequency	Results Maximum:
arc length	Rabbit delta 78 heterozygote019_SpQP_spq_210215_205359
0.000000	91.998932
0.550000	91.998932
1.100000	91.998932
1.650000	85.998535
2.200000	85.998535
2.750000	85.998535
3.300000	85.998535
3.850000	85.998535
4.400000	62.999039
4.950000	62.999039
5.500000	62.999039
6.050000	62.999039
6.600000	62.999039
7.150000	94.000076
7.700000	94.000076
8.250000	94.000076
8.800000	54.001480
9.350000	54.001480
9.900000	54.001480
10.450000	54.001480
11.000000	54.001480
11.550000	29.498848
12.100000	29.498848
12.650000	7.000397
13.200000	7.000397
13.750000	4.000198
14.300000	4.000198
14.850000	6.001343
15.400000	6.001343
15.950000	6.001343
16.500000	6.001343
17.050000	6.001343
17.600000	6.001343
18.150000	6.001343
18.700000	6.001343
19.250000	6.001343
19.800000	6.001343
20.350000	6.001343
20.900000	6.001343
21.450000	6.001343
22.000000	6.001343
22.550000	6.001343
23.100000	6.001343
23.650000	49.000137
24.200000	49.000137
24.750000	49.000137
25.300000	49.000137
25.850000	49.000137
26.400000	49.000137
26.950000	49.000137
27.500000	49.000137
28.050000	49.000137
28.600000	6.001343
29.150000	6.001343
29.700000	6.001343
30.250000	6.001343
30.800000	6.001343
31.350000	6.001343
31.900000	6.001343
32.450000	6.001343
