This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:13

This file contains the kymograph results for the parameter X_f:
peak height of secondary frequency	Results Average:
arc length	Rabbit delta 78 heterozygote019_SpQP_spq_210215_205359
0.000000	10.474649
0.550000	13.816537
1.100000	17.127811
1.650000	20.724806
2.200000	25.214670
2.750000	27.770832
3.300000	30.265768
3.850000	32.204575
4.400000	33.173977
4.950000	34.112766
5.500000	38.806713
6.050000	40.842461
6.600000	44.485374
7.150000	57.812107
7.700000	58.557014
8.250000	58.919266
8.800000	57.592716
9.350000	57.618225
9.900000	58.016190
10.450000	63.245865
11.000000	69.067383
11.550000	72.769470
12.100000	76.225800
12.650000	87.001328
13.200000	89.514183
13.750000	103.601578
14.300000	129.585312
14.850000	135.502075
15.400000	136.668747
15.950000	147.844360
16.500000	147.002243
17.050000	145.089172
17.600000	147.089203
18.150000	149.480545
18.700000	152.956879
19.250000	153.865982
19.800000	155.229645
20.350000	159.502441
20.900000	163.581436
21.450000	166.318329
22.000000	170.302597
22.550000	174.002655
23.100000	178.502716
23.650000	181.252762
24.200000	184.708694
24.750000	194.318756
25.300000	197.160904
25.850000	203.703110
26.400000	203.690613
26.950000	215.792770
27.500000	231.474121
28.050000	243.003708
28.600000	249.503815
29.150000	254.316376
29.700000	265.239349
30.250000	268.804108
30.800000	272.081085
31.350000	275.276917
31.900000	277.559784
32.450000	277.559784
