This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:13

This file contains the kymograph results for the parameter Curv_f:
primary frequency	Results Average:
arc length	Rabbit delta 78 heterozygote019_SpQP_spq_210215_205359
0.000000	29.999987
0.550000	30.971880
1.100000	31.691238
1.650000	33.086636
2.200000	33.724422
2.750000	36.775097
3.300000	31.484468
3.850000	28.810987
4.400000	31.586506
4.950000	31.418127
5.500000	29.142601
6.050000	23.214138
6.600000	23.402906
7.150000	28.362247
7.700000	27.183659
8.250000	24.984684
8.800000	17.377659
9.350000	18.495094
9.900000	25.878090
10.450000	24.801495
11.000000	21.171488
11.550000	10.129678
12.100000	11.445265
12.650000	4.441853
13.200000	3.692875
13.750000	3.234257
14.300000	3.042772
14.850000	3.182929
15.400000	3.223325
15.950000	5.290770
16.500000	6.001343
17.050000	6.001343
17.600000	6.001343
18.150000	6.001343
18.700000	6.001343
19.250000	6.001343
19.800000	6.001343
20.350000	6.001343
20.900000	6.001343
21.450000	6.001343
22.000000	6.001343
22.550000	6.001343
23.100000	5.750820
23.650000	11.063039
24.200000	20.882656
24.750000	37.684666
25.300000	37.684666
25.850000	36.100498
26.400000	40.625278
26.950000	42.894577
27.500000	41.675766
28.050000	42.561707
28.600000	6.001343
29.150000	6.001343
29.700000	6.001343
30.250000	6.001343
30.800000	6.001343
31.350000	6.001343
31.900000	6.001343
32.450000	6.001343
