This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:13

This file contains the kymograph results for the parameter X_f:
center-of-mass of frequency spectrum	Results Maximum:
arc length	Rabbit delta 78 heterozygote019_SpQP_spq_210215_205359
0.000000	39.926662
0.550000	38.897243
1.100000	38.569286
1.650000	38.220074
2.200000	36.498299
2.750000	35.487099
3.300000	35.153069
3.850000	34.409092
4.400000	33.987000
4.950000	33.813911
5.500000	33.066898
6.050000	32.711613
6.600000	32.544598
7.150000	31.834023
7.700000	30.756016
8.250000	35.477989
8.800000	39.082478
9.350000	39.082478
9.900000	39.082478
10.450000	39.082478
11.000000	38.900280
11.550000	38.900280
12.100000	38.368866
12.650000	29.984711
13.200000	29.984711
13.750000	29.984711
14.300000	29.863245
14.850000	33.072971
15.400000	33.161034
15.950000	33.161034
16.500000	33.161034
17.050000	31.642714
17.600000	31.642714
18.150000	31.642714
18.700000	32.083027
19.250000	32.562817
19.800000	33.036530
20.350000	33.397892
20.900000	33.929302
21.450000	34.396946
22.000000	35.623745
22.550000	35.623745
23.100000	35.623745
23.650000	35.839348
24.200000	36.410236
24.750000	36.950756
25.300000	36.950756
25.850000	37.749393
26.400000	36.932537
26.950000	37.378925
27.500000	37.257458
28.050000	37.148140
28.600000	37.354630
29.150000	37.843529
29.700000	37.843529
30.250000	38.025726
30.800000	38.040909
31.350000	38.040909
31.900000	38.059132
32.450000	38.059132
