This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:13

This file contains the kymograph results for the parameter Y_f:
secondary frequency	Results Maximum:
arc length	Rabbit delta 78 heterozygote019_SpQP_spq_210215_205359
0.000000	100.000473
0.550000	93.001022
1.100000	100.000473
1.650000	100.000473
2.200000	100.000473
2.750000	88.998734
3.300000	88.998734
3.850000	88.998734
4.400000	88.998734
4.950000	74.000778
5.500000	74.000778
6.050000	90.000824
6.600000	90.000824
7.150000	90.000824
7.700000	75.998886
8.250000	75.998886
8.800000	75.998886
9.350000	75.998886
9.900000	75.998886
10.450000	75.998886
11.000000	75.998886
11.550000	75.998886
12.100000	75.998886
12.650000	14.998901
13.200000	14.998901
13.750000	10.999649
14.300000	10.999649
14.850000	10.999649
15.400000	10.999649
15.950000	10.999649
16.500000	6.001343
17.050000	10.999649
17.600000	10.999649
18.150000	10.999649
18.700000	10.999649
19.250000	10.999649
19.800000	10.999649
20.350000	10.999649
20.900000	10.999649
21.450000	10.999649
22.000000	10.999649
22.550000	6.001343
23.100000	6.001343
23.650000	6.001343
24.200000	6.001343
24.750000	6.001343
25.300000	6.001343
25.850000	6.001343
26.400000	6.001343
26.950000	6.001343
27.500000	56.998642
28.050000	56.998642
28.600000	56.998642
29.150000	56.998642
29.700000	56.998642
30.250000	56.998642
30.800000	14.998901
31.350000	14.998901
31.900000	14.998901
32.450000	14.998901
