This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:13

This file contains the kymograph results for the parameter Z_f:
center-of-mass of frequency spectrum	Results Minimum:
arc length	Rabbit delta 78 heterozygote019_SpQP_spq_210215_205359
0.000000	15.171989
0.550000	15.150733
1.100000	15.114293
1.650000	15.114293
2.200000	15.114293
2.750000	15.396701
3.300000	15.685182
3.850000	15.755024
4.400000	15.997955
4.950000	15.997955
5.500000	17.504128
6.050000	18.153969
6.600000	18.153969
7.150000	16.571880
7.700000	16.571880
8.250000	16.571880
8.800000	16.571880
9.350000	16.210520
9.900000	16.210520
10.450000	16.210520
11.000000	16.723711
11.550000	16.128531
12.100000	16.128531
12.650000	15.451361
13.200000	14.227595
13.750000	14.227595
14.300000	14.227595
14.850000	14.227595
15.400000	14.227595
15.950000	14.227595
16.500000	15.937222
17.050000	16.881617
17.600000	16.881617
18.150000	16.881617
18.700000	16.544550
19.250000	16.016174
19.800000	15.761098
20.350000	15.761098
20.900000	17.901928
21.450000	17.901928
22.000000	17.853340
22.550000	17.853340
23.100000	17.853340
23.650000	19.268414
24.200000	19.268414
24.750000	30.182091
25.300000	30.182091
25.850000	30.318741
26.400000	30.318741
26.950000	31.940306
27.500000	31.940306
28.050000	31.940306
28.600000	18.017319
29.150000	18.017319
29.700000	18.017319
30.250000	18.229885
30.800000	19.110510
31.350000	21.060030
31.900000	21.527674
32.450000	21.527674
