This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:13

This file contains the kymograph results for the parameter Curv_f:
peak height of primary frequency	Results Average:
arc length	Rabbit delta 78 heterozygote019_SpQP_spq_210215_205359
0.000000	2.352219
0.550000	2.310722
1.100000	2.257314
1.650000	2.167237
2.200000	2.031770
2.750000	1.925265
3.300000	1.817903
3.850000	1.687653
4.400000	1.550161
4.950000	1.541208
5.500000	1.533656
6.050000	1.541130
6.600000	1.540741
7.150000	1.432056
7.700000	1.432913
8.250000	1.437817
8.800000	1.534357
9.350000	1.572039
9.900000	1.577411
10.450000	1.588933
11.000000	1.632765
11.550000	1.693200
12.100000	1.721779
12.650000	1.704094
13.200000	1.885525
13.750000	2.056979
14.300000	2.054944
14.850000	2.055869
15.400000	2.051553
15.950000	2.075290
16.500000	2.115256
17.050000	2.077944
17.600000	2.034156
18.150000	1.907436
18.700000	1.799926
19.250000	1.697271
19.800000	1.634846
20.350000	1.641158
20.900000	1.622324
21.450000	1.616703
22.000000	1.596905
22.550000	1.466437
23.100000	1.319183
23.650000	1.239833
24.200000	1.236916
24.750000	1.228790
25.300000	1.216743
25.850000	1.207788
26.400000	1.217898
26.950000	1.208712
27.500000	1.208192
28.050000	1.200731
28.600000	1.206453
29.150000	1.206453
29.700000	1.373354
30.250000	1.553416
30.800000	1.704367
31.350000	1.742356
31.900000	1.749755
32.450000	1.749755
