This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:13

This file contains the kymograph results for the parameter cAng_f:
peak height of secondary frequency	Results Maximum:
arc length	Rabbit delta 78 heterozygote019_SpQP_spq_210215_205359
0.000000	349.005341
0.550000	449.006866
1.100000	555.008484
1.650000	684.010437
2.200000	821.012512
2.750000	1024.015625
3.300000	1222.018677
3.850000	1366.020874
4.400000	1552.023682
4.950000	1707.026001
5.500000	1857.028320
6.050000	2053.031250
6.600000	2094.031982
7.150000	2094.031982
7.700000	2149.032715
8.250000	2277.034668
8.800000	2339.035645
9.350000	2339.035645
9.900000	2339.035645
10.450000	2339.035645
11.000000	2322.035400
11.550000	2322.035400
12.100000	2322.035400
12.650000	2321.035400
13.200000	2321.035400
13.750000	2321.035400
14.300000	2321.035400
14.850000	2321.035400
15.400000	2350.035889
15.950000	2490.038086
16.500000	2570.039307
17.050000	2593.039551
17.600000	2749.041992
18.150000	2751.041992
18.700000	2823.042969
19.250000	2886.043945
19.800000	2955.045166
20.350000	2967.045166
20.900000	2967.045166
21.450000	2967.045166
22.000000	2518.038330
22.550000	2426.037109
23.100000	2425.037109
23.650000	2038.031128
24.200000	1926.029419
24.750000	1926.029419
25.300000	1910.029175
25.850000	1800.027466
26.400000	1747.026611
26.950000	1684.025757
27.500000	1626.024780
28.050000	1623.024780
28.600000	1623.024780
29.150000	1623.024780
29.700000	1623.024780
30.250000	1570.023926
30.800000	1570.023926
31.350000	1567.023926
31.900000	1528.023315
32.450000	1528.023315
