This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:13

This file contains the kymograph results for the parameter Y_f:
center-of-mass of frequency spectrum	Results Median:
arc length	Rabbit delta 78 heterozygote019_SpQP_spq_210215_205359
0.000000	48.581081
0.550000	48.456581
1.100000	48.178726
1.650000	48.483910
2.200000	48.365479
2.750000	48.039040
3.300000	47.739933
3.850000	47.140198
4.400000	46.869934
4.950000	46.640671
5.500000	46.209465
6.050000	46.015121
6.600000	46.004494
7.150000	45.154236
7.700000	45.152718
8.250000	45.225597
8.800000	46.025749
9.350000	46.329414
9.900000	46.426586
10.450000	46.528313
11.000000	46.422031
11.550000	46.428104
12.100000	46.270199
12.650000	46.330933
13.200000	46.075855
13.750000	46.507057
14.300000	46.608784
14.850000	46.294495
15.400000	46.232239
15.950000	46.200356
16.500000	46.112293
17.050000	45.951351
17.600000	45.951351
18.150000	45.951351
18.700000	45.939205
19.250000	45.837479
19.800000	45.837479
20.350000	45.957428
20.900000	45.987793
21.450000	45.987793
22.000000	45.946800
22.550000	45.946800
23.100000	45.914913
23.650000	46.091038
24.200000	46.006012
24.750000	46.285381
25.300000	46.504021
25.850000	46.660408
26.400000	46.920040
26.950000	46.959518
27.500000	47.254070
28.050000	47.415012
28.600000	47.469673
29.150000	47.683754
29.700000	47.667053
30.250000	47.818886
30.800000	47.852287
31.350000	47.852287
31.900000	47.931240
32.450000	47.931240
