This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:13

This file contains the kymograph results for the parameter cAng_f:
primary frequency	Results Maximum:
arc length	Rabbit delta 78 heterozygote019_SpQP_spq_210215_205359
0.000000	84.000427
0.550000	78.999084
1.100000	78.999084
1.650000	85.998535
2.200000	85.998535
2.750000	85.998535
3.300000	85.998535
3.850000	85.998535
4.400000	74.000778
4.950000	74.000778
5.500000	74.000778
6.050000	74.000778
6.600000	74.000778
7.150000	74.000778
7.700000	100.000473
8.250000	100.000473
8.800000	100.000473
9.350000	88.998734
9.900000	42.999741
10.450000	42.999741
11.000000	16.000992
11.550000	16.000992
12.100000	13.999847
12.650000	10.999649
13.200000	10.999649
13.750000	10.999649
14.300000	10.999649
14.850000	7.000397
15.400000	3.001144
15.950000	4.999252
16.500000	4.999252
17.050000	4.999252
17.600000	4.999252
18.150000	4.999252
18.700000	6.001343
19.250000	6.001343
19.800000	6.001343
20.350000	6.001343
20.900000	6.001343
21.450000	6.001343
22.000000	6.001343
22.550000	6.001343
23.100000	6.001343
23.650000	6.001343
24.200000	6.001343
24.750000	6.001343
25.300000	6.001343
25.850000	6.001343
26.400000	6.001343
26.950000	90.000824
27.500000	90.000824
28.050000	90.000824
28.600000	90.999878
29.150000	90.999878
29.700000	90.999878
30.250000	90.999878
30.800000	90.999878
31.350000	6.001343
31.900000	6.001343
32.450000	6.001343
