Frequencies for trace parameter:	HRMaxInt
Analyzed image:	\Rabbit delta 78 heterozygote022_SpQP_spq_210215_210348_f.tif

t [frame]	Primary freq.	Amplitude of primary freq. peak in FFT	Secondary freq.	Amplitude of secondary freq. peak in FFT	COM freq.
0-200	8.0	1715.8984029958422	18.0	1365.0489211372296	21.66478706116799
1-201	8.0	1678.4015411090718	18.0	1400.784206443181	21.681552836663176
2-202	8.0	1638.6242355945753	18.0	1430.8855691432118	22.129288631790573
3-203	8.0	1592.2779520875688	18.0	1444.5833860135278	21.762691519231637
4-204	8.0	1550.3281934473403	18.0	1422.0234245514675	21.950124757466885
5-205	8.0	1528.2297572521243	18.0	1381.5862511254052	21.699794624696622
6-206	9.0	1534.5588119354868	18.0	1336.1034868344934	21.739763062648798
7-207	9.0	1566.245600644681	18.0	1304.5466153932055	21.625367055617502
8-208	9.0	1579.6181012820894	18.0	1295.0373487193915	21.686357583483847
9-209	9.0	1556.7785193596928	18.0	1295.9223930071587	22.368265126139033
10-210	9.0	1567.0804915523997	18.0	1269.0855329509127	22.15957690180029
11-211	9.0	1578.9144636963556	18.0	1303.2160524989804	21.681275781382816
12-212	9.0	1597.3787024626479	18.0	1249.422245309047	21.951990222168696
13-213	9.0	1616.9196565975838	18.0	1260.4113675316614	21.889254672654076
14-214	9.0	1570.637361251566	18.0	1301.279461553628	21.90829949184098
15-215	8.0	1579.541646351282	18.0	1290.3283059272417	21.91891573346438
16-216	8.0	1624.3634881746816	18.0	1248.9769693745407	22.041452155547248
17-217	8.0	1655.211910425804	18.0	1197.941291661566	22.09341649176166
18-218	8.0	1676.84654619048	18.0	1142.7105232467736	21.900399656327394
19-219	8.0	1682.606632517061	18.0	1119.841530387374	22.006022518821407
20-220	8.0	1682.5512872688835	18.0	1116.5221458962762	21.802029454641684
21-221	8.0	1675.567542642192	18.0	1128.7378722873575	21.84228872055037
22-222	8.0	1669.5842687931172	18.0	1140.3767733886352	21.827869999057995
23-223	8.0	1643.2072476010717	18.0	1176.173152612222	21.897348287957776
24-224	8.0	1612.415746229627	18.0	1208.6799318782848	21.944409593601105
25-225	8.0	1574.0832752504834	18.0	1230.4374716178595	22.118913137266482
26-226	8.0	1506.9038514380318	18.0	1222.7835150905073	22.539729535140673
27-227	9.0	1533.6637617965819	18.0	1163.0842750218244	22.286713329682996
28-228	9.0	1601.229288123011	18.0	1097.7376520246253	21.924439221005784
29-229	9.0	1637.2023250875359	18.0	1056.8818114247379	21.961811831850593
30-230	9.0	1655.9225809719	18.0	1038.1646513589758	21.962047856747628
31-231	9.0	1665.9366445106066	18.0	1034.3255758406003	21.85338807795496
32-232	9.0	1668.4338229708112	18.0	1040.174130774703	21.867043717935694
33-233	9.0	1669.913936510448	18.0	1036.3760101192813	21.78708898025711
34-234	9.0	1668.1790918678435	18.0	1049.2316415108583	22.024433126637415
35-235	9.0	1690.518724301834	18.0	1020.0919354679819	21.994737173078676
36-236	9.0	1671.5994747270527	18.0	1054.4670157195872	21.918331802379136
37-237	9.0	1586.517219420208	18.0	1072.5343511624417	22.136913996699313
38-238	9.0	1545.6143718696817	18.0	1052.4725503010607	22.025301031278147
39-239	9.0	1504.6340376802032	18.0	1013.6487125798958	22.000826471614975
40-240	8.0	1505.0438340866715	18.0	983.3958322375794	21.907416135716197
41-241	8.0	1524.3357798606696	18.0	962.9171945889622	21.890663157779056
42-242	8.0	1534.9402750385464	18.0	959.1032214298983	21.902077803493526
43-243	8.0	1535.810287979035	18.0	960.3735495354775	21.876643064932313
44-244	8.0	1533.3932214282988	18.0	948.0491707249741	21.880795365143378
45-245	8.0	1535.9907473995768	18.0	935.0533285558739	21.8487934813602
46-246	8.0	1531.4044469419937	18.0	948.2116641854335	21.97285488827263
47-247	8.0	1522.871493843088	18.0	969.0126282372377	21.973614243302748
48-248	8.0	1499.505832530501	18.0	977.3832899526941	22.250447510455956
49-249	9.0	1541.680669027716	18.0	958.9828214055076	22.496454043048733
50-250	9.0	1610.4470916057846	18.0	904.7037744467917	22.456975150000417
51-251	9.0	1667.0097145565353	12.0	864.899935136646	22.448959559423493
52-252	9.0	1702.6278852345813	12.0	881.430389806592	22.199422141224055
53-253	9.0	1717.6770839028823	12.0	881.2278972816404	22.30886294390875
54-254	9.0	1725.381926644546	12.0	879.3508173887865	22.27899266766073
55-255	9.0	1727.4601835519716	12.0	866.1646505442855	22.17879806323789
56-256	9.0	1729.4697523899329	12.0	866.0701708017332	22.255668421391128
57-257	9.0	1728.3196325914578	12.0	856.9392841473375	22.14425104446324
58-258	9.0	1719.5574007819132	12.0	837.498169473035	22.763375530179754
59-259	9.0	1690.3538870056966	18.0	849.4074858079214	22.740923378991074
60-260	9.0	1642.0334644695502	18.0	834.7172065731262	22.107519515889408
61-261	9.0	1595.82790726274	4.0	819.2586995885235	22.153757101554355
62-262	9.0	1579.9770844823427	4.0	815.3738968446872	21.99226448860965
63-263	9.0	1576.39858090722	4.0	814.292546175427	21.96987139988216
64-264	9.0	1577.535491612317	4.0	814.9109585005672	21.97567012156876
65-265	9.0	1578.2617212049086	4.0	814.5793771009547	21.98731356595869
66-266	9.0	1581.007141463705	4.0	822.182348216737	21.986729657693402
67-267	9.0	1578.4544452822647	4.0	836.9154589679007	21.98530743788267
68-268	9.0	1573.6598395478882	4.0	845.3867250517301	21.95482659481723
69-269	9.0	1570.8300935413044	4.0	848.0900037947044	21.941423791358105
70-270	9.0	1575.6181906331833	4.0	842.4247077489154	21.980676246916563
71-271	9.0	1581.0198702752318	4.0	836.3887485985958	21.92487671926798
72-272	9.0	1599.286308458545	4.0	818.3374100620845	22.12107291073357
73-273	9.0	1630.7993310283084	4.0	786.8994518810092	22.280864102403147
74-274	9.0	1680.2053457060333	17.0	794.0313715480866	22.787017137330324
75-275	9.0	1734.6848911327181	17.0	871.0186705094194	22.745353863236666
76-276	9.0	1771.2791770629758	17.0	934.6285767779714	22.607864285757323
77-277	9.0	1784.776067470865	17.0	961.0878005137757	22.55886517100306
78-278	9.0	1784.6239926330459	17.0	962.6506988170206	22.35231935191885
79-279	9.0	1778.3593226359096	17.0	952.215747175895	22.59001497213565
80-280	9.0	1765.0888062575427	17.0	929.9259162681667	22.66080212188858
81-281	9.0	1712.9239619155155	17.0	865.1181915982982	22.531150653992814
82-282	9.0	1682.37289460749	17.0	848.9533066377875	22.440606523500875
83-283	9.0	1695.9150828788638	17.0	852.2497059657162	22.440636188505707
84-284	9.0	1677.5211440903672	17.0	854.5619575987853	22.386324476331332
85-285	9.0	1669.0195053668845	17.0	860.7812757002209	22.38094675167328
86-286	9.0	1661.6481868153571	17.0	870.501370807946	22.389450143998477
87-287	9.0	1660.9676481425552	17.0	869.2068978603976	22.434656878307887
88-288	9.0	1658.8783488689514	17.0	874.9784963739964	22.41488375297968
89-289	9.0	1663.8744725562203	17.0	858.6317998874171	22.593943122328753
90-290	9.0	1651.3939603359001	17.0	875.6851334307638	22.4612984637235
