Frequencies for trace parameter:	HRAng
Analyzed image:	\Rabbit delta 78 heterozygote022_SpQP_spq_210215_210348_f.tif

t [frame]	Primary freq.	Amplitude of primary freq. peak in FFT	Secondary freq.	Amplitude of secondary freq. peak in FFT	COM freq.
0-200	8.0	4693.265800312034	16.0	3795.0953870701082	30.351835082344852
1-201	8.0	4547.736129582837	16.0	3647.2242027822745	30.15528893180229
2-202	8.0	4413.303693822689	18.0	3540.5979045110967	30.371238302749
3-203	8.0	4259.103590603631	18.0	3525.0657437578934	30.16015973121071
4-204	8.0	4128.960357273251	18.0	3438.7225257413447	30.503017182810584
5-205	8.0	3982.1603596614154	16.0	3542.595537302883	29.897392866972908
6-206	8.0	3939.027497696093	16.0	3625.2288307556073	29.729517414233907
7-207	8.0	3949.0509496891145	16.0	3595.7349606855346	29.753919452657897
8-208	8.0	3946.4682773198606	16.0	3551.702426936994	29.798927569866574
9-209	8.0	3921.936501314536	16.0	3483.4617385118977	30.300921827128874
10-210	8.0	3870.6528161502133	16.0	3517.3952905871474	30.081468514904124
11-211	8.0	3875.0343189930713	16.0	3548.0208778093984	29.870566927079814
12-212	8.0	3798.077374949465	16.0	3622.1940403984368	30.126382053162832
13-213	16.0	3753.8478467378977	8.0	3668.02481161849	29.68567145254965
14-214	8.0	3796.2249997041404	16.0	3623.5149339610316	30.162468490761896
15-215	8.0	4051.266608742268	16.0	3448.5963785098784	29.985128113356232
16-216	8.0	4219.031654500041	16.0	3423.211412978256	30.012424597298317
17-217	8.0	4382.612088554133	16.0	3495.0244674721657	30.134661576712123
18-218	8.0	4568.264738059427	16.0	3750.4086000787097	29.919293390402604
19-219	8.0	4644.594350267006	16.0	3928.100443007825	29.706185694363793
20-220	8.0	4677.688916332455	16.0	3987.397831898188	29.283309137062403
21-221	8.0	4675.745717645915	16.0	4087.5739550234703	29.05615120059089
22-222	8.0	4672.210130160852	16.0	4102.095662662779	29.203985563364657
23-223	8.0	4641.734055881028	16.0	4066.3265686776335	28.984123018684578
24-224	8.0	4582.799961220427	16.0	3997.5377379176794	29.32265163034001
25-225	8.0	4459.744276749281	16.0	3845.2558132229315	29.025884513442502
26-226	8.0	4352.273458938266	16.0	3724.808542565928	29.018103162403918
27-227	8.0	4236.151436830263	16.0	3628.4830349882686	29.244120673925664
28-228	8.0	3974.394966762636	16.0	3588.915820857819	28.66683988576727
29-229	8.0	3889.0879598169495	16.0	3618.4208708475576	28.599165841779755
30-230	8.0	3897.457815047232	16.0	3601.6526749257127	28.62708245657672
31-231	8.0	3896.9951004018653	16.0	3607.47251804225	28.633960857800474
32-232	8.0	3907.7874113686375	16.0	3585.3764132707465	28.648419961655453
33-233	8.0	3921.907577992738	16.0	3554.1107897786314	28.636927377174928
34-234	8.0	3914.388133985056	16.0	3538.9108681271455	28.33478902221846
35-235	8.0	3911.2482877899447	16.0	3542.076449168271	28.27837885137718
36-236	8.0	3955.901369238359	16.0	3478.237806197472	28.2860339973101
