This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:38

This file contains the kymograph results for the parameter Y_f:
primary frequency	Results Average:
arc length	Rabbit delta 78 heterozygote022_SpQP_spq_210215_210348
0.000000	9.302501
0.550000	9.369639
1.100000	9.421897
1.650000	9.820013
2.200000	9.795207
2.750000	9.650959
3.300000	9.601254
3.850000	9.571386
4.400000	8.899671
4.950000	8.899671
5.500000	11.606055
6.050000	14.302182
6.600000	15.431584
7.150000	16.123394
7.700000	15.566194
8.250000	13.566228
8.800000	8.441999
9.350000	8.123712
9.900000	8.088918
10.450000	8.004421
11.000000	7.999451
11.550000	7.999451
12.100000	7.999451
12.650000	7.999451
13.200000	7.999451
13.750000	7.999451
14.300000	7.999451
14.850000	7.999451
15.400000	7.999451
15.950000	7.999451
16.500000	7.999451
17.050000	7.999451
17.600000	7.999451
18.150000	7.999451
18.700000	7.999451
19.250000	7.999451
19.800000	7.999451
20.350000	7.999451
20.900000	7.999451
21.450000	7.999451
22.000000	7.999451
22.550000	7.999451
23.100000	7.999451
23.650000	7.999451
24.200000	7.999451
24.750000	7.999451
25.300000	7.999451
25.850000	7.999451
26.400000	7.999451
26.950000	7.999451
27.500000	7.999451
28.050000	7.999451
28.600000	7.999451
29.150000	7.999451
29.700000	7.999451
30.250000	7.999451
30.800000	7.999451
31.350000	8.024017
31.900000	8.046576
32.450000	8.057306
33.000000	8.066479
33.550000	8.023237
